elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
14840,100000,3.02996016684379e+38; 2.418178600783308e+38; -2.0181571547825195e+38,-1.818471964456264e+38; -5.7879151695580635e+37; -2.0717175222951706e+38
16472,100000,1.3357091383617147e+38; -2.7171092721339598e+38; 2.2344585063524707e+38,-9.652407857462152e+37; -3.0876179867445706e+38; -2.935488759391901e+38
14953,100000,-7.413929326820213e+36; 1.6615004132227706e+38; -2.065148861120932e+38,1.0507822538978082e+38; 2.733156106140081e+38; 1.2978939040123304e+38
17094,100000,-2.9827151332094278e+38; 1.0520389519968504e+38; 2.706651661742317e+38,-3.360173412646634e+38; 8.074919111646619e+37; 2.3564421911353288e+38
15065,100000,1.0777456892249027e+38; -2.621082609513663e+37; -1.7806562230466396e+38,-1.776971517693944e+38; -1.5917997097957256e+38; -3.0230665814677007e+38
14806,100000,-2.5758055780831433e+38; -2.9535143452789544e+38; -4.81889414830992e+37,3.3330179029005927e+38; 1.600939064975179e+38; 3.3665694705151454e+38
22851,100000,4.014052133959975e+37; -1.2138535369955037e+38; 1.4229081357321422e+37,2.7647581285435305e+37; -2.1657731403501845e+38; -2.824092086773957e+38
22078,100000,-2.676070250190123e+37; -2.303428434561496e+38; 5.867585108306507e+36,1.058280153668038e+38; -3.1571276298731492e+38; 3.2179833772961378e+38
25088,100000,2.7631012585030082e+38; -5.981101571611165e+37; 2.0848301001039314e+38,2.6297375193397332e+38; -2.0592633115021443e+38; -1.1023352713319858e+38
22849,100000,2.4575380363878662e+38; -3.2238695353872135e+38; -1.7532577300335467e+38,8.195600462908826e+37; 2.998651833731401e+38; 2.5089320397307513e+38
15007,100000,1.6248839199869861e+37; -2.2735473746129163e+38; 1.0631983337607796e+38,1.7700756758997866e+37; -3.041657640934504e+37; -2.4545054105039282e+38
21916,100000,2.587157845562403e+38; 3.157020538750442e+38; 1.3297911368875613e+38,-2.725453658268998e+38; 9.234316407097278e+37; -1.6985803088119745e+38
23276,100000,2.3282027894200685e+38; 2.4719097968908457e+37; -9.743816621063889e+37,1.8151872282209526e+38; -3.1327349899633175e+38; 3.106938807308913e+38
22882,100000,-2.3831456059713045e+38; 9.769525589356998e+37; -2.384060139820333e+38,3.2888987942343455e+38; 1.5480279373939409e+38; -1.5945751547258893e+38
23594,100000,2.091614160468161e+38; -3.618992373820528e+37; -3.1808399977648744e+38,-3.230792530257228e+38; -2.993885467474543e+38; -3.1419314401258053e+38
25527,100000,1.3827146367386577e+38; -1.0807236540149588e+38; 2.451481708880216e+38,3.2281227566810993e+38; -2.4291667990101822e+38; 6.877030873370629e+37
14922,100000,-1.2494425740667912e+38; 2.0165396326166283e+38; 2.7728605455319973e+38,-3.0432717150907625e+38; 2.1122898459940273e+38; 6.624188327010547e+37
