elapsed.ps,repeats.n,param.array.array
25138,100000,array<integer>[1]
24943,100000,array<integer>[1]
25249,100000,array<integer>[1]
26857,100000,array<integer>[1]
25286,100000,array<integer>[1]
25040,100000,array<integer>[1]
25277,100000,array<integer>[1]
25835,100000,array<integer>[1]
25484,100000,array<integer>[1]
25568,100000,array<integer>[1]
25289,100000,array<integer>[1]
25545,100000,array<integer>[1]
25580,100000,array<integer>[1]
25218,100000,array<integer>[1]
25436,100000,array<integer>[1]
25701,100000,array<integer>[1]
25123,100000,array<integer>[1]
25329,100000,array<integer>[1]
25128,100000,array<integer>[1]
26875,100000,array<integer>[1]
25477,100000,array<integer>[1]
25366,100000,array<integer>[1]
25119,100000,array<integer>[1]
25263,100000,array<integer>[1]
27310,100000,array<integer>[1]
24800,100000,array<integer>[1]
25654,100000,array<integer>[1]
25264,100000,array<integer>[1]
25464,100000,array<integer>[1]
25421,100000,array<integer>[1]
25264,100000,array<integer>[1]
24976,100000,array<integer>[1]
25463,100000,array<integer>[1]
25413,100000,array<integer>[1]
25325,100000,array<integer>[1]
24995,100000,array<integer>[1]
24992,100000,array<integer>[1]
25631,100000,array<integer>[1]
25428,100000,array<integer>[1]
24925,100000,array<integer>[1]
25311,100000,array<integer>[1]
27460,100000,array<integer>[1]
25278,100000,array<integer>[1]
26143,100000,array<integer>[1]
25317,100000,array<integer>[1]
25213,100000,array<integer>[1]
25579,100000,array<integer>[1]
25397,100000,array<integer>[1]
26242,100000,array<integer>[1]
25170,100000,array<integer>[1]
25433,100000,array<integer>[1]
25387,100000,array<integer>[1]
25327,100000,array<integer>[1]
25426,100000,array<integer>[1]
26047,100000,array<integer>[1]
25432,100000,array<integer>[1]
25064,100000,array<integer>[1]
26110,100000,array<integer>[1]
25154,100000,array<integer>[1]
25841,100000,array<integer>[1]
25735,100000,array<integer>[1]
24885,100000,array<integer>[1]
27782,100000,array<integer>[1]
25414,100000,array<integer>[1]
25732,100000,array<integer>[1]
24757,100000,array<integer>[1]
25963,100000,array<integer>[1]
25514,100000,array<integer>[1]
25415,100000,array<integer>[1]
25242,100000,array<integer>[1]
25472,100000,array<integer>[1]
25167,100000,array<integer>[1]
24911,100000,array<integer>[1]
24925,100000,array<integer>[1]
24951,100000,array<integer>[1]
