elapsed.ps,repeats.n,param.a.integer,param.b.integer
19078,100000,-7624429649655731,-5535475025161346
19121,100000,-6802600831631783,-4809987253034558
19103,100000,-2567056074770464,2554078365046041
18992,100000,8921535786455349,-757362267429967
19204,100000,4487351332673551,2396893711802298
19048,100000,7054885412439604,4481394730745129
19552,100000,-4120440206439,-2899171518961517
20403,100000,759916843555877,453404445795556
18688,100000,3970245681899792,3726242076373926
18621,100000,-3534255091421907,-8867489970746856
18954,100000,3131183348682342,-6586750306874189
18646,100000,5410224157519116,570881678363893
18668,100000,-1042202312750724,-4088898121560016
18946,100000,-7255949732192627,-7853309692821052
18758,100000,1086703750207504,-6796188864008104
18645,100000,1470093985489996,-3955479915098719
20874,100000,8182560626424371,-4007573083102736
21718,100000,1876477068762888,6809329598472865
23535,100000,-7439687098825292,-5828058996042574
19011,100000,-2793127329951836,2728363901111499
18951,100000,5687073312748475,-2845839878166230
18733,100000,-2416694690734673,-1624477345830382
18821,100000,-4815730947832633,-4709494076212643
18772,100000,2672310781790732,-1223699874440059
23153,100000,3762882042563132,-2723629451397893
18759,100000,-1547187082025847,-648942049152424
18914,100000,-8365561174807772,-3904518180944344
21544,100000,4715079775957996,-719013883726493
19102,100000,-4563839774987208,-4871003905975481
19080,100000,4263880975617173,-190515981498997
18935,100000,8562958194527390,-3849515116373212
18927,100000,-6997069446764346,3022942376767935
18853,100000,-5340856985914221,-7737733468802765
18630,100000,-956976292347668,5316196861258685
18987,100000,6704628148924281,7761421320603495
18921,100000,-6635183167911927,4606363049522746
18865,100000,-1037554260053140,-3396912415904926
20227,100000,-8292189757747696,2196300851275621
18818,100000,-3868681245527364,-3421935936676353
18977,100000,2671075897078571,6810889196053833
19021,100000,4222235602537040,6022582878614025
19005,100000,2804431390402463,-4742934202819862
19772,100000,7022344104898834,-3616401252149492
20415,100000,-5811080154048152,-2537995873594773
18882,100000,-7846632532371886,-5369494929141763
18909,100000,1669016266537098,5570937495550768
18848,100000,3483477684551426,-4030532176204387
22208,100000,-2262554201496228,5562871904645927
19135,100000,519765606131939,5661416168415509
18911,100000,-3658068391243090,-6266452889298924
18984,100000,2756133847249567,-6897697046347285
19014,100000,-2735008551589062,-212307390805124
18818,100000,-6365447930132764,5081964277375401
18870,100000,1258273830621712,-7262674830797030
18878,100000,-1665271503889336,2455710808704682
18900,100000,-87768722657869,-2284980614992026
18848,100000,5337884956294471,907732992082820
20799,100000,-686421723816312,-6686449190436888
20004,100000,5320440686780242,-7151052814203732
18883,100000,-8385352120054183,1006756668122577
18908,100000,-7068668478180554,-3641393167663743
20890,100000,2695494349422511,7729444348694547
19095,100000,-4717360730316979,-3057577802509463
19015,100000,2970531802917454,-1319166911995092
19266,100000,-5511666915435562,-6601723252647901
19517,100000,-1044195874144274,-6039338602204307
19082,100000,2729607229855910,1133320749891733
21956,100000,-5848850436617184,-5849754162375019
18821,100000,-6013553415551331,4551213959805252
18903,100000,-7414824354430755,-2312678057734574
19354,100000,-2908358601515731,8595756466227832
18694,100000,4557903149118785,-3955233756423753
18957,100000,-8363799490229090,4571787788734289
18870,100000,2052768322055613,3328753278382617
19118,100000,5968145554669419,-7161444477749430
18967,100000,-2457917538158970,1789509598507508
19099,100000,-7655907296887862,881617883415022
19032,100000,-5366008492552053,-860710805701433
20410,100000,2522794943533511,-2460888902011318
21039,100000,261290747637627,-3011628445321735
18827,100000,-4414419426989473,-5227678441140065
19150,100000,220265623267408,3938295421720061
19762,100000,8993037923534699,-4001416737468443
19035,100000,-5086130993432927,3494083317116382
19708,100000,-1950610451890169,-868106800704024
21087,100000,8161310056090232,8199913455658024
19155,100000,-4527046731112179,-8933636955471738
22132,100000,-7599668565692368,2370457820524635
19235,100000,5249710165774332,7249230468714805
19057,100000,3261774927621192,7182320260118671
19019,100000,2481168280538461,-8386188795031
19293,100000,7600904991476229,-7565675615787219
19039,100000,2662701627561538,4569885952427237
19045,100000,7322979967441048,-6894274479082431
19048,100000,-6925501629964401,-1969778219930540
18903,100000,1549188144798876,-8580448763744360
18849,100000,-3512363810199264,8632221330353198
21069,100000,5366109622160843,-242939703688985
19080,100000,-8078078090619957,-4979105417207625
18807,100000,2596246043052631,-2183959064128809
21235,100000,-8612283693985613,-1299344471532326
19104,100000,-7256127981457581,715445653910619
19160,100000,7056698501058680,6869054998613529
18920,100000,4520622304865953,1728907315232108
18973,100000,-2306563461329194,5349291616637487
19085,100000,-8866208119396454,-6390506809700395
19214,100000,-2410101263944481,6887052074727132
20711,100000,8491351300558659,7654534942320653
18997,100000,-1507600293350528,3018003685964725
19175,100000,6089147603153147,-791217388414060
18864,100000,-7849264347341613,700313875067204
19136,100000,-3953239684994909,6476321473526467
19315,100000,4091850735189854,2880986235172152
21067,100000,-1032215682325704,-8220168862548749
18898,100000,-2886881850989577,-4273442794832437
19179,100000,-6914221327388528,6916997348013640
19161,100000,-7649872794282691,-6780040206236915
22457,100000,5951923624680371,-4779907429358724
