elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
19739,100000,-1.6279086864372027e+38; 1.6805056394936803e+37; -1.8163802395538394e+38,-1.97969075367281e+38; -2.1171957552289586e+38; -1.468080256398987e+38
19528,100000,2.7638251377017625e+38; 1.2175868187191999e+38; -2.826686004138168e+38,-2.560601478196054e+38; 1.628410574662845e+38; -1.835863522219107e+38
19824,100000,9.452786860962292e+36; 9.676123064891221e+37; 2.9165624316943496e+38,1.9090248103727272e+38; -1.2942334361391114e+38; -2.322972361631479e+38
21850,100000,-1.0332263072051274e+38; 1.4348892086151392e+38; -3.706811911512779e+37,-2.1412281795442294e+38; -1.3577307645888795e+38; -2.7539392884368467e+38
21147,100000,1.6027668143166121e+38; 2.460203347833882e+38; -3.5604763544633926e+37,2.652320765488823e+38; -2.280943152450792e+38; -7.546539523760688e+37
19753,100000,-6.482705336458834e+37; -2.7399819482680938e+38; -8.395600740468274e+37,2.31464643248918e+38; -3.392622834123324e+38; 3.170989439892669e+38
20133,100000,8.589873265555652e+37; -2.925285693240784e+38; -1.6706653242383247e+38,-1.293298315644335e+38; -1.0041071559733087e+38; -1.1055888740685556e+38
19736,100000,-3.00265618985945e+38; -2.9231828130130775e+38; 2.1214347788361218e+38,-2.1608858909320886e+38; -3.014848351920397e+38; 2.6271841667947295e+38
19882,100000,-2.5819103805497464e+38; -3.3443515105630172e+38; -2.24317385775916e+38,-3.2718311465528726e+38; -1.5935946016336008e+38; -2.5496897446533853e+38
21603,100000,-3.725874334178771e+37; -2.3485809319970495e+38; -2.502360741843264e+38,-1.8758772683574793e+38; 2.9348802871037915e+38; -1.4732429409395005e+38
20213,100000,3.248022538627578e+37; -1.0893638590940664e+38; -2.6824773366188566e+36,-2.7282208888232723e+37; -8.847785400196166e+37; 3.8614794824273456e+37
19990,100000,3.064513685492763e+38; -9.62034846672214e+37; -2.1645217156776392e+38,-4.367304777303895e+37; 1.5444134598844981e+37; 1.1751762495319402e+37
19884,100000,1.291715476398866e+38; -8.746301349623815e+37; 1.830924755480618e+38,1.2213677641054646e+38; -1.0687724469801031e+38; -2.7328946658802898e+38
20042,100000,2.0110968479994884e+38; 1.7486564625908623e+38; 8.578327503888773e+37,6.949912162859671e+36; -1.0947646084173028e+37; 9.19045366808842e+37
19887,100000,-2.9151897182123744e+38; 2.996656551686642e+37; 3.300188794716122e+38,7.124845917450206e+37; -1.8871242701308962e+38; 9.770281109114734e+37
20645,100000,1.9588440874339847e+38; 9.51354636835171e+37; 2.87489744388412e+37,-7.924933227928815e+37; 7.287555970832861e+37; -3.3750181082355465e+38
19999,100000,3.7595147387473877e+37; -1.196526173059056e+38; 4.0788904339206885e+37,6.817536988340478e+37; -2.3726081335918473e+37; 1.5696878268458246e+38
20086,100000,3.2726929461369317e+38; 1.0932817107451558e+37; -4.105047992069953e+35,1.995331736662762e+38; -2.823313242245177e+38; -3.9112847139199526e+37
19671,100000,8.542907317877436e+37; 1.3050355432578722e+38; -3.362601419900287e+38,-1.8574397467313758e+38; 2.6330121143702428e+38; -1.6557461922061666e+38
20793,100000,2.7304198062604522e+38; -3.238129793343397e+37; -5.552370476228456e+37,3.1682661207551866e+38; 2.132966951288566e+38; 2.31979086286105e+38
19928,100000,5.161773860322292e+37; -1.0497211796393931e+38; -1.2425534508208149e+38,-5.932841606200236e+37; -2.240958815806345e+38; -1.821065476172283e+38
