runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
2,3987,30164,250000,4131793453,30
2,4046,34140,250000,3959634142,0
2,3947,28670,250000,2301080476,6
2,3997,30446,250000,1287235777,9
2,4088,33766,250000,1644717522,4
2,4112,34358,250000,1129587652,10
3,3544,23056,250000,2676684992,11
3,3423,23362,250000,2685963406,19
3,3341,23045,250000,2968235494,18
3,3351,23315,250000,3613483660,11
3,3259,23584,250000,2180140143,6
3,3298,23376,250000,869169630,0
3,3274,22870,250000,4025099230,14
3,3252,23380,250000,59645482,7
3,3311,23435,250000,1611671445,3
3,3345,23447,250000,1234915261,17
3,3288,23699,250000,601598945,24
3,3278,23698,250000,3820937465,29
3,3276,22831,250000,1393910624,8
3,3246,23511,250000,2841502868,24
3,3275,22659,250000,2707101510,5
3,3350,22286,250000,1402609686,24
3,3246,22661,250000,1104265494,24
3,3275,22388,250000,173536767,19
3,3371,23147,250000,2986492850,15
3,3276,23814,250000,3144971974,25
3,3336,23233,250000,1686039333,11
3,3400,22598,250000,1995608928,24
3,3251,22497,250000,1050401034,20
3,3269,22959,250000,1329635042,4
3,3590,23622,250000,2919028796,21
3,3281,23373,250000,2980586349,16
3,3328,22819,250000,3232150328,26
3,3381,22707,250000,1808151619,13
3,3281,22722,250000,287159891,15
3,3297,22161,250000,314491547,9
3,3304,22774,250000,2122410448,11
3,3316,22222,250000,3902362932,22
3,3245,23520,250000,2778830724,17
3,3413,23556,250000,3164148897,13
3,3282,23616,250000,1014375560,0
3,3324,22789,250000,4244741090,12
3,3276,22588,250000,2449368079,17
3,3301,23645,250000,372205787,2
3,3282,23033,250000,3733270084,20
3,3404,23733,250000,1953970609,7
3,3284,22695,250000,3593294400,14
3,3279,22619,250000,3697106672,27
3,3270,22399,250000,1544066335,20
3,3312,22305,250000,1019126187,24
3,3316,22176,250000,3667100406,2
3,3325,22590,250000,1957135709,14
3,3271,22554,250000,3457060846,10
3,3324,22490,250000,17012700,10
3,3276,22303,250000,528470152,14
3,3313,22344,250000,1140178340,3
3,3297,22467,250000,2427174316,9
3,3373,22384,250000,2328505972,21
3,3295,22466,250000,3398278181,0
3,3302,22322,250000,1534963456,15
3,3347,22256,250000,1352654286,29
3,3280,23385,250000,2137868642,26
3,3293,23432,250000,1535038101,12
3,3358,22445,250000,3075136054,18
3,3271,22572,250000,2359209748,18
3,3281,22603,250000,1727600734,31
3,3326,22261,250000,2384416668,11
3,3338,24608,250000,2420673717,20
3,3283,23226,250000,3265047695,7
3,3383,23182,250000,1061247421,5
3,3316,23291,250000,854470791,3
