runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
4,3913,27940,250000,3317612891,7
4,3764,28890,250000,54530859,27
4,3929,28549,250000,2830489769,2
4,4031,28405,250000,2246721938,9
4,3780,29601,250000,3074438495,5
4,3763,29995,250000,4133311341,0
4,4001,29560,250000,4023049983,4
4,3874,28434,250000,3427895943,5
4,3819,29303,250000,270461412,8
4,4248,29074,250000,2082831535,26
4,3728,27926,250000,3147592105,16
4,3762,30879,250000,3739324412,13
4,3846,26121,250000,3650753355,2
4,3923,28288,250000,3238777273,24
4,3777,38362,250000,2817689587,16
4,3864,27256,250000,3195404845,1
4,3805,33592,250000,893664915,12
4,3924,28920,250000,333472410,30
4,4017,29495,250000,1541022377,12
4,3842,36377,250000,2594933496,21
4,3848,34811,250000,2525479738,16
4,3780,34454,250000,1231991374,28
4,3879,34445,250000,924800933,24
4,3756,27976,250000,1871891732,5
4,3746,30886,250000,1964160028,15
4,4053,27203,250000,4172043803,9
4,4022,30880,250000,1025141757,6
4,3800,31624,250000,2103275275,21
4,3886,28203,250000,3670376533,8
4,3772,29750,250000,1913808004,3
4,4012,28929,250000,3363269824,9
4,4043,27743,250000,4032350741,29
4,3807,27414,250000,539655987,8
4,3713,27846,250000,1788328196,11
4,3703,28695,250000,18984720,21
4,4002,28231,250000,2161739,15
4,3804,33812,250000,2072443411,17
4,3831,34149,250000,363359143,6
4,3770,30365,250000,3823903115,16
4,3738,28618,250000,315537921,26
4,3728,26691,250000,2217561445,0
4,3649,27037,250000,2459991169,9
4,3745,29891,250000,218541585,8
5,4130,29367,250000,2345569576,31
5,4150,27913,250000,862200885,18
5,3944,27537,250000,565016722,21
5,3942,27544,250000,3416939702,5
5,4012,28713,250000,3542881648,28
5,4109,40326,250000,2422960970,0
5,3949,40388,250000,2750269731,30
5,3968,40238,250000,1138323792,8
5,4066,40111,250000,626929720,9
5,3962,40294,250000,3984093659,31
5,4057,30394,250000,3104874824,25
5,4253,39850,250000,3626882311,13
5,3944,40056,250000,3025213167,10
5,3946,40262,250000,849877016,30
5,4109,27265,250000,1127517092,12
5,4056,29228,250000,977939349,7
5,4189,30668,250000,3755548723,14
5,4377,29431,250000,458647156,2
5,4055,30159,250000,1198772039,26
5,4058,28484,250000,1638244877,12
5,3983,30030,250000,2288902041,15
5,3932,29481,250000,1912294516,9
5,3929,29740,250000,112352416,29
5,4055,28074,250000,3685884411,12
5,4121,27794,250000,2790696245,7
5,4010,33339,250000,95992407,29
5,3989,28013,250000,1079456477,10
5,3967,28558,250000,2115429636,23
5,3928,27349,250000,4054882015,23
5,4133,27139,250000,3822347775,26
5,4141,26142,250000,69096833,21
5,4042,30586,250000,3688862049,11
5,4088,30637,250000,1766510882,21
5,3991,28904,250000,4276059489,18
5,4021,30497,250000,2845853637,10
5,4129,29854,250000,1068284087,5
5,3999,31555,250000,3610962513,13
5,6023,41107,250000,4039033998,8
5,3976,40836,250000,3071595946,7
5,4256,28964,250000,3477209002,12
5,4107,28899,250000,3441227388,16
5,4094,28789,250000,2974948619,17
5,4025,28016,250000,1500779917,14
5,4108,29066,250000,1312274679,19
5,4078,30698,250000,33114380,1
5,4017,29941,250000,1526993579,0
5,3976,27652,250000,3185291638,5
5,4051,27372,250000,1074253115,16
5,3936,26919,250000,2646838193,20
5,4099,29369,250000,2008614712,5
5,4021,33549,250000,781995422,28
5,3926,33475,250000,4221862149,9
5,3960,32725,250000,1327668153,28
5,4137,30465,250000,2538809715,0
5,3990,26556,250000,3248022284,7
5,4038,26972,250000,1683618323,10
5,3936,28691,250000,2132100206,17
5,3997,34867,250000,2525288866,12
5,3944,28566,250000,206101503,18
5,4092,26651,250000,3786953666,22
5,3944,27010,250000,2112402961,9
5,3987,33883,250000,2736025778,19
5,3961,34672,250000,2686961383,13
5,3945,33730,250000,552034787,24
5,4067,28442,250000,3788709074,12
5,4131,27574,250000,3687405766,5
5,4140,32883,250000,3239775150,23
5,3970,33409,250000,3885097665,0
5,4032,26477,250000,758575000,27
5,4071,27000,250000,1904998967,6
5,4126,28837,250000,657456145,6
5,4037,33279,250000,3683048031,14
5,3984,30540,250000,3786073406,19
5,4045,26795,250000,3769393814,16
5,4104,27371,250000,736782969,13
5,4020,30180,250000,137464159,9
5,4036,33600,250000,1152518556,21
5,4039,27015,250000,3903206615,7
5,3948,27212,250000,36384011,7
5,3923,27060,250000,1235177618,20
5,3974,26704,250000,1579536010,20
5,3948,26681,250000,2592173481,10
5,3960,38232,250000,2842730290,28
5,4054,33456,250000,774331549,28
5,4065,27077,250000,3233577413,11
5,4132,34012,250000,2946633637,5
5,4072,30320,250000,1244945774,6
5,4045,33250,250000,2582767944,31
5,3922,26456,250000,3665800782,13
5,4110,29770,250000,1651927138,24
5,4023,33424,250000,811760841,10
5,3956,27856,250000,476007326,2
5,4218,32419,250000,142297984,21
5,4087,31833,250000,2314844597,30
5,4005,36523,250000,2578281949,31
5,4032,26416,250000,3587466461,11
5,3940,35637,250000,1466812306,5
5,4025,27357,250000,2366411790,27
5,3939,28613,250000,3343936447,22
5,3922,29196,250000,437478567,10
6,3616,25534,250000,2857916953,12
6,3491,26304,250000,2067522993,1
6,3615,25047,250000,870556276,20
6,3506,26796,250000,4258068917,27
6,3576,25896,250000,1028154146,19
6,3594,25577,250000,1448727825,15
6,3617,25694,250000,317349799,17
6,3573,25034,250000,1849408558,15
6,3506,25822,250000,117330536,7
6,3541,27902,250000,893951489,9
6,3771,27134,250000,901663430,22
6,3625,27496,250000,999600395,2
6,3803,27292,250000,2197181765,29
6,3496,26485,250000,1355618440,23
6,3608,24209,250000,3046933353,1
6,3436,25078,250000,1100336591,26
6,3481,24395,250000,3261277391,27
6,3725,25325,250000,233565594,7
6,3598,25272,250000,299223128,20
6,3501,25202,250000,233161318,5
6,3485,24207,250000,1549925561,2
6,3637,24918,250000,709642997,11
6,3759,24958,250000,2206184204,11
6,3629,26041,250000,3212074066,4
6,3496,24367,250000,3130768973,13
6,3528,26240,250000,3519337007,2
6,3516,26346,250000,312498409,4
6,3543,25325,250000,1014998411,31
6,3641,25798,250000,251057024,6
6,3613,27959,250000,1331888483,10
6,3881,26257,250000,4158688190,5
6,3575,25346,250000,684700729,27
6,3568,26544,250000,2854029979,26
6,3608,26411,250000,3405796064,26
6,3583,28359,250000,927345216,4
6,3474,24983,250000,482066266,12
6,3585,26121,250000,2688317923,6
6,3540,28227,250000,961441379,16
6,3747,26432,250000,3765767308,23
6,3506,25627,250000,126607604,27
6,3548,25880,250000,1423130978,5
6,3580,24959,250000,3800534734,22
6,3463,26079,250000,1702930050,22
6,3860,26733,250000,896690870,27
6,3561,23903,250000,3275687208,10
6,3444,25422,250000,359756779,10
6,3608,24947,250000,911216641,20
6,3497,25479,250000,3626088269,23
6,3511,25250,250000,1041050211,11
6,3645,27053,250000,2460685392,6
6,3492,25673,250000,233255676,9
6,3469,24736,250000,3822174470,26
6,3586,24644,250000,4233453549,5
6,3627,24655,250000,3761011517,14
6,3463,24383,250000,3433551398,15
6,3489,24548,250000,2638723063,8
6,3673,26573,250000,85129948,14
6,3540,26494,250000,2768563810,23
6,3752,28105,250000,3409075207,28
6,3615,25819,250000,917262447,13
6,3637,25376,250000,2967228873,16
6,3668,24183,250000,2736157281,21
6,3461,25247,250000,3344150111,25
6,3526,25576,250000,1345083157,28
6,3667,26224,250000,265534182,4
6,3666,37206,250000,2929578246,20
6,3555,29802,250000,1263391930,30
6,3676,24234,250000,3877861907,10
6,3768,26461,250000,4102816307,5
6,3510,28474,250000,1983655829,9
6,3552,28335,250000,3847473865,23
6,3594,35125,250000,3066977052,27
6,3607,27815,250000,2214616989,18
6,3599,28261,250000,3991144204,21
6,3587,26789,250000,3326984051,18
6,3502,27216,250000,494740201,11
6,3653,26712,250000,2426500688,30
6,3714,26192,250000,4151778142,7
6,3528,27194,250000,538847614,31
6,3702,27330,250000,2120791584,19
6,3621,27129,250000,2091325876,15
6,3530,26892,250000,2717732037,25
6,3712,25332,250000,4008851492,7
6,3684,25447,250000,3108608126,3
6,3662,41164,250000,276446674,1
6,3864,27114,250000,1337897152,22
6,3601,25813,250000,4141717554,7
6,3537,26232,250000,2202415561,21
6,3520,26351,250000,1800021479,8
6,3537,25807,250000,3389812942,22
6,3714,26168,250000,1863545389,21
6,3575,26782,250000,2224281234,28
6,3698,26762,250000,3922125275,4
6,3580,25873,250000,2275562144,15
6,3645,32538,250000,3950309659,20
6,3792,32847,250000,2054025760,12
6,3562,26021,250000,2358688956,17
6,3605,27367,250000,563593765,28
6,3541,27624,250000,896214094,31
6,3492,25250,250000,2733578335,19
7,3546,24942,250000,3694578169,18
7,3472,24538,250000,3059976765,15
7,3733,25134,250000,1118423422,12
7,3566,24731,250000,4292017038,1
7,3429,24498,250000,1091325128,19
7,3622,24305,250000,486979915,20
7,3491,24825,250000,3486769868,29
7,3413,24443,250000,1340559599,21
7,3605,25166,250000,3923017272,16
7,3602,24573,250000,2127637071,16
7,3474,24739,250000,3041007315,12
7,3474,24796,250000,2206804542,9
7,3494,25407,250000,1930904248,30
7,3522,25273,250000,2288833086,19
7,3482,24190,250000,3886463721,10
7,3433,25363,250000,515592533,19
7,3428,27220,250000,1400081567,17
7,3480,25635,250000,3725216911,9
7,3532,26815,250000,995579033,16
7,3380,25621,250000,1305899795,24
7,3504,23859,250000,3312528735,22
7,3461,26491,250000,2437595079,13
7,3427,25282,250000,603986661,8
7,3592,25705,250000,3796056671,26
7,3528,26093,250000,3334757342,17
7,3446,25081,250000,4228925768,31
7,3726,24432,250000,3177540984,18
7,3525,24383,250000,3007765804,2
7,3438,24257,250000,4277032486,13
7,3592,24106,250000,2675391927,5
7,3525,24756,250000,1124636801,31
7,3500,24782,250000,4206243949,10
7,3523,26677,250000,1354262298,0
7,3575,25372,250000,2275889858,5
7,3490,24790,250000,3963544905,7
7,3439,24932,250000,4249120667,26
7,3443,24173,250000,412995792,16
7,3427,24791,250000,2516679278,29
7,3490,27023,250000,1620261804,1
7,3462,25350,250000,1088389495,9
7,3471,25500,250000,1630098844,17
7,3541,24843,250000,1671789846,12
7,3575,24085,250000,1500645440,29
7,3435,24569,250000,1394120847,26
7,3663,24790,250000,1247351591,14
