runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
3,3339,21498,250000,2733293797
3,3419,21965,250000,491699887
3,3297,21898,250000,2150093085
3,3309,21539,250000,2478323576
3,3271,21779,250000,624981868
3,3281,21651,250000,3588127707
3,3276,21572,250000,2943428202
3,3351,21581,250000,3933484994
3,3275,21961,250000,1527013592
3,3293,21772,250000,1664285357
3,3275,22080,250000,4276012623
3,3270,21605,250000,865452395
3,3298,21696,250000,3367482826
3,3384,21236,250000,3701238325
3,3281,21837,250000,1892122328
3,3289,22775,250000,2718790569
3,3289,22558,250000,1021559042
3,3266,21276,250000,1021363926
3,3277,22329,250000,919256528
3,3351,22393,250000,548316463
3,3270,22131,250000,1499225053
3,3285,22265,250000,2575205129
3,3277,22774,250000,2631790836
3,3281,22327,250000,1807243238
4,4353,28287,250000,212280071
4,3779,27292,250000,1807664908
4,4065,27321,250000,664072468
4,3904,28152,250000,1825593120
4,4142,27104,250000,2115934449
4,4011,26943,250000,3531330131
4,4121,25963,250000,1874850870
4,4028,28269,250000,4225960748
4,4090,26746,250000,997529227
4,3860,27282,250000,307755761
4,4039,28814,250000,3130843169
4,3811,28108,250000,641877045
4,4106,27140,250000,3663533395
4,3865,29445,250000,803191444
4,3788,26998,250000,808491283
4,4033,26539,250000,2487975723
4,4143,26805,250000,603696530
4,3864,28176,250000,1673175375
4,4098,27716,250000,3009278458
4,3901,27800,250000,2959007457
4,3883,28840,250000,669701194
4,3845,26967,250000,3895245450
4,4312,27707,250000,459181834
4,3914,29439,250000,95148849
4,4093,27333,250000,3417444973
4,3841,31862,250000,4093469011
4,4053,26615,250000,137705093
4,4151,26240,250000,1978138399
4,3969,26349,250000,1433224829
4,3994,26964,250000,259862416
4,4312,26306,250000,3892676777
4,3834,30840,250000,3399369088
4,3971,26556,250000,2431902940
4,3817,26448,250000,3599037598
4,4204,25796,250000,2628809730
4,4221,26827,250000,1047062784
4,4594,29562,250000,1084053085
4,4033,29120,250000,13675626
4,4104,28402,250000,2696881494
4,3851,32899,250000,2473435896
4,3862,31297,250000,2862401093
4,4017,31448,250000,2063261876
4,4075,26122,250000,1230863419
4,4050,28399,250000,1807778816
4,4245,28344,250000,4057249536
4,3970,31178,250000,1861895325
4,4797,28779,250000,2279933837
4,3920,27799,250000,670957464
4,4076,29101,250000,2122817894
4,3856,28848,250000,4126547060
4,4020,26567,250000,973802895
4,3784,27540,250000,2557277869
4,3922,26533,250000,4192815938
4,4062,27140,250000,3398716366
4,4209,28716,250000,1097782841
4,3993,30070,250000,1441284423
4,4371,26413,250000,1493844739
4,3854,26628,250000,3704879963
4,3978,25739,250000,3363304496
4,3833,27804,250000,753722333
4,4147,26665,250000,3749840231
4,3842,29116,250000,2265769251
4,3934,27380,250000,1896285918
4,3938,26880,250000,2448789166
4,3807,26737,250000,1538408847
4,4061,26665,250000,492610915
4,4097,28172,250000,522540822
4,3907,26896,250000,199472129
4,3872,25744,250000,4177850161
4,4123,26153,250000,2785592712
4,3900,35093,250000,3363452513
4,4056,27182,250000,3131019360
4,4136,29147,250000,1347039487
4,4258,28235,250000,177517999
4,4201,27583,250000,3206946511
4,4239,26720,250000,3641420191
4,4072,27848,250000,2226411937
4,3991,29191,250000,421143607
4,4236,27069,250000,1232212860
4,4431,30974,250000,2724157820
4,3818,26375,250000,250062075
4,4317,26860,250000,3715654424
4,3886,27230,250000,46314061
4,3824,27346,250000,173466338
4,4247,29312,250000,3031069792
4,4126,27739,250000,334120262
4,3867,26690,250000,3428295358
4,3879,27934,250000,110075216
4,4056,26182,250000,1652819500
4,3882,28245,250000,3217213705
4,4291,28027,250000,463203896
4,4213,27116,250000,3470860872
4,3748,26268,250000,412122466
4,3831,26698,250000,284716233
4,3929,27681,250000,3691159685
4,3864,28620,250000,134134017
4,4069,29060,250000,757026141
4,4261,28363,250000,1560737540
4,4059,27928,250000,3574602423
4,3847,30107,250000,2247208314
5,3275,23611,250000,4100824393
5,3286,21670,250000,3610761423
5,3250,23453,250000,3744600945
5,3277,21538,250000,4168225818
5,3305,22010,250000,3228975124
5,3250,21549,250000,4005060326
5,3307,21623,250000,3182748809
5,3280,21524,250000,3604789636
5,3250,21496,250000,3137712870
5,3276,21492,250000,1565364872
5,3284,21526,250000,3839462617
5,3264,21863,250000,3508764043
5,3301,21446,250000,661061110
5,3271,21608,250000,3779155294
5,3247,21253,250000,61065044
5,3278,21211,250000,238142371
5,3290,21178,250000,3881562639
5,3258,21451,250000,858545708
5,3276,21541,250000,1789814338
5,3277,21496,250000,3645575472
5,3266,21620,250000,1899791629
5,3274,21825,250000,2034268594
5,3278,21575,250000,1312174491
5,3245,21471,250000,4088539652
5,3295,21465,250000,171138364
5,3275,21683,250000,852085469
5,3246,21416,250000,2358236146
5,3292,21254,250000,1665072955
5,3270,21345,250000,1520242077
5,3283,21430,250000,4077809484
5,3275,21216,250000,3704334683
5,3296,21637,250000,3887459193
5,3246,21749,250000,996831106
5,3276,21601,250000,2109702828
5,3282,21314,250000,4107824933
5,3245,21195,250000,1291436880
5,3276,21539,250000,1980643776
5,3276,21252,250000,1408011674
5,3250,21462,250000,1240610139
5,3273,21271,250000,2564931062
5,3293,21626,250000,2451968453
5,3248,21418,250000,640563137
