runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
4,3873,26746,250000,3737198803
4,3758,26005,250000,2579560688
4,4138,26436,250000,265439014
4,4256,27143,250000,806974191
4,4400,27631,250000,652313212
4,3945,26668,250000,287006066
4,3863,32779,250000,4051493143
4,4178,25276,250000,1472631089
4,3895,26499,250000,1019561747
4,3794,26695,250000,3110820549
4,4085,26034,250000,2327132588
4,4030,25412,250000,1344483056
4,3984,26951,250000,2697010713
4,4310,28427,250000,1898938853
4,3967,27564,250000,628544627
4,4197,27505,250000,1310122620
4,4236,28533,250000,2074762575
4,4033,26777,250000,2592675947
4,4002,25852,250000,1841815846
4,3957,26764,250000,2304475252
4,3961,26326,250000,249283971
4,4047,25777,250000,613449433
4,3811,27260,250000,1856517714
4,3751,27181,250000,2004680034
4,3754,26872,250000,2265263935
4,3794,28345,250000,400003792
4,3770,27688,250000,3513813192
4,4006,25897,250000,26746082
4,4181,26288,250000,1618421982
4,3931,28000,250000,3789215355
4,4048,27912,250000,141304973
4,4046,29370,250000,3740454419
4,3903,29793,250000,3137962437
4,4088,28456,250000,3760064503
4,4034,30350,250000,1315409229
4,3937,28214,250000,2310635487
4,3903,27894,250000,575915948
4,4040,27133,250000,2480402250
4,4172,28339,250000,2479269819
4,3775,27522,250000,2876394597
4,3796,28845,250000,2775595018
4,4097,27355,250000,1746506446
4,4007,26945,250000,836881067
4,3875,28503,250000,1436586890
4,3945,27803,250000,3297726029
4,3917,25921,250000,1811800636
4,3724,26000,250000,1645945738
4,3747,27768,250000,3768217737
4,4145,26678,250000,4245217563
4,3787,26691,250000,1790197764
4,3777,28855,250000,2000389336
4,4030,28426,250000,2122793614
4,3842,27700,250000,2289152306
4,4119,26582,250000,1862971572
4,3955,26554,250000,2175870508
4,4046,30445,250000,2323826849
4,3906,27743,250000,1999157603
4,4104,29273,250000,2023697271
4,3736,29081,250000,1435233741
4,3992,29401,250000,180936512
4,3925,28551,250000,3465112330
4,3992,28093,250000,396650754
4,3909,29196,250000,4118004512
4,4006,27585,250000,3738144823
4,3753,29810,250000,442673034
4,3826,27844,250000,3220731365
4,4062,26838,250000,3523662927
4,3808,27326,250000,2216764663
4,4008,27430,250000,3968557933
4,3783,28539,250000,3518405564
4,4049,29339,250000,1232968198
4,3781,29321,250000,3094707741
5,3272,21330,250000,46239708
5,3266,21237,250000,3499671703
5,3279,21310,250000,1644613317
5,3392,21961,250000,3768552855
5,3279,21410,250000,2131029607
5,3278,21337,250000,1862859290
5,3277,22251,250000,1864957924
5,3299,23048,250000,2242289689
5,3282,21313,250000,2121288768
5,3280,21393,250000,1865566219
5,3290,21474,250000,705476325
5,3275,21446,250000,1678122006
5,3274,21457,250000,3924141114
5,3271,21360,250000,425783142
5,3278,21279,250000,1535946456
5,3279,21275,250000,3572646912
5,3277,21930,250000,2765162107
5,3277,21242,250000,593314593
5,3275,21439,250000,21384235
5,3284,21490,250000,2657676740
5,3303,21531,250000,1723977759
5,3275,21445,250000,3598301720
5,3288,21921,250000,1484399127
5,3271,21423,250000,3163108740
5,3279,21328,250000,3269906799
5,3277,21674,250000,3824973789
5,3275,21471,250000,712734396
5,3278,21970,250000,2139123128
5,3310,21994,250000,2566998088
5,3283,21514,250000,2453805363
5,3276,21586,250000,4133396371
5,3286,21517,250000,122589211
5,3309,21312,250000,3779303767
5,3283,21477,250000,2172847848
5,3268,21615,250000,3629379034
5,3279,21483,250000,4029900058
5,3281,21456,250000,782670999
5,3278,21336,250000,987598280
5,3298,21381,250000,3487160282
5,3281,21289,250000,1598472119
5,3288,21621,250000,3467782007
5,3288,21597,250000,1179490038
5,3289,21814,250000,932111535
5,3276,21309,250000,1645753821
5,3294,21237,250000,2925044586
5,3271,21497,250000,4035086565
5,3267,21447,250000,3282211010
5,3294,21609,250000,1010287610
5,3306,21315,250000,206942892
5,3271,21289,250000,193296335
5,3317,21333,250000,1254871931
5,3282,21659,250000,2682514235
5,3295,21401,250000,2940319615
5,3278,21188,250000,3277704186
5,3301,21536,250000,3468557462
5,3339,21480,250000,972595526
5,3284,21242,250000,3003953934
5,3290,21352,250000,674127074
5,3314,21251,250000,3073855338
5,3271,21685,250000,1842125303
5,3275,21470,250000,920232455
5,3302,21202,250000,3219777570
5,3293,21468,250000,3640912531
5,3331,22027,250000,1376262929
5,3315,21609,250000,2202516077
5,3273,21354,250000,909248365
5,3282,21278,250000,2078674403
5,3274,21457,250000,2477050150
5,3270,21330,250000,910725743
5,3272,21275,250000,1165783197
5,3299,21381,250000,3380884344
5,3277,21278,250000,1469599765
5,3275,21337,250000,3583207603
5,3276,21447,250000,2398856472
5,3293,21199,250000,854579156
5,3296,21468,250000,1330326449
5,3272,21391,250000,836052145
5,3279,21425,250000,100068612
5,3272,21424,250000,2931836369
5,3275,21192,250000,1324639444
5,3337,22431,250000,3451396343
5,3274,21342,250000,4165407716
5,3289,21386,250000,2050736574
5,3290,21315,250000,3205873250
5,3278,21405,250000,2640820678
5,3277,21438,250000,4154092664
5,3308,21227,250000,433926894
5,3275,21712,250000,2088624469
5,3270,21229,250000,2941297082
5,3274,21286,250000,3791933256
5,3277,21390,250000,3476604536
5,3279,21233,250000,3695120708
5,3291,21345,250000,3195962474
5,3301,21271,250000,1750755501
5,3325,21495,250000,2705042031
5,3275,21336,250000,609244041
5,3278,21385,250000,1587552433
5,3279,21450,250000,1597709315
5,3303,21190,250000,1525437224
5,3298,21363,250000,2704581889
6,3276,21465,250000,3873824453
6,3274,21532,250000,869768043
6,3269,21524,250000,3763764997
6,3267,21414,250000,557413970
6,3270,21565,250000,4207349864
6,3272,21487,250000,3108816940
6,3277,21374,250000,1100748088
6,3278,21362,250000,294552880
6,3269,21587,250000,932355994
6,3269,21254,250000,2220805214
6,3287,21474,250000,491130046
6,3266,21461,250000,2865623544
6,3273,21564,250000,1315574232
6,3278,21520,250000,570099344
6,3273,21558,250000,1227728089
6,3273,22592,250000,3060290232
6,3278,23999,250000,1916089526
6,3274,23772,250000,1554363833
6,3264,22496,250000,371520638
6,3269,24025,250000,2670155520
6,3271,23315,250000,3236978202
6,3269,21443,250000,2759615126
6,3274,21431,250000,3534474055
6,3272,21448,250000,1360791829
6,3386,21344,250000,2328920517
6,3284,21506,250000,632170492
6,3270,21423,250000,1720047603
6,3268,21441,250000,3939584545
6,3269,21330,250000,1152554531
6,3267,21498,250000,1793001662
6,3271,21609,250000,1199973573
6,3274,21378,250000,1114084716
6,3273,21521,250000,4257003922
6,3271,21362,250000,1930416274
6,3274,21397,250000,1747567973
6,3273,21352,250000,3510548229
6,3269,21347,250000,2357659443
6,3270,21534,250000,533675025
6,3275,21559,250000,707722803
6,3269,21544,250000,2588605053
6,3269,21398,250000,123438497
6,3275,21359,250000,3734096717
6,3279,21257,250000,2158717992
6,3288,21451,250000,740187823
6,3269,21479,250000,2716574724
6,3274,21467,250000,2796811863
6,3275,21370,250000,3381384768
6,3270,21327,250000,3599783236
6,3271,21439,250000,2659454232
6,3272,21480,250000,1950396467
6,3268,21459,250000,1316485321
6,3271,21553,250000,3292869607
6,3272,21420,250000,1221785599
6,3267,21555,250000,4017529739
6,3273,21390,250000,2185980864
6,3276,21572,250000,3004368091
6,3271,21678,250000,3613921819
6,3273,21516,250000,2966667810
6,3282,21422,250000,894060660
6,3266,21348,250000,2946868672
6,3272,21414,250000,1664673047
6,3274,21291,250000,4278854603
6,3278,21605,250000,912564319
6,3270,21554,250000,1822720746
6,3276,21405,250000,514106182
6,3245,21562,250000,2612311870
6,3285,21673,250000,3188534042
6,3269,21429,250000,1312556957
6,3268,21513,250000,383119653
6,3266,21374,250000,1581058223
6,3282,21326,250000,2994556638
6,3270,21285,250000,4263437922
6,3282,21928,250000,3758814047
6,3273,21354,250000,1534380534
6,3272,22372,250000,2248430311
6,3275,24108,250000,3861861900
6,3277,22868,250000,60943867
6,3271,24868,250000,2273465858
6,3276,23923,250000,685065173
6,3270,24237,250000,4030419896
6,3263,25274,250000,613333095
6,3264,24038,250000,1565123107
6,3274,23954,250000,2598980486
6,3273,24061,250000,2193832094
6,3267,24030,250000,93027089
6,3265,22694,250000,2527555687
6,3269,22714,250000,2823589460
6,3273,23882,250000,3536143502
6,3373,22795,250000,1903094699
6,3276,21828,250000,4067289027
6,3267,21706,250000,3827350682
6,3275,21775,250000,3036413406
6,3266,23219,250000,848088055
6,3265,21815,250000,2425024616
6,3278,22767,250000,1704885299
6,3265,21725,250000,128413290
6,3272,22590,250000,3970741964
6,3266,21835,250000,4024061058
6,3275,21827,250000,1148914752
6,3268,21818,250000,2367296585
7,3910,27057,250000,393695134
7,3825,26678,250000,1780530712
7,3903,26166,250000,2448120347
7,3842,25785,250000,564345918
7,3786,25266,250000,3616225280
7,3928,26040,250000,3752068924
7,3989,28298,250000,3712990209
7,3769,27138,250000,4180761501
7,3708,27660,250000,2905087343
7,3947,27582,250000,673246845
7,3967,27424,250000,121896476
7,4145,27810,250000,630333667
7,3839,29586,250000,2021314721
7,3845,27744,250000,1025142911
7,4022,32242,250000,2700282052
7,3949,28304,250000,768360879
7,4342,26218,250000,892100812
7,3793,26381,250000,3785312144
7,3741,26300,250000,2321517039
7,3700,25586,250000,3694907538
7,3733,25423,250000,1122950035
7,3852,24627,250000,240359542
7,3820,24861,250000,2174198992
7,3874,28300,250000,1674110861
7,3966,26221,250000,1835796529
7,3761,27877,250000,3407540748
7,3644,26147,250000,4057652973
7,3932,26797,250000,3502058574
7,3942,25750,250000,3338545742
7,3855,25283,250000,3802379397
7,3769,27373,250000,1511379464
7,3862,27851,250000,2220797800
7,3834,28945,250000,863866072
7,3816,25695,250000,1108994284
7,3859,26167,250000,676491953
7,3830,25957,250000,3914048047
7,3892,25705,250000,3618242996
7,4237,25463,250000,541255608
7,3892,26513,250000,654565818
7,3888,25606,250000,2087845335
7,4122,27986,250000,1553286712
7,3851,27543,250000,3407301032
7,3757,27866,250000,2944781408
7,3843,26290,250000,1049586924
7,3778,28139,250000,1623627011
7,3961,26179,250000,3711755469
7,4053,28027,250000,472534395
7,3847,25780,250000,3089144583
7,3869,25295,250000,3931984605
7,3827,25706,250000,994712309
7,3882,26696,250000,1707146225
7,3814,32297,250000,3776975
7,4018,35212,250000,2257902765
7,3753,25969,250000,683011902
7,3764,26527,250000,1365663379
7,3884,25835,250000,4294772584
7,3884,27871,250000,3921929990
7,3915,25398,250000,3064500164
7,3980,30550,250000,514005672
7,3758,24993,250000,2976127521
7,3832,26540,250000,3809668518
7,3783,26696,250000,3435118318
7,4122,26248,250000,1890310987
7,3791,27251,250000,1032146174
7,3921,25941,250000,2260264920
7,4250,26213,250000,1552541604
7,3895,29250,250000,2118448930
7,4293,25776,250000,1856938039
7,4001,24844,250000,3931155085
7,3916,27284,250000,2573918492
7,3931,25146,250000,3271485046
7,3697,26433,250000,2671226251
7,3816,25697,250000,251944740
7,3832,25723,250000,2323774377
7,3869,25950,250000,2671488214
7,3868,28606,250000,3258754662
7,4149,24826,250000,1070529896
7,3975,27247,250000,939133931
7,3773,26652,250000,662157258
7,3800,25825,250000,2875547128
7,3788,29376,250000,1395179553
7,3853,26912,250000,969151720
7,3867,25415,250000,3260032568
7,3701,25081,250000,3025429223
7,3857,26292,250000,872535981
7,3726,26577,250000,2800727097
7,3983,26468,250000,4103959874
7,3733,26583,250000,170368826
7,3884,25163,250000,1310138554
7,3844,25788,250000,1730145135
7,3770,26969,250000,1592830183
7,4076,25960,250000,1075941743
7,3962,26452,250000,3785945809
7,3877,25884,250000,3287567678
7,4025,25510,250000,3531438664
7,4023,26618,250000,1493246651
7,3787,27068,250000,1932557113
7,3874,25625,250000,1741519313
7,3725,25949,250000,633706273
7,3765,27614,250000,858705720
8,4611,30071,250000,3619671382
8,3975,30105,250000,502893466
8,3964,29683,250000,2753072770
8,4134,30811,250000,1380032092
8,4219,27756,250000,160774304
8,3932,29615,250000,2899603089
8,3989,30138,250000,4257928723
8,4037,32215,250000,859866728
8,4209,30337,250000,1746969894
8,4102,30122,250000,3553107327
8,4104,30895,250000,3092534753
8,4171,29243,250000,1454813617
8,4497,36681,250000,3197458665
8,4049,38892,250000,3980582171
8,4250,35852,250000,1112360068
8,4081,33755,250000,2259847594
8,4170,30923,250000,968618135
8,4279,30710,250000,2540269632
8,4797,30992,250000,802948532
8,4305,34922,250000,3245097346
8,4318,29773,250000,2827923903
8,4112,31988,250000,4150226888
8,4333,29132,250000,97518033
8,4168,29960,250000,234461386
8,4023,29701,250000,3894970528
8,4087,30208,250000,156469690
8,3962,29417,250000,2841715632
8,4167,30125,250000,1891624103
8,4267,30932,250000,1240563922
8,4322,29863,250000,723655328
8,4023,38638,250000,3380520063
8,4163,30200,250000,2100351659
8,4359,30928,250000,3198501692
8,4015,30270,250000,1267005072
8,4167,28959,250000,2546536405
8,4017,29348,250000,1431194836
8,4808,29604,250000,1343757354
8,4187,36878,250000,3030623443
8,3901,27220,250000,3348569183
8,4879,29048,250000,1208634032
8,4084,29147,250000,1684054584
8,3952,29471,250000,803764217
8,4472,30489,250000,1008973791
8,4127,30084,250000,374492040
8,4324,32596,250000,1153582575
8,4220,29656,250000,1751228896
8,4401,30779,250000,2726162438
8,4330,30180,250000,285455529
8,4016,30585,250000,3593402353
8,5457,31009,250000,1828928440
8,4546,32871,250000,1624901628
8,4121,32138,250000,1168875720
8,3955,30904,250000,3614772346
8,4765,30847,250000,2403625383
8,4257,31115,250000,4123835182
8,3935,29176,250000,741148678
8,4108,30564,250000,2256048527
8,4363,29942,250000,2173048050
8,4224,28870,250000,3714185509
8,3938,29293,250000,853941260
8,4771,30859,250000,3975659518
8,3980,32036,250000,678241335
8,4239,32280,250000,3979654980
8,4140,30504,250000,2019934148
8,4333,30879,250000,983761822
8,4897,31523,250000,380598202
8,4284,30347,250000,1565280486
8,4164,35978,250000,1555131116
8,4400,34108,250000,2337591477
8,4351,30979,250000,3184317573
8,4145,29995,250000,4255611636
8,4390,35790,250000,3457583695
8,4546,30749,250000,1470440391
8,4312,30594,250000,935379203
8,4306,30675,250000,4119753864
8,4205,29407,250000,2550346135
8,3986,31723,250000,3446547117
8,4399,30306,250000,2863927911
8,4269,31404,250000,4217646262
8,4072,29951,250000,4284241056
8,4792,31397,250000,2058012756
8,4133,33389,250000,2575546568
8,4520,29086,250000,769309594
8,4214,30337,250000,1245332138
8,3988,31142,250000,357258974
8,4124,32257,250000,3886599943
8,4349,32023,250000,41559802
8,4367,31711,250000,1039370109
8,4946,30467,250000,1567904356
8,4169,29814,250000,1334060564
8,4437,32037,250000,681317187
8,4243,28366,250000,3636996337
8,4215,30852,250000,1401290606
8,4422,30243,250000,804873279
8,4400,35788,250000,555454189
8,4362,30808,250000,2604703459
8,4377,28288,250000,1053338356
8,4119,30709,250000,1947584486
8,4354,34690,250000,2751536372
8,4221,30972,250000,4248256787
9,3620,28829,250000,4293661410
9,3503,28315,250000,2212516240
9,3509,28215,250000,1414723148
9,3510,28328,250000,1850096338
9,3404,28135,250000,2840390365
9,3504,28107,250000,3038692881
9,3420,27739,250000,2294920665
9,3428,28088,250000,3824295614
9,3500,28642,250000,4264369267
9,3437,28010,250000,2680846062
9,3683,28326,250000,811939607
9,3506,28165,250000,190350625
9,3437,28251,250000,1813627057
9,3403,28181,250000,4248528995
9,3413,27856,250000,1921556572
9,3465,27629,250000,3873795744
9,3492,27272,250000,834336370
9,3452,27490,250000,2634844417
9,3407,27603,250000,1687412372
9,3412,27348,250000,2990985081
9,3469,27426,250000,2851036375
9,3472,27417,250000,1590118763
9,3470,27475,250000,1558033111
9,3492,27619,250000,3478027105
9,3527,28444,250000,766501800
9,3413,29146,250000,519884679
9,3414,27710,250000,3747753651
9,3468,27337,250000,1925259854
9,3433,27939,250000,3700961579
9,3418,29606,250000,1765346766
9,3439,28009,250000,1397458578
9,3441,27508,250000,4134135007
9,3444,27510,250000,3536031608
9,3504,27636,250000,1129194997
9,3606,27814,250000,3317854803
9,3455,28096,250000,3262494988
9,3459,27872,250000,2573102835
9,3525,27403,250000,702220255
9,3518,27781,250000,3980874935
9,3434,27621,250000,542379604
9,3471,28996,250000,2324889158
9,3361,27374,250000,2450935423
9,3549,27612,250000,1305961732
9,3425,28335,250000,4225171266
9,3541,27972,250000,499290295
9,3426,27827,250000,903049795
9,3426,27944,250000,3776104702
9,3388,28218,250000,665209787
9,3472,27588,250000,3735456973
9,3478,27583,250000,2685882093
9,3431,28159,250000,31714298
9,3476,27345,250000,3265847988
9,3448,27663,250000,3591000798
9,3388,27486,250000,1689308510
9,3394,28202,250000,3893625840
9,3482,27684,250000,3822813827
9,3462,27305,250000,1754077598
9,3390,27388,250000,2003850532
9,3476,27294,250000,4082282041
9,3398,27546,250000,1192055334
9,3454,27695,250000,3373181315
9,3414,27956,250000,3104819426
9,3410,27141,250000,2754308102
9,3470,28150,250000,2432302980
9,3409,27302,250000,3473232834
9,3411,27344,250000,39624640
9,3488,27467,250000,2742306217
9,3495,29077,250000,1945515199
9,3360,27314,250000,4293475533
9,3391,27179,250000,1074045627
9,3450,27158,250000,4073980778
9,3360,29326,250000,2252315278
9,3458,27455,250000,1343294858
9,3465,27299,250000,3502726952
9,3506,27706,250000,510801865
9,3495,27541,250000,260439864
9,3413,27815,250000,3073728429
9,3360,27539,250000,4160320209
9,3398,27620,250000,287468334
9,3450,27364,250000,3574135089
