runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
4,4061,30430,250000,1248141754,1778759415,1436889586
4,4186,29711,250000,1931408394,2740895692,913750519
4,3888,29975,250000,2499328640,239584517,463679244
4,4024,30218,250000,721007909,2996837998,3236051078
4,3966,29721,250000,917563764,3417740789,4096978431
4,3938,30363,250000,2933502207,4259722914,2133524328
4,3907,32180,250000,3797973498,3710056451,3992705262
5,3258,25931,250000,1428571382,2872407756,2501411986
5,3275,26136,250000,3569027823,2134804014,1153306372
5,3273,25582,250000,497763474,3118907574,2826758137
5,3249,25229,250000,4159991647,2831702601,2733966592
5,3276,25198,250000,228916968,2824860163,3338660573
5,3270,25234,250000,1866755304,4176565333,4073586658
5,3248,25232,250000,320099240,3054515918,3852304466
5,3293,25912,250000,1218251235,60290503,1917619549
5,3278,25807,250000,3433085502,3178494781,2307607173
5,3249,25229,250000,606888803,3034026076,1515684936
5,3285,26368,250000,2489184447,1166519778,704106289
5,3295,25411,250000,1205233712,1239950698,114007065
5,3250,26428,250000,1803162416,516010012,1685666196
5,3295,25200,250000,2780874815,713136105,4010266860
5,3284,25899,250000,1869117325,893214768,48584599
5,3249,25391,250000,955216157,1621047666,1955913711
5,3350,28276,250000,2626378441,2003466889,3505319753
5,3270,26047,250000,3610698060,1670710443,18481498
5,3248,25314,250000,4143192277,2467733554,2148830409
5,3285,26184,250000,2853089771,569848062,3470625871
5,3283,25099,250000,1496017421,2217114612,4054957965
5,3246,25513,250000,324335493,4248983774,1020466295
5,3299,24942,250000,979710087,3237652391,3212243397
5,3272,26423,250000,2312560559,2376972560,2290073516
5,3249,26120,250000,817018043,3268788566,3620608827
5,3290,26601,250000,4253750234,2380255243,4208160746
5,3275,24464,250000,1919672235,4075771340,2281222186
5,3258,24852,250000,654670134,1752262298,1478857446
5,3316,25379,250000,2871807058,4061734952,2533837530
5,3300,24992,250000,3118820932,3466749363,1169893943
5,3247,24900,250000,2124685712,1258324102,39745238
5,3274,24522,250000,3925008983,219477895,3700415127
5,3271,24482,250000,3699404436,3745062363,3027412504
5,3247,24829,250000,3716124400,4150678917,2259933162
5,3287,25135,250000,1858544570,4102840130,1977807552
5,3439,24720,250000,2504761644,1638304485,1689330584
5,3341,24986,250000,1956376561,875400718,2503515524
5,3293,24459,250000,2810623457,1516530536,1272312424
5,3286,24859,250000,633925171,4005248805,2385817724
5,3259,25768,250000,3306178597,1920300985,863262463
5,3307,25389,250000,1773522558,2434962984,3673382465
5,3519,24849,250000,4204445350,3115382764,3230659683
5,3247,24245,250000,189397152,3349447611,2891643169
5,3277,24337,250000,4080220853,1541831064,621609677
5,3266,24399,250000,2047329642,1931584601,2184105938
5,3252,24357,250000,1339560051,962835053,2979867734
5,3276,24332,250000,2563850501,1484529280,361424117
5,3283,24586,250000,4127118408,261756097,1900349241
5,3246,24635,250000,2399242037,2751393867,3167657188
5,3276,24385,250000,346692775,1791274547,616871029
5,3270,24476,250000,2058284413,1670018797,3620804805
5,3249,24222,250000,3443627628,362390100,2720068574
5,3269,24224,250000,2343638516,1220085557,3684611922
5,3283,24510,250000,426331561,1101192674,1164559492
5,3245,24324,250000,1251098248,2017153985,3991228700
5,3275,24265,250000,841557830,2947733196,88500305
5,3268,24450,250000,1294281023,1154392889,3785697896
5,3248,24399,250000,1638387297,569893204,253391204
5,3273,24279,250000,3533803203,4005160595,1776620449
5,3273,24451,250000,4117160983,1993968566,2131278525
5,3248,24422,250000,1367368194,1581040686,2537890950
5,3280,24235,250000,1914028120,3268353822,1208937466
5,3295,24323,250000,100683537,1185901138,1107366381
5,3245,24277,250000,1880739869,1793532419,3911292278
5,3282,24286,250000,3914757209,954314061,1251775073
5,3282,24560,250000,1382371943,1121231470,739244489
5,3250,24315,250000,2355992327,3979572210,2601064662
5,3277,24125,250000,34355529,4155527439,1129202978
5,3296,24293,250000,717707234,882760579,4265213220
5,3249,24233,250000,839467883,2901461876,3998683376
5,3277,24305,250000,1895876445,3943336857,3311540712
5,3273,24427,250000,1506669107,3236366339,20672094
5,3249,24284,250000,913634193,3344117305,138894523
5,3281,24316,250000,3897423074,2834601055,1506768390
5,3279,24403,250000,829553284,3691877488,3874061586
5,3247,24274,250000,742258779,2282600002,60767003
5,3276,24499,250000,1196194719,1959696057,413807224
5,3280,24645,250000,2215901987,774858682,3287951340
5,3249,24380,250000,2255311050,2658505918,1996359402
5,3276,24444,250000,1165731852,1927862917,3282449104
5,3279,24226,250000,349067326,1195229889,1574527612
5,3274,24959,250000,3592512966,2489904785,4000846465
5,3300,24407,250000,3100035619,3452457520,2949169297
5,3286,24558,250000,269354660,2960137480,1586533911
5,3251,24535,250000,323796318,2824694005,311228003
5,3275,24210,250000,777177040,1285980447,989857018
5,3272,24343,250000,2687477486,1095926737,411399225
5,3250,24267,250000,1932115119,770734737,3839455409
5,3284,24305,250000,1590811956,647854458,363227443
5,3279,24480,250000,2482843808,3312993651,3945998050
5,3247,24403,250000,2396672160,3044029006,1496899647
5,3301,24192,250000,3380339024,1446738997,3867478511
5,3294,25199,250000,809618997,2477451500,3292711621
5,3252,24461,250000,4171847661,2721873294,3752687269
5,3287,24222,250000,398372001,770589420,2330822010
5,3284,24679,250000,1391196657,406640220,1872317065
5,3271,25172,250000,18949539,4265188699,2966648658
5,3294,24296,250000,283123381,2513707400,1873875864
5,3305,25960,250000,1905484912,2759457074,2062569295
5,3249,24226,250000,705867442,2942076602,2641192268
6,3282,24088,250000,114932025,2577606767,3765718581
6,3257,24533,250000,2809253544,790269540,2258898350
6,3265,24237,250000,4170816122,4016683170,4141957829
6,3279,24205,250000,3822311649,3090937336,847201826
6,3245,24440,250000,4008942963,2752535590,3269149810
6,3269,24270,250000,1617759437,2723389638,4283492436
6,3268,24283,250000,702703378,177871551,1693287048
6,3244,24352,250000,3879545051,1662649374,1168478123
6,3270,24197,250000,1131662426,1246518428,1530795809
6,3266,24280,250000,3142796427,678611133,1936111048
6,3245,24401,250000,1184257644,1662554236,3089613175
6,3266,24389,250000,2511317844,3092446608,729104352
6,3270,24300,250000,3465714124,3697585286,2913106233
6,3245,24304,250000,1197535605,1917855510,3098278644
6,3268,24415,250000,3582939696,1288831728,1185416926
6,3269,24225,250000,940471526,3741801503,318083985
6,3245,24407,250000,3152004837,1810046050,45215374
6,3276,24368,250000,2708118652,686284517,3681978546
6,3267,24239,250000,3411827021,3825354398,1526824794
6,3246,24292,250000,1833776985,3876531592,1630695571
6,3282,24098,250000,1170352030,943126786,1595406358
6,3265,24190,250000,2549731473,2022183498,1902738067
6,3245,24234,250000,4147355010,26917937,1807529506
6,3263,24190,250000,3639076300,1887536616,1082087441
6,3267,24143,250000,887323459,2739978708,69879148
6,3248,24131,250000,3072073782,2146015013,1470681596
6,3262,24334,250000,17815200,91723717,253778621
6,3270,24107,250000,3474397316,3715172886,2076736466
6,3244,24378,250000,984299188,2603817442,162150740
6,3264,24122,250000,492238108,1933121484,525707745
6,3265,24191,250000,1208817018,2392498615,1571583243
6,3248,24373,250000,1724490264,872914752,969162123
6,3268,24180,250000,3561339362,4203057690,1711660323
6,3275,24296,250000,2494655481,2066099995,2529349973
6,3247,24533,250000,1400830209,3044418953,298620038
6,3270,24271,250000,915810194,860116418,2275635047
6,3268,24338,250000,2347408741,2767758,2341783321
6,3250,24323,250000,3895872258,1067980890,3020404324
