runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.float
3,3456,32152,10000,Buffer[778],114,1034201780.2131264
3,6542,31328,10000,Buffer[965],76,731730652.3171418
3,3480,33277,10000,Buffer[514],99,792916407.4438725
3,3405,25760,10000,Buffer[860],9,1991320897.0029652
3,3454,30967,10000,Buffer[512],81,-1747141680.6189473
3,3460,25665,10000,Buffer[643],63,419320964.3075502
3,3550,28616,10000,Buffer[656],16,655994156.7712705
3,5759,26480,10000,Buffer[840],19,1077754963.9944823
3,3555,36131,10000,Buffer[759],64,1862167124.5374615
3,3472,31930,10000,Buffer[592],89,904102665.7593558
3,3465,27684,10000,Buffer[742],37,1784907146.1439283
3,5315,28085,10000,Buffer[638],65,-1885363771.8453293
3,3788,35404,10000,Buffer[792],62,145447999.28853106
3,4348,37046,10000,Buffer[878],4,2000300630.8956
3,3551,37022,10000,Buffer[959],54,784343797.916765
3,3494,32721,10000,Buffer[634],105,-746311869.1841251
3,6203,34236,10000,Buffer[698],75,1950728399.6791735
3,3789,34197,10000,Buffer[617],78,-1721213670.2288175
3,3604,34818,10000,Buffer[918],112,437381396.40639067
3,8309,28972,10000,Buffer[954],90,1745248614.0712714
3,3576,39122,10000,Buffer[910],105,-1092435013.458841
3,3571,34125,10000,Buffer[769],12,561391622.0114932
3,6894,26129,10000,Buffer[612],118,1934260966.8846128
3,3721,29399,10000,Buffer[973],2,-652123198.9532434
3,5999,35938,10000,Buffer[987],50,754077813.2958918
3,6425,40545,10000,Buffer[726],31,1427193773.182773
3,3477,41595,10000,Buffer[739],33,-740304915.1929792
3,3505,27051,10000,Buffer[703],122,-1185754280.7573576
3,6618,26262,10000,Buffer[773],22,-474346328.6936629
3,3485,29566,10000,Buffer[534],63,-158235063.40083146
3,3417,25551,10000,Buffer[778],60,818437555.7654951
3,6893,25300,10000,Buffer[903],14,-1380430258.7376494
3,3395,28223,10000,Buffer[514],76,979913795.193959
3,3434,27996,10000,Buffer[694],81,-651265793.9880433
3,8712,31031,10000,Buffer[967],24,156614950.09365654
3,3446,31175,10000,Buffer[703],37,-316235982.0866879
3,5029,25943,10000,Buffer[717],48,-754698821.9245447
3,3391,31385,10000,Buffer[898],112,-1136914336.2360096
3,3434,26088,10000,Buffer[762],50,-1810444861.3269868
3,3437,30284,10000,Buffer[577],12,977854922.1854997
3,7622,30575,10000,Buffer[564],47,1229699909.7278726
3,3444,26204,10000,Buffer[576],34,-4433068.30033195
3,3395,31134,10000,Buffer[932],32,-954701386.99184
3,6275,33727,10000,Buffer[811],119,1313106849.7936141
3,3461,26419,10000,Buffer[699],17,-680023829.9890953
3,3412,25507,10000,Buffer[1021],14,1368725864.7781773
3,6967,24923,10000,Buffer[566],0,658555440.9907191
3,3340,24746,10000,Buffer[913],82,338857959.8741908
3,3404,27788,10000,Buffer[947],66,-2130051087.1651444
3,3386,29705,10000,Buffer[952],21,-823678337.7081456
3,3389,25485,10000,Buffer[640],19,1089776274.2514493
3,3414,26228,10000,Buffer[671],74,-1330150582.2444162
3,6487,29074,10000,Buffer[761],10,-1656748797.3367376
3,3431,28316,10000,Buffer[986],93,94953138.31545067
3,3439,30591,10000,Buffer[1023],67,648128923.8412747
4,3899,32357,10000,Buffer[859],68,2118998744.8270962
4,4597,46413,10000,Buffer[883],76,241288516.88343263
4,3902,39460,10000,Buffer[836],40,-1263152426.9443052
