runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer
1,4696,26532,250000,7969303218521397
1,4394,26309,250000,4044098428331879
1,3913,26395,250000,1561226686523566
1,4192,26312,250000,5508041708976035
1,3910,26503,250000,4759232462190394
1,3949,26643,250000,6399146839284023
1,3972,26582,250000,8948372703723650
1,3903,26546,250000,4924800689437348
1,4848,26355,250000,291182130564496
1,3907,26355,250000,8567574306467806
1,4630,26607,250000,7500018827395426
1,4031,26412,250000,227873603969099
1,4461,26314,250000,4049908668660619
1,3904,26404,250000,2468173673326789
1,3904,26349,250000,7134319734908208
1,4545,26388,250000,8000546397585381
1,3904,26348,250000,4213964991866196
1,3904,26268,250000,3706775393046924
1,4645,26512,250000,3587815900936909
1,3912,26398,250000,5957876935817906
1,4351,26457,250000,3446431676178972
1,3908,26356,250000,248146595575284
1,3908,26321,250000,1493163094836195
1,3904,26345,250000,6507843551296362
1,4019,26415,250000,3126930504469180
1,4206,26463,250000,3019803018683570
1,3902,26258,250000,2866996700345804
1,3900,26416,250000,6896129527351656
1,4301,26463,250000,2014028825131545
1,3905,26450,250000,7141498472788531
1,3955,26541,250000,8244397615608503
1,4347,26364,250000,219488582489897
1,3901,26395,250000,6870159495946175
1,4165,26362,250000,403705943644156
1,3905,26339,250000,6820099972389663
2,4251,26195,250000,7304481923570574
2,5326,26137,250000,3632079722255485
2,5024,26081,250000,7558636244517016
2,4337,26229,250000,5985848874531135
2,4637,26082,250000,6475033285046088
2,4883,26093,250000,8267102020175550
2,4420,26123,250000,3757105147731937
2,3974,26133,250000,3826122510650630
2,4221,26172,250000,3155704119480002
2,4494,26210,250000,8000900708610327
2,4797,26134,250000,1002518590691772
2,4266,26108,250000,6725774502772717
2,4574,26148,250000,5155543712541138
2,4895,26152,250000,3282303294492145
2,3906,26292,250000,6290701605911857
2,4657,26253,250000,206259603995906
2,4589,26398,250000,4866764518895988
2,4445,26434,250000,6029491993951866
2,3937,26521,250000,8816142145650644
2,3960,26328,250000,5986470395897835
2,4513,26454,250000,3483244639764868
2,3913,26298,250000,4793963291657772
2,4294,26370,250000,127582981968743
2,3929,26295,250000,8931551285159515
2,3910,26417,250000,2703629953531427
2,3962,26358,250000,4121408259512076
2,4659,26204,250000,7054929134634781
2,4167,26245,250000,7642814181483811
2,4475,26209,250000,1236046490670836
2,4758,26502,250000,4248673386293744
2,4651,26249,250000,6427024034210274
2,4593,26198,250000,842270811296930
2,4826,26172,250000,3969191916533546
2,4329,26158,250000,5792047485615190
2,4608,26201,250000,5189093072023153
2,4885,26231,250000,3108795391361563
2,4398,26360,250000,4788273384507662
2,4744,26418,250000,2956255055398938
2,4209,26448,250000,5617512843515215
2,4468,26314,250000,2325653333478318
2,4773,26205,250000,5939469551703021
2,4275,26503,250000,6614115209982029
2,4550,26184,250000,3682379079887700
2,5822,26335,250000,6986138851359336
2,4356,26386,250000,6161311153572051
2,4632,26240,250000,6181794564157418
2,4127,26136,250000,5369942999474453
2,3913,26171,250000,6795583075899230
2,5682,26239,250000,2953646580430187
2,4269,26190,250000,1773045421873656
2,5199,26333,250000,2862022006357888
2,3993,26268,250000,4031579194048735
2,4285,26289,250000,6618475156300872
2,4580,26223,250000,2441955373249034
2,4870,26396,250000,633983291270787
2,4425,26192,250000,5288286448166304
2,5504,26227,250000,1612805633737682
2,4881,26283,250000,2277362793627566
2,4431,26590,250000,8185342390196857
2,4721,26461,250000,3368280254108313
2,4237,26260,250000,4320081206204459
2,4554,26347,250000,1892935299254335
2,4814,26197,250000,2063436550232423
2,4314,26276,250000,4215528897253012
2,4601,26290,250000,31836491676791
2,5987,26161,250000,703444380081441
2,4389,26252,250000,3707975973289282
2,4724,26263,250000,1450884788964906
2,4185,26399,250000,5527050081476900
2,3916,26579,250000,3613028441707022
2,4749,26394,250000,6556205774815742
2,4252,26219,250000,5332872371682757
2,4547,26292,250000,4290479772861360
2,4852,26308,250000,2852349426790660
2,4326,26263,250000,1867796253563668
2,3913,26429,250000,2132152757768733
2,4881,26226,250000,4123903816263526
2,4396,26275,250000,1818779305669123
2,3908,26398,250000,4473218056022606
2,4231,26398,250000,3698754502894395
2,4477,26293,250000,5151823511122565
2,4785,26236,250000,6160937714777347
2,4253,26172,250000,143082250181533
2,4564,26165,250000,4794018233854470
2,4048,26274,250000,4227424309133387
2,4384,26262,250000,341784428390269
2,5460,26341,250000,4432283702463341
2,5876,26372,250000,1275671401979543
2,5017,26330,250000,3140091438356841
2,4702,26211,250000,1643189066880520
2,4195,26321,250000,8189558080115357
2,4544,26272,250000,7858547752340456
2,4787,26171,250000,1238640406826112
2,4281,26293,250000,5821622612946617
2,4573,26294,250000,5623852554301029
2,4862,26185,250000,5805784155980745
2,4359,26360,250000,7800465730506466
2,5537,26361,250000,5920195162176638
2,5214,26221,250000,7221761313662321
2,4439,26276,250000,2459936317002240
3,3295,22152,250000,5608884002807373
3,3278,22606,250000,2975871751774832
3,3273,22816,250000,2128642165297844
3,3423,22715,250000,6025412143221442
