runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer
3,3282,26438,250000,7554731460264933
3,3265,26581,250000,70021230215241
3,3283,26276,250000,5326996149746732
3,3373,27365,250000,8692382326044760
3,3422,31583,250000,1808016531943917
3,3376,26780,250000,5468010096115142
3,3316,30934,250000,2081351323294398
3,3274,30752,250000,3799172277380060
3,3353,34296,250000,405977364329312
3,3285,27234,250000,8974053067338857
3,3363,31152,250000,4498831324133830
3,3273,31096,250000,2193000370157190
3,3357,30877,250000,7034359177636244
3,3380,31243,250000,5890612482955677
3,3276,26128,250000,4048220239972832
3,3296,26190,250000,1330153001533222
3,3366,25771,250000,6924050836096789
3,3269,26068,250000,3157036325222242
3,3294,26134,250000,332799483213681
3,3267,26236,250000,3883981550155115
3,3268,26037,250000,1918996701187981
3,3310,26098,250000,4600161547345199
3,3357,26080,250000,5461828794196946
3,3288,25884,250000,1866696146215984
3,3278,25948,250000,5524512432226431
3,3271,25830,250000,7900993098510558
3,3317,26363,250000,4107171784119312
3,3271,26052,250000,7230257006013801
3,3362,26073,250000,6477313620162488
3,3306,26127,250000,2787056540734565
3,3331,26092,250000,6163470620498393
3,3346,28397,250000,1402280525014079
3,3355,25958,250000,3515316572273360
3,3272,26266,250000,1599376811113663
3,3432,26316,250000,1989341039060457
3,3294,25838,250000,7788682759773822
3,3375,26048,250000,43983750925226
3,3275,26259,250000,3228326239374152
3,3289,26303,250000,6767584128737820
3,3340,26170,250000,7195906601516206
3,3393,26013,250000,8899460456446915
3,3294,26335,250000,8007909198610171
3,3309,26390,250000,4092652006694712
3,3361,26077,250000,4260428119935134
3,3361,26447,250000,5692882263588115
3,3369,26281,250000,3452163940534099
3,3484,26285,250000,7999173806099360
3,3425,26784,250000,4788405126041922
3,3570,26585,250000,939149174104422
3,3332,26420,250000,2797821656973672
3,3345,26460,250000,5465380179115263
3,3480,26096,250000,533772314346416
3,3433,26483,250000,6302527351812923
3,3325,26192,250000,5382371576626158
3,3288,26894,250000,7010152800751694
3,3353,27339,250000,7091567984857680
3,3338,27705,250000,2674822060300937
3,3358,27788,250000,8544726995655028
3,3632,28152,250000,3989299848653543
3,3331,27411,250000,5940117738395167
3,3298,27520,250000,5894893002805302
3,3556,27363,250000,1890411179284409
3,3444,28275,250000,6862698088258790
3,3338,27146,250000,4190650495277060
3,3440,27073,250000,1796812733086968
3,3315,26465,250000,1922100424510771
3,3314,30970,250000,755098655639637
3,3287,30091,250000,4683134341858939
3,3301,31446,250000,972743481300221
3,3334,31147,250000,5143467682334924
3,3474,31313,250000,6035193462107453
3,3392,32094,250000,6795346255988681
3,3352,31133,250000,2260515145482687
3,3375,26282,250000,4411082151932004
3,3389,29242,250000,5613354419618679
3,3306,26589,250000,821590506749045
3,3399,26495,250000,5239185532974415
3,3275,26273,250000,7236203145559809
3,3274,27109,250000,5735351854586180
3,3278,26867,250000,8744579634393401
3,3301,26252,250000,5569432908557279
3,3289,26661,250000,5647025560644580
4,3923,32159,250000,2197017326860630
4,4156,31778,250000,4590755637811318
4,3965,32854,250000,771854468499741
4,3971,38010,250000,8842815995083687
4,4005,31866,250000,7385903577675273
4,3941,37828,250000,6609514097924877
4,3905,37611,250000,5675313130770543
4,3883,31758,250000,663676559607662
4,3914,37533,250000,4628853990293823
4,3924,38046,250000,961595064586101
4,3984,32134,250000,2716133985352900
4,3906,37665,250000,448390630688818
4,3930,31625,250000,8060387199214192
4,3928,31716,250000,8818519626087394
4,3932,32954,250000,3485641025154119
4,3936,33214,250000,239490808232260
4,3975,32756,250000,1981554807460082
4,3912,33021,250000,3825526435036107
4,3948,33454,250000,3188663151267373
4,3930,32054,250000,6372575056514518
4,3924,32060,250000,2940561084329694
4,3947,32404,250000,244130401572075
4,3997,32594,250000,807068484944894
4,3910,32717,250000,8359865224131747
4,3933,32906,250000,2146855262477701
4,3941,32810,250000,8494932225763853
4,3920,31986,250000,6528086501425398
4,3938,31736,250000,5892532378141401
4,4007,31836,250000,7247965296310749
4,3954,31873,250000,6314201739016920
4,3913,33154,250000,5404291019178737
4,4037,35059,250000,5348449220371785
4,3907,32218,250000,2548940076366085
4,3975,32182,250000,4667251339661399
4,3974,33544,250000,6236766074465357
4,4073,32331,250000,946639687765600
4,3974,33729,250000,4105256569283304
4,4144,32079,250000,8435952378524551
4,3925,32004,250000,2568716685477046
4,4029,32163,250000,8958845773596156
4,4080,32299,250000,1406900554420696
4,4144,32513,250000,3691971328707484
4,4013,33335,250000,4655813916789770
4,4035,32091,250000,7609128562935221
4,3925,32252,250000,639086248049425
4,3957,33116,250000,8245550490253520
4,3997,34291,250000,5349325676436217
4,4133,33163,250000,8975008651774869
4,3950,32995,250000,6609207178768004
4,3984,32176,250000,2799195359030947
4,3987,31846,250000,8568434326653387
4,3934,33891,250000,7314971877067630
4,4065,33512,250000,460529469742011
4,3985,33606,250000,7717446028595103
4,3916,32734,250000,5035960939079064
4,3944,31812,250000,5174050729968395
4,3920,35018,250000,7343584145068382
4,3921,31980,250000,7729234683690478
4,3984,31547,250000,6241315125651675
4,3926,31659,250000,3199718231769952
4,3961,32198,250000,3101315484056696
4,3933,32287,250000,6746430724843666
4,3961,32206,250000,6487656690247760
4,3931,32628,250000,7884413718123455
4,3985,32372,250000,5787493444621078
4,3917,31536,250000,5226385357251811
4,3942,31578,250000,5334312290655521
4,3918,31780,250000,8261467926642158
4,3941,31816,250000,5625512109442408
4,3944,31320,250000,4763710131148385
4,3976,31813,250000,4336228767644181
4,3932,31158,250000,8660075780988241
4,3914,31784,250000,2340293559443364
4,3916,32015,250000,4436025922489337
4,3976,32551,250000,2941355324259437
4,3976,33072,250000,8470581003524557
4,3980,32576,250000,1788169460701422
4,3940,31909,250000,5804667889591683
4,3941,31890,250000,1074718190385979
4,3949,32327,250000,5112136870319540
4,3963,31878,250000,7451808862483070
4,3969,31729,250000,4524027645787338
4,4018,31682,250000,7024587871334585
4,3960,31809,250000,3247036127160507
4,3926,31975,250000,3521654516604166
4,3924,31675,250000,5031684586199145
4,3958,32083,250000,4062241696616846
4,3956,31914,250000,8701904174941678
4,4040,32469,250000,6530931775239900
4,3985,32185,250000,8147708146818471
4,3936,31899,250000,2498016603717637
4,3923,32607,250000,4916079694619877
4,3926,31561,250000,1675822821629355
4,4023,32155,250000,7536778755283991
4,4001,31363,250000,7487877572050326
4,3972,32430,250000,728448416067479
4,4124,31599,250000,6750039551007802
4,4224,31676,250000,4377149650661847
4,3975,31917,250000,4759323481918221
4,4033,31977,250000,6053849746814241
5,4009,33308,250000,7447934983805659
5,4030,32808,250000,6551336811696087
5,3929,31922,250000,1380907131002232
5,3942,32906,250000,3781961789134779
5,3928,31939,250000,4791891238562524
5,3961,31763,250000,7050100998961108
5,3918,31746,250000,4224456373050544
5,3953,31705,250000,3716203751911451
5,3958,32308,250000,1821236922810428
5,3924,32184,250000,4971484357749036
5,3991,32110,250000,2600204486027
5,3974,32104,250000,8049288349330065
5,4027,31901,250000,6123044255650631
5,3975,31734,250000,4403367378471668
5,3942,31872,250000,6321862706979154
5,4039,31432,250000,1335275084497730
5,4105,31831,250000,4079228594373321
5,3930,31696,250000,5582090064531088
5,4215,32571,250000,397189742622027
5,4018,31658,250000,7931910036416780
5,3945,32087,250000,6473524227820892
5,4002,32014,250000,1352514124561367
5,4151,36927,250000,8742717758639669
5,3913,34660,250000,6517714736118083
5,3911,35081,250000,5971573734028860
5,3918,33089,250000,6946975299751079
5,3943,34861,250000,4117335789644181
5,3910,33566,250000,1781241001661860
5,3989,33615,250000,470502561036636
5,3917,33234,250000,644114773448537
5,3914,37561,250000,3879320594024834
5,4487,33336,250000,7255340419152489
5,3931,34412,250000,3562464182724217
5,3945,36095,250000,5184672896679682
5,3996,32932,250000,5722217322713460
5,3992,33991,250000,4043873713714061
5,3921,34380,250000,923671332297016
5,3916,32951,250000,8509139026814971
5,3939,31490,250000,4693269819032540
5,3950,32056,250000,2809901414315007
5,3997,33024,250000,357877961152332
5,3942,32131,250000,695578462887862
5,3924,32554,250000,7915628303661680
5,3965,32413,250000,4749904897286595
5,4005,32222,250000,187470141641520
5,3919,32727,250000,2223518102132281
5,3988,32147,250000,5906143680191336
5,4048,34133,250000,6348494697535373
5,3920,33329,250000,6935369817883282
5,3932,35055,250000,6563725696624867
5,3943,34242,250000,802610432924513
5,3940,31931,250000,3103624259469828
5,4029,31590,250000,8492383568811290
5,3915,31613,250000,891063875906590
5,3920,31714,250000,4941488054752367
5,3975,31852,250000,1104392352346188
5,4014,32097,250000,8592867920144571
5,4247,31559,250000,2797704461793377
5,4073,33112,250000,6967129691093973
5,3978,32926,250000,1733573762448204
5,3924,33007,250000,5594961032735723
5,3933,32787,250000,2386340532910432
5,3959,32530,250000,4899791901690154
5,3921,33199,250000,2027833999909595
5,3985,32513,250000,1008891492148961
5,3981,33142,250000,6962510145977205
5,3928,33132,250000,3450274550688194
5,4071,33597,250000,386446394238652
5,3967,31839,250000,1672491458083147
5,4098,36165,250000,4530116709370981
5,4038,33463,250000,7417931679933037
5,3971,32861,250000,1537908274606658
5,3923,32975,250000,8756017877228021
5,3917,32279,250000,1727188318634246
5,3942,32181,250000,1258593373466874
5,3918,31974,250000,3512581472853238
5,4003,31972,250000,6862729103558310
5,3953,32090,250000,6912707086405670
5,3974,32880,250000,7128731395806197
5,3940,32474,250000,674340796563021
5,3907,32282,250000,456867321047603
5,3912,32098,250000,1343795409734743
5,4017,32301,250000,8596345786710378
5,3915,32685,250000,6492533722610583
5,3946,33854,250000,8713781928790322
5,3944,32387,250000,1705461231433205
5,3969,32831,250000,8979145458767423
5,3920,32452,250000,4315185378075321
5,3992,31969,250000,4759678207623873
5,3953,32146,250000,8277004109703431
5,3921,32123,250000,4469330308221108
5,4008,32187,250000,1263532049674110
5,3996,32455,250000,7427870656081209
5,3950,32040,250000,8712423092187310
5,4047,32450,250000,6826690397380452
5,3961,32435,250000,3035550143281631
5,4266,32284,250000,6052745750675921
5,3919,32088,250000,1644948132289573
5,3958,34827,250000,1679446912639998
5,3969,34519,250000,1504392355023796
6,4268,37154,250000,3461917361672684
6,4227,36469,250000,5724966653975211
6,4749,34378,250000,3090305119256049
6,3986,36649,250000,8906485366357193
6,4087,43321,250000,1536907270103057
6,4226,37912,250000,4831644828414700
6,4077,37306,250000,1556080676114825
6,4700,40913,250000,4373479883466895
6,4215,41679,250000,408311743402044
6,4156,39938,250000,9006782876570907
6,4384,38236,250000,1768127379567325
6,4312,50977,250000,5009783457438515
6,4437,40611,250000,556613682708600
6,4178,36444,250000,3779864117717103
6,6491,43253,250000,4844197491675120
6,4443,38330,250000,2469124380098496
6,4540,39967,250000,6135440858675204
6,4440,39343,250000,1404752288764490
6,4084,40040,250000,6389193700684794
6,4356,35535,250000,8977346862363610
6,4132,35672,250000,8007903178832128
6,4292,34321,250000,8965897736767226
6,4496,35127,250000,5516191641978435
6,4129,34130,250000,403764212950650
6,5009,36315,250000,2865508742762803
6,4083,36226,250000,7711944453469265
6,4058,35526,250000,7156311127125812
6,4166,38202,250000,5007151970601777
6,4494,38639,250000,854556876658606
6,4250,37198,250000,7924936496457922
6,4311,35358,250000,6508358454622716
6,4361,35630,250000,3677731765302098
6,4301,35771,250000,7377323522866513
6,4554,37220,250000,394753669606836
6,4392,38201,250000,1936791121114174
6,4782,36213,250000,4299807278973091
6,4258,38615,250000,1428070024126561
6,4053,36676,250000,5963197439560336
6,4408,34311,250000,535625607122000
6,4175,34218,250000,1301545903973395
6,4385,36966,250000,3944056852747178
6,4049,36456,250000,2968049537091253
6,4236,36503,250000,3131284269863281
6,4049,37029,250000,5514270879320102
6,3990,34937,250000,7164270693242255
6,4364,37632,250000,3384083279479684
6,4244,34838,250000,8154204422557103
6,4699,36226,250000,59631122396112
6,4322,36583,250000,8375895075015435
6,4051,38862,250000,3085824780536955
6,4418,36017,250000,8044768030185108
6,4095,35473,250000,8957228526552225
6,4276,35357,250000,4491609031988218
6,4037,34997,250000,5153021046106575
6,4448,33708,250000,4695451587118269
6,3995,34583,250000,8664273518906356
6,3917,33117,250000,1403990074345299
6,4394,37281,250000,137746647254042
6,4562,38728,250000,2653085331520732
6,4362,35100,250000,5007846574847462
6,4400,35015,250000,2654053076243743
6,4362,34366,250000,1634409700275071
6,4004,35088,250000,7715446041903138
6,4360,37842,250000,6626836203323175
6,4404,36371,250000,7128258152613359
6,4242,36960,250000,5298856729457686
6,4430,37113,250000,1984952293001389
6,4461,36457,250000,3217940912131968
6,4861,39263,250000,964023280869149
6,4386,33735,250000,798667608248588
6,4264,36752,250000,6164591791149969
6,4198,37413,250000,4977076807004122
6,4295,35177,250000,6579106833936511
6,4425,35594,250000,6739372171059307
6,4464,36991,250000,6985264051794161
6,4132,35555,250000,1876598534342791
6,4350,35700,250000,157815847199628
6,4362,35519,250000,6339166222438863
6,4123,34772,250000,6659357263524479
6,4082,34818,250000,2299725251612540
6,4065,34683,250000,8889724475300811
6,4144,36803,250000,5190784637456074
6,4539,37486,250000,3417222538665799
6,4063,40541,250000,8731160023513523
6,4109,33866,250000,7658765130870548
6,4621,35783,250000,6358540618875425
6,4446,33733,250000,6140470871579375
6,4009,35284,250000,277014531565025
6,4364,35479,250000,5126311785485435
6,4091,35167,250000,4412185674405795
6,4106,34563,250000,586313158818978
6,4041,34972,250000,4769040436493535
6,4126,34328,250000,4800939488323704
6,4485,34224,250000,1815108386251252
6,4311,36025,250000,6194653391275479
6,4005,34342,250000,716259777852854
6,4252,37295,250000,727585824109929
6,4208,34116,250000,1538551720452859
6,4042,33305,250000,4230109240957628
6,4374,34375,250000,2561559551594778
7,3934,32867,250000,5485787093921067
7,3923,32520,250000,3733426436102148
7,3968,31661,250000,5737711547247810
7,4052,31713,250000,2328033494916294
7,4035,32012,250000,2581535658424310
7,3973,32182,250000,788932649689076
7,3934,31469,250000,7745190558450890
7,4000,32109,250000,7624211689548452
7,3917,31818,250000,4785344474758143
7,3991,31638,250000,277174516080978
7,4020,31674,250000,2296255255871917
7,4003,31750,250000,7155071405597547
7,4710,31609,250000,6662936789494030
7,3924,34252,250000,8279282832259399
7,3929,32147,250000,7528958736357996
7,4219,32890,250000,1760396049470466
7,4022,32591,250000,5356586221044432
7,3927,32419,250000,841378961417133
7,4884,32548,250000,7264360435408988
7,3934,32193,250000,3225588815114819
7,3915,32216,250000,1609802617333878
7,4078,32196,250000,5422533864699702
7,3936,32664,250000,6576923658689065
7,3988,32613,250000,2001718454873778
7,4004,32531,250000,1935946884387872
7,3914,33628,250000,6159056014773613
7,3928,32949,250000,5745309737192247
7,4027,32278,250000,4525640187020423
7,3989,33491,250000,3817045754510340
7,4031,34196,250000,4012643174873308
7,3929,34041,250000,429906719201871
7,3950,33341,250000,6782462410812858
7,3920,32397,250000,2867758383374486
7,3959,31590,250000,2053202038449908
7,3939,31938,250000,8143395877121681
7,3964,33183,250000,5770039583656878
7,4030,31942,250000,4900156524589593
7,3951,33766,250000,104311371932615
7,3904,32924,250000,5324754712155941
7,3951,33424,250000,1254892095187910
7,3960,32672,250000,6581974849127584
7,3993,32891,250000,1209717030021710
7,3906,32214,250000,3853585811230750
7,3959,32014,250000,3207751667041319
7,3921,31606,250000,1681525516483398
7,3961,31650,250000,307513968395499
7,4202,31648,250000,5736700608292616
7,4484,41710,250000,1601869808447467
7,4143,32772,250000,5185339102290324
7,3934,31820,250000,2393578759599483
7,3940,32150,250000,2123529728459103
7,3932,33186,250000,1840623020960024
7,3930,32125,250000,3013119373720887
7,3964,32223,250000,8734674004509290
7,3921,33921,250000,7992169472673031
7,3930,32037,250000,7212836418100770
7,3936,31898,250000,821908285671168
7,3938,33476,250000,4032240274284064
7,3975,33797,250000,8405596028235378
7,3906,33959,250000,6567908753796552
7,3909,33371,250000,4305648219291621
7,4045,32746,250000,1448904362823850
7,3964,32748,250000,8112637140110376
7,3975,32500,250000,522577052915557
7,3979,31955,250000,1842419889392951
7,3987,32326,250000,3516081631245929
7,3945,31971,250000,6175185174830569
7,4075,32582,250000,4169795805598145
7,3975,31496,250000,5240077088719256
7,3953,33108,250000,3369637356867122
7,3939,31660,250000,3126860584152635
7,3917,31960,250000,1694862821475368
7,3947,32936,250000,1601580734501838
7,3997,33187,250000,5459386994096436
7,3921,31627,250000,6528632678676853
7,3959,33050,250000,622979497473500
7,3968,32918,250000,3451856767314978
7,3919,33323,250000,4888161545690770
7,4494,31629,250000,270118949338083
7,4048,31627,250000,3779793365397868
7,4519,31575,250000,6407832163090127
7,4749,32167,250000,4413930149546648
7,3949,33148,250000,4701824109714591
7,3921,32600,250000,1660557548306039
7,4078,33625,250000,2910353505887301
7,3940,33469,250000,2938932531884907
7,3911,32321,250000,3262630702017029
7,4220,43599,250000,1014266311710255
7,3939,42357,250000,1049367427476233
7,3938,42627,250000,920724557815160
7,3933,35648,250000,4212816221493913
7,4513,31809,250000,5364747678490589
7,4893,32061,250000,3558229696123723
7,4327,32001,250000,6507764278447449
7,4748,32360,250000,2466941804765711
7,4884,33850,250000,1702339811393920
7,4411,33516,250000,7581656795982166
7,3932,32111,250000,4992919497729139
7,3917,31900,250000,4228021467484768
7,3933,33555,250000,3533821701062035
8,4378,43761,250000,43866267621144
8,4658,44763,250000,3104456041690103
8,4752,40350,250000,2518514581602080
