elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
30531,100000,8.628178624333108e+37; 2.2756090815491275e+38; 2.931733674077881e+38,1.3883567974422015e+38; 2.1415076711485677e+38; -1.6593105214578643e+37
22849,100000,2.4277064655187193e+38; 3.1872782430453616e+38; -1.4327976865368107e+38,3.386484464268827e+37; -2.96759845050773e+38; 9.00732277765657e+37
20145,100000,-1.8463061236276433e+38; 1.949681914543727e+38; -5.819512121359112e+37,-2.0461829827246533e+38; -2.3279746123120275e+38; 9.150228579241979e+37
20296,100000,1.902769918075057e+38; 2.825223845229841e+38; 2.467328355503549e+38,1.7252071575516965e+38; -2.1704170008530366e+38; 2.1786883703135018e+38
26744,100000,2.355699043647451e+38; 2.1174910671127877e+38; 8.956152286467517e+37,1.1395915224726935e+38; -2.944313230162258e+38; 3.3862782935752058e+38
19946,100000,2.8976399576546227e+38; -1.034307765285194e+38; 1.5086736738038315e+38,-3.803760561767634e+37; -8.453977698554565e+36; -7.949649372271825e+37
20192,100000,-3.072567627522277e+38; -2.4280725630120652e+38; 3.074224091914607e+38,2.3631548574177534e+38; 9.364604521668255e+37; 1.1190738369176395e+38
19915,100000,1.5758178809123842e+38; 2.7927803056519357e+38; 2.5148975020433773e+38,-2.032211647693274e+38; -1.8957943917641692e+38; -3.4008406580224356e+38
19871,100000,2.8485064795680887e+37; 3.255275426889796e+38; 1.3576120110806502e+38,-1.39944559642071e+38; 2.0556300727638182e+37; 2.332125610261511e+38
22945,100000,-1.499717874431291e+37; -6.2142174463907355e+37; 2.240287062400272e+38,2.2520849344185242e+38; 1.2865919622618996e+37; 1.893643645049798e+38
20313,100000,2.391097324656416e+38; 1.141788741258069e+37; -2.8928336350508454e+38,1.239477319168277e+38; 1.8729278003529163e+38; -2.5880139660717733e+38
21208,100000,2.887782300939056e+38; 1.3818235290727212e+38; 2.787022332389555e+38,-2.0564379718443557e+38; 4.0137397848520787e+37; -1.0167497903515529e+38
19957,100000,2.3266485483721407e+38; -1.826293064423528e+38; 2.8340659616965528e+38,-1.754958410078813e+38; 5.926492704934053e+37; -1.4633402319216016e+37
19994,100000,7.078785579360793e+37; -3.1943302340404552e+38; 3.350738035699015e+38,3.640659818469989e+37; 1.7648107933678827e+38; 2.6324987665831744e+38
20507,100000,2.466346078406444e+38; 3.3868756105380333e+38; 3.327632720326727e+38,2.0955544241818622e+38; -8.920471471492773e+37; -1.651537896449553e+38
20058,100000,2.2692172829866327e+38; 6.256472804438503e+37; 8.793460233723386e+36,1.8596645242408003e+38; -2.835443745780929e+38; 2.2143050928738983e+38
19996,100000,3.0353672544200273e+38; -1.9636366179992316e+38; -2.449339024423662e+37,-6.117527650388447e+37; 2.6511224807294394e+38; -2.6643752099885614e+38
19931,100000,-2.6042005458800635e+38; -3.0625888848213763e+38; 2.8705335313398225e+38,2.4561783036480374e+38; 2.3112103894782252e+38; -2.5837112556984546e+38
20281,100000,2.1785924345160765e+38; 8.778219777617082e+37; 1.1047284942531687e+38,-2.7881642320502406e+38; -4.993569302178008e+37; 3.9135497520124404e+37
21695,100000,1.0413267973646818e+38; -1.2528579290199501e+38; 2.6414526391268024e+38,-1.3035495525182607e+38; -1.6661084752726723e+38; 2.6359323757049766e+38
20858,100000,1.3758448831938528e+38; -5.833095251070678e+37; -1.451916899949693e+38,-2.2581901425333194e+38; 5.255326474619136e+37; 3.0253041368951755e+38
20421,100000,-2.1179879607950652e+37; 1.6853893394900956e+38; -3.33988958327431e+38,-7.30715739853407e+37; -2.938025683185126e+38; 5.967491567706875e+37
20153,100000,1.7008298308611155e+38; -8.229984724849657e+37; 5.039703164002234e+37,3.299466943758328e+38; 2.860545458730504e+38; 3.092995664826883e+38
20098,100000,3.2267234732425433e+38; 2.1014606618584456e+38; -1.0206744366098595e+38,-2.339913244252929e+38; 2.850440762265965e+38; -1.5710219023375048e+38
20188,100000,1.3778986799903186e+38; -2.2292743224577773e+38; 3.2088621748732796e+38,2.811394284241591e+38; -1.7923147549109146e+38; -1.8369255091859544e+38
20224,100000,1.825342833533597e+38; 8.878364175035112e+37; -2.8541435189632076e+38,1.3519278657892268e+38; -6.507606050729238e+37; -1.0317595847546393e+38
20745,100000,3.034266325226741e+38; -1.5636564467019867e+38; 1.877169663497424e+38,9.416296270784122e+37; -2.1508037079422094e+38; 1.588041176472073e+38
19955,100000,1.0273803082850668e+38; -2.1996433256048515e+36; -1.8192017255538034e+38,-1.132423820330811e+38; -3.5229462907930357e+37; -1.085062327635806e+36
21512,100000,2.5670547324596477e+38; 2.408086479412723e+38; -2.4075690751437338e+38,-2.0808204705493855e+38; -9.873876558526825e+37; 3.0849743774768307e+38
23903,100000,-8.74138996413829e+37; -2.4978844140437382e+38; -2.2979751030913623e+38,2.393780078974691e+38; 2.226395234414539e+38; -2.809950582326003e+38
20163,100000,-2.736412700532067e+37; 2.3225328418153677e+38; -4.291815169939824e+37,-1.1459081747076067e+38; -2.8278390591241357e+38; -1.289355009569193e+38
20150,100000,9.611266003701624e+37; 3.2661693119120132e+38; 2.1239779901763237e+38,1.002659296163752e+38; 4.828289467498571e+37; -3.0833742981831986e+38
20023,100000,3.0652708278432672e+38; 5.972031785096652e+37; -1.108901802853216e+38,-1.5610502584799654e+38; 1.857268360370225e+38; 1.8755744519820968e+38
19877,100000,-1.8389419863487494e+38; -3.108281502824675e+38; 9.823053910662475e+37,-1.6118702696310671e+38; -3.15660921148368e+38; 1.3020162023522246e+38
