elapsed.ps,repeats.n,param.array.array,param.index.integer
19772,100000,array<integer>[100],2
19596,100000,array<integer>[100],74
18515,100000,array<integer>[100],82
17507,100000,array<integer>[100],12
17618,100000,array<integer>[100],38
17663,100000,array<integer>[100],80
17789,100000,array<integer>[100],88
20064,100000,array<integer>[100],53
17317,100000,array<integer>[100],2
17210,100000,array<integer>[100],71
20067,100000,array<integer>[100],11
21617,100000,array<integer>[100],83
17740,100000,array<integer>[100],81
16860,100000,array<integer>[100],99
20344,100000,array<integer>[100],29
18851,100000,array<integer>[100],4
21809,100000,array<integer>[100],93
20182,100000,array<integer>[100],42
19620,100000,array<integer>[100],61
18277,100000,array<integer>[100],48
24346,100000,array<integer>[100],36
17723,100000,array<integer>[100],12
17732,100000,array<integer>[100],82
18411,100000,array<integer>[100],54
18373,100000,array<integer>[100],62
20966,100000,array<integer>[100],96
18808,100000,array<integer>[100],88
18746,100000,array<integer>[100],8
16841,100000,array<integer>[100],33
17026,100000,array<integer>[100],39
21203,100000,array<integer>[100],75
16622,100000,array<integer>[100],24
22819,100000,array<integer>[100],61
21801,100000,array<integer>[100],64
18869,100000,array<integer>[100],33
18386,100000,array<integer>[100],92
22008,100000,array<integer>[100],71
18484,100000,array<integer>[100],8
19338,100000,array<integer>[100],43
18029,100000,array<integer>[100],69
20247,100000,array<integer>[100],24
16718,100000,array<integer>[100],15
19543,100000,array<integer>[100],8
16415,100000,array<integer>[100],56
20278,100000,array<integer>[100],4
24000,100000,array<integer>[100],67
20746,100000,array<integer>[100],18
20574,100000,array<integer>[100],99
22890,100000,array<integer>[100],35
21909,100000,array<integer>[100],36
18663,100000,array<integer>[100],85
21080,100000,array<integer>[100],97
18783,100000,array<integer>[100],1
18260,100000,array<integer>[100],76
22702,100000,array<integer>[100],57
19973,100000,array<integer>[100],69
18583,100000,array<integer>[100],16
23424,100000,array<integer>[100],80
19352,100000,array<integer>[100],93
19676,100000,array<integer>[100],4
17838,100000,array<integer>[100],85
16195,100000,array<integer>[100],60
22235,100000,array<integer>[100],87
23261,100000,array<integer>[100],89
22944,100000,array<integer>[100],56
24019,100000,array<integer>[100],57
18765,100000,array<integer>[100],84
23061,100000,array<integer>[100],36
19540,100000,array<integer>[100],31
18420,100000,array<integer>[100],64
22673,100000,array<integer>[100],97
17658,100000,array<integer>[100],83
21780,100000,array<integer>[100],46
17064,100000,array<integer>[100],98
18985,100000,array<integer>[100],17
21766,100000,array<integer>[100],77
21607,100000,array<integer>[100],67
16916,100000,array<integer>[100],4
17710,100000,array<integer>[100],4
17731,100000,array<integer>[100],90
23301,100000,array<integer>[100],31
21039,100000,array<integer>[100],61
20455,100000,array<integer>[100],59
19016,100000,array<integer>[100],16
19335,100000,array<integer>[100],15
19555,100000,array<integer>[100],63
21379,100000,array<integer>[100],69
21922,100000,array<integer>[100],43
17311,100000,array<integer>[100],24
16955,100000,array<integer>[100],56
16886,100000,array<integer>[100],58
18630,100000,array<integer>[100],7
20209,100000,array<integer>[100],42
18249,100000,array<integer>[100],42
18149,100000,array<integer>[100],99
24286,100000,array<integer>[100],61
20019,100000,array<integer>[100],11
23054,100000,array<integer>[100],73
