elapsed.ps,repeats.n,param.a.vector2
44551,100000,3.26827077e+38; 2.59681978e+38
44923,100000,2.84351493e+38; 1.11326556e+38
44193,100000,2.48479597e+38; 1.15620687e+38
45205,100000,2.94621978e+37; 3.30131122e+38
44014,100000,2.11289325e+38; 9.99137661e+37
44022,100000,-2.22217832e+38; 2.8402667e+38
44772,100000,8.45787078e+37; -2.24171712e+37
44226,100000,-1.54361408e+38; -1.38395044e+38
43730,100000,7.66300416e+37; -2.82015669e+38
47316,100000,1.50614152e+38; 2.79704083e+38
44593,100000,1.00256721e+38; 2.98496303e+38
44159,100000,1.85969049e+38; 2.10957383e+38
45265,100000,3.35413433e+38; -2.77636068e+38
44044,100000,-1.67045398e+38; -1.42511258e+38
43624,100000,-2.33650458e+38; -9.15257323e+37
44081,100000,-1.00928049e+38; -3.97540996e+36
44382,100000,1.17330799e+38; -1.36061563e+38
44030,100000,5.5959665e+37; -2.52333417e+38
43951,100000,-1.21196149e+38; 2.08184473e+38
46873,100000,2.69853241e+38; -2.14490619e+38
44554,100000,2.5550228e+38; 2.20689126e+38
43422,100000,-1.33473426e+38; -2.42993084e+38
45638,100000,2.56496362e+38; 3.38618844e+38
45206,100000,-3.37678531e+38; 2.71783275e+38
43660,100000,2.12126344e+37; -2.79745986e+38
43487,100000,2.21237705e+38; 1.44615426e+38
45226,100000,-4.03918686e+37; -1.02411798e+38
46716,100000,-1.12670236e+38; -1.86323139e+38
44084,100000,-1.63466557e+38; -7.02728651e+37
45154,100000,-2.57372582e+38; -2.74234911e+38
43614,100000,3.02801671e+37; 2.43208807e+37
43509,100000,-6.4701059e+37; 2.1329558e+38
45649,100000,1.09773269e+38; -1.37437522e+38
44006,100000,-3.34561936e+38; -1.38057352e+38
44604,100000,2.69852349e+38; -2.64727653e+38
45550,100000,-1.50013235e+38; -1.76764161e+38
44281,100000,1.82526677e+38; 1.18584079e+38
44366,100000,-2.60782866e+38; -2.31687324e+38
45301,100000,1.42659167e+38; 2.56359564e+36
48409,100000,-2.89796346e+38; -1.50414035e+38
