elapsed.ps,repeats.n,param.a.vector2
56681,100000,7.34684196e+37; 1.5971133e+38
55209,100000,1.78959204e+38; 2.57659882e+38
56387,100000,-2.23249557e+38; 2.30351545e+38
56542,100000,-2.87362954e+37; -5.10479347e+37
55490,100000,-4.74604734e+37; 2.76245344e+38
57023,100000,2.08530146e+38; -3.09196796e+38
57148,100000,2.8007054e+37; 1.77279395e+38
55740,100000,3.12300288e+38; -4.57720997e+37
58538,100000,-8.20421491e+37; -1.68819683e+38
56677,100000,9.94801079e+37; 1.01276916e+38
56073,100000,1.01472236e+38; 2.09612862e+38
59882,100000,2.67713629e+38; -6.24362051e+35
56950,100000,2.29606227e+38; -1.96470043e+38
56427,100000,-3.62581994e+37; -3.09943437e+37
55629,100000,8.51080939e+37; -3.17903446e+38
56652,100000,-3.20190348e+38; -8.32490437e+37
56666,100000,1.61109074e+37; 2.99026648e+38
55678,100000,6.53864017e+37; -1.91196292e+38
64022,100000,-2.71726687e+38; -3.17343266e+38
62292,100000,-4.93581216e+36; 3.69675386e+37
61245,100000,-2.02218058e+38; 1.76568841e+38
68495,100000,7.45006066e+37; -3.10674009e+37
66539,100000,2.07346323e+38; -3.27858377e+38
65040,100000,2.0390097e+38; -5.21639845e+37
66039,100000,-2.96419405e+38; -2.04968271e+38
64665,100000,-3.02712996e+38; 1.54087869e+38
59749,100000,-5.20202278e+37; -7.46905463e+37
65469,100000,2.49277325e+38; -2.21037436e+38
56289,100000,1.17205494e+38; 2.81522558e+37
56842,100000,-1.80749127e+38; -2.69573729e+38
55744,100000,-3.24028977e+38; -2.76753966e+38
55867,100000,4.51336804e+37; -1.00447664e+37
58221,100000,1.20754692e+38; 1.57249806e+38
56128,100000,1.74698702e+38; 1.67960257e+38
56656,100000,-2.90778846e+38; 3.15584943e+38
56408,100000,-3.07168311e+38; -1.83125029e+38
56158,100000,-1.4728448e+38; 3.02889027e+38
59287,100000,8.99914998e+37; -1.0209953e+38
56054,100000,-2.6375432e+38; -4.3065118e+37
56236,100000,-4.86650457e+37; 1.0983385e+37
55412,100000,-2.45717113e+38; -2.44422304e+37
56223,100000,-3.26310525e+38; 6.71419507e+37
55852,100000,2.87149269e+38; -2.49799069e+38
55590,100000,1.65093794e+38; 1.86589447e+38
56719,100000,1.46482828e+38; 1.92513594e+38
55124,100000,-2.18881274e+38; -1.08633701e+38
56242,100000,-2.1730241e+38; -1.96739424e+37
56161,100000,-2.72326194e+38; 2.30248185e+38
58013,100000,2.60600974e+38; 1.54901062e+38
56220,100000,3.01866119e+37; -2.86710215e+38
59995,100000,1.80735994e+37; 2.6280918e+38
55462,100000,2.10809484e+38; 2.98893534e+38
56840,100000,-2.83785634e+38; -3.11254426e+38
56597,100000,1.25416726e+38; 2.18532234e+38
55632,100000,2.03118333e+38; 9.80727521e+37
60416,100000,2.42240038e+38; 2.72634852e+38
55656,100000,3.06913341e+38; -1.72073752e+38
56138,100000,3.24739186e+38; 2.27675666e+38
58378,100000,9.72351583e+36; 1.74217076e+38
56510,100000,2.47584656e+38; -8.31303308e+37
56588,100000,-1.70532735e+38; 3.25289143e+38
56618,100000,2.08236376e+38; -8.74897964e+37
55473,100000,3.0281814e+38; 3.1241173e+37
60388,100000,-3.09181543e+38; 1.8659543e+38
56302,100000,2.92932575e+38; -7.65008122e+37
55623,100000,-2.69219071e+38; 1.54836716e+38
58805,100000,-1.42362618e+38; 3.21805355e+38
55606,100000,-1.27613504e+38; -1.27246848e+38
59784,100000,3.2534491e+37; 1.54162843e+38
56048,100000,-1.79557333e+38; -2.62845958e+37
57331,100000,-1.79042809e+38; -1.98024406e+38
56189,100000,-2.65487087e+38; 1.86849285e+38
55453,100000,-1.94432594e+38; -1.12445689e+38
58479,100000,-2.86010087e+38; -1.60079567e+38
55949,100000,-3.24799546e+38; -1.07599015e+38
58047,100000,2.7869335e+38; 1.26488976e+38
57948,100000,-5.80784517e+37; 3.05697213e+37
55733,100000,-1.02145967e+38; -8.50836637e+37
58376,100000,4.3125874e+37; 1.9966935e+38
56598,100000,2.15681543e+36; -2.61853352e+38
55795,100000,-3.164724e+38; 1.55495722e+38
58716,100000,-2.4478471e+38; 1.40806653e+38
55709,100000,7.95370636e+37; 1.3419979e+38
58570,100000,-2.63534135e+38; -4.89743169e+37
55911,100000,3.93501108e+37; 2.53480732e+38
56605,100000,-1.2287895e+38; 7.19527811e+37
57656,100000,8.4433572e+37; 1.11423598e+38
55843,100000,-2.89808881e+38; -1.98243861e+38
58501,100000,-8.13397895e+37; 2.00364205e+38
56716,100000,-9.53873408e+37; -1.35452412e+38
55536,100000,6.34510795e+37; -1.08937755e+38
56969,100000,2.91656568e+38; -1.26157176e+38
59296,100000,-7.29408437e+37; -2.74225049e+37
56504,100000,3.0101049e+38; -2.30149755e+38
56123,100000,-3.31216677e+38; 9.56459821e+37
57282,100000,-1.23304252e+38; -2.82652293e+38
55401,100000,1.00696748e+38; 2.64214021e+38
57622,100000,1.53544057e+38; -6.58264399e+36
56217,100000,3.2977223e+37; 9.58937621e+37
58603,100000,-1.56213202e+38; 1.62682723e+38
55811,100000,9.23511148e+37; -2.71153242e+38
57559,100000,1.43471022e+38; -2.57669354e+38
55618,100000,1.06622477e+38; -2.84515253e+38
56612,100000,2.82970281e+38; 1.0816604e+37
56961,100000,-2.29047325e+38; 1.46538706e+38
57332,100000,-3.30184222e+38; 1.84309887e+38
56889,100000,1.97249253e+38; 3.27521425e+38
57054,100000,-1.12527376e+38; -4.11558436e+37
58245,100000,7.30562354e+37; 2.44511202e+38
56802,100000,-1.8451837e+38; 1.54419294e+38
55903,100000,1.04574907e+38; -1.06155881e+38
56696,100000,1.8317608e+38; 2.63300299e+38
56957,100000,2.9568433e+38; -1.63153964e+38
57234,100000,3.23862904e+38; 3.32062738e+38
55322,100000,-2.08002986e+38; 2.9040707e+38
60030,100000,-9.04754584e+37; -1.9516485e+38
55712,100000,3.324464e+38; -5.83308207e+37
59606,100000,-7.59760201e+37; 1.88581666e+38
57858,100000,-1.85239171e+37; 1.25139293e+38
59096,100000,-1.49503903e+38; 1.90458025e+37
55915,100000,-2.82818061e+38; -1.76768367e+34
56811,100000,2.02983516e+38; 1.6302795e+38
57842,100000,3.06183093e+38; 3.04698461e+38
56718,100000,2.84055552e+38; 4.05498641e+36
57681,100000,-1.70762994e+37; 7.72865122e+37
56251,100000,-1.94591182e+38; -2.62491781e+38
55988,100000,2.11887412e+38; -3.02342335e+38
56670,100000,-1.92406665e+38; -9.84436565e+37
58497,100000,1.02077605e+38; 3.40062222e+38
57056,100000,2.33496941e+38; 1.85531841e+38
56185,100000,-2.14083957e+38; -1.61420427e+38
56446,100000,-3.2309268e+38; -1.77162855e+37
64915,100000,2.9895424e+38; 3.05284765e+38
55890,100000,-2.85036186e+38; 1.21455328e+38
57570,100000,3.37164372e+38; 1.38434909e+38
55753,100000,-9.98197876e+37; 4.25772938e+36
55705,100000,-3.99401971e+37; 2.79770386e+37
