elapsed.ps,repeats.n,param.a.vector2,param.b.vector2,param.issigned.boolean
44295,100000,4.64529498e+37; -1.92186297e+38,-9.80789788e+37; 2.50332537e+38,true
46541,100000,7.92534445e+37; 2.43421327e+38,-6.7092132e+37; -1.46297659e+38,true
42606,100000,-1.39394764e+38; -2.76883591e+38,1.26003831e+38; -6.94798939e+37,true
51982,100000,-3.26731223e+38; 1.59761346e+38,-9.65472107e+37; -1.22275437e+38,true
46328,100000,-2.93136636e+38; -1.40621586e+38,9.61378736e+36; -2.9184775e+38,false
43662,100000,2.8340972e+38; 2.38831214e+38,-2.04139877e+38; -2.65144558e+38,false
43132,100000,6.23968911e+37; 2.3357229e+38,-3.0634018e+38; -2.32666594e+37,true
47381,100000,6.81148522e+37; -3.00539244e+37,-5.83050113e+37; 2.27433798e+38,true
43618,100000,-2.28250875e+38; -2.63175907e+38,-8.55114299e+37; -2.01701181e+38,false
43452,100000,2.4603151e+38; -1.93398374e+38,4.89826885e+37; 2.98911454e+37,false
42836,100000,-2.63989475e+38; 2.15497965e+38,-1.3286534e+38; -3.3908969e+37,true
48196,100000,2.44595085e+37; 1.55946539e+38,-1.524131e+38; 2.56784473e+38,false
43553,100000,1.66711357e+38; 1.86055796e+38,7.69522023e+37; 1.43460901e+38,false
43698,100000,-2.97142655e+38; 5.53956873e+37,1.8996805e+38; -1.30820122e+37,true
49012,100000,-6.31725564e+36; -1.75843522e+38,3.05901026e+38; -6.21476811e+37,false
43820,100000,3.10224525e+38; -1.96268132e+38,1.56179574e+38; 1.51506182e+38,false
45388,100000,1.3517149e+38; -1.30310882e+38,4.79977037e+37; 7.87259903e+37,true
45565,100000,-3.47045795e+37; 1.45901564e+38,2.1815346e+38; 3.187318e+38,true
43203,100000,-1.82582515e+38; 1.1785735e+38,1.10354147e+38; -2.33029776e+38,false
45140,100000,9.32166767e+37; -2.71575319e+38,1.80858307e+38; 2.05202776e+38,true
45977,100000,-5.19911885e+37; 3.15374777e+38,1.81509231e+38; -4.64139334e+36,false
42968,100000,-2.08562395e+38; -1.80604777e+38,1.26701647e+38; -2.32223307e+38,true
52847,100000,9.62820384e+37; 2.24024335e+37,-7.31653091e+37; 2.25545161e+38,true
45396,100000,1.93069028e+38; -2.54298823e+38,-1.86705584e+38; 2.209659e+38,true
44528,100000,-1.89581711e+38; 1.26693504e+38,1.1166151e+38; 1.61592929e+38,true
42946,100000,3.38356146e+38; -9.68591034e+37,-3.33941518e+38; -3.13034998e+38,true
45447,100000,-2.80228261e+37; 1.87034808e+38,1.4788492e+38; 1.9256714e+38,true
42982,100000,2.86718572e+38; -3.39169065e+38,2.87030008e+38; 2.2085962e+38,true
43309,100000,-2.91321888e+38; -2.85092734e+38,1.46724675e+38; -9.81641446e+37,false
43793,100000,-2.75221731e+38; 2.04879655e+37,-2.8564476e+38; 1.82857747e+38,false
49784,100000,-2.51473179e+38; 1.25102186e+38,-2.78031423e+37; -2.67170041e+38,false
43179,100000,3.20384309e+38; 2.17941671e+38,-2.66423993e+38; 3.34290294e+38,false
42854,100000,2.78754197e+38; 3.36103917e+37,3.32681463e+37; 2.57300823e+38,true
44918,100000,-2.47551413e+38; 2.59191995e+38,-1.14404453e+37; -2.60550014e+37,true
43126,100000,-2.28921858e+38; 2.30830372e+38,-3.36413619e+38; 5.90369021e+37,true
43941,100000,2.78670086e+38; -8.41510329e+36,2.99902523e+38; 8.58036589e+37,false
43827,100000,3.06730029e+38; 1.63539113e+36,6.06858011e+37; 2.32276284e+38,false
44510,100000,-2.37440105e+38; -1.7159295e+37,-1.12773656e+38; -1.91564912e+37,false
45383,100000,1.45699105e+38; -2.68150533e+38,-1.70477892e+38; -2.84849264e+38,false
43833,100000,2.01490386e+38; 2.4021772e+38,2.51237726e+37; 3.09998519e+38,false
44463,100000,2.67445293e+38; -1.44408363e+38,3.04177792e+38; -7.73303425e+37,false
43323,100000,-2.16553807e+38; 3.24359316e+38,-4.93213845e+37; 1.60551863e+38,true
43697,100000,1.20616762e+38; 2.93199877e+38,-2.72342785e+38; 1.23493883e+38,false
46873,100000,2.00240178e+38; 9.89099694e+37,-8.02360588e+36; -2.81876471e+38,false
43134,100000,-9.9171288e+37; -2.20789038e+37,-2.49328173e+38; -6.00486394e+37,false
43890,100000,1.23659671e+38; 1.60596494e+38,-5.00888607e+37; 2.65808969e+38,false
45856,100000,2.38678772e+38; 1.48414585e+38,1.96322002e+38; 3.27202342e+38,true
43347,100000,1.1331982e+38; 3.28463198e+38,-2.21479187e+38; -2.14633245e+38,true
43571,100000,1.67807469e+38; 3.38685918e+38,1.12545134e+38; 3.08944604e+38,false
48772,100000,-2.32123801e+38; -1.74953429e+38,-7.26504554e+37; -3.33434255e+38,true
43196,100000,-8.67323498e+37; 3.18328241e+38,-7.62286375e+37; 2.7675496e+38,true
44096,100000,2.1654725e+37; 2.36500684e+38,2.93733608e+38; -5.98681969e+37,false
47982,100000,-3.3768847e+38; -1.61387772e+38,1.64661525e+38; -2.84781845e+38,true
44052,100000,-3.36659523e+38; -3.1680704e+38,-2.13654781e+38; 3.26517968e+37,true
44921,100000,-2.54602897e+38; 1.61681259e+38,2.76198491e+38; -1.1980075e+38,false
43828,100000,2.5360265e+38; 2.4085329e+38,2.78153087e+38; 1.95384914e+38,true
47584,100000,3.14776963e+37; 1.8923689e+38,7.29723271e+37; 2.6975047e+38,true
43940,100000,-3.42452742e+37; 1.52565674e+38,4.31748231e+36; 4.57532878e+37,false
51426,100000,3.27408655e+38; -3.35964871e+38,3.24348283e+37; 2.1728227e+38,true
44552,100000,-2.17991525e+38; -1.72594584e+38,4.37492114e+36; -2.13904092e+38,false
43691,100000,2.91560814e+38; 1.79973857e+37,-3.31801967e+38; 1.57936994e+38,false
44530,100000,-2.78960124e+38; -2.93130612e+38,-2.06931771e+38; 1.24098025e+38,false
43894,100000,-1.3282948e+38; -2.59462806e+38,-3.15973291e+38; -2.42821667e+37,false
42773,100000,-2.42632442e+38; 8.16855641e+37,5.25006725e+37; -6.64940038e+36,true
44727,100000,-1.00641124e+38; 2.93386434e+38,-2.49314705e+38; 8.10395338e+37,false
45529,100000,-1.00660646e+38; 1.80721401e+38,7.56003899e+37; -1.72360262e+38,false
46685,100000,8.51791026e+37; -2.09140363e+38,-3.12076857e+38; -3.05716316e+36,true
44997,100000,3.39240094e+38; 2.142939e+38,-2.66828363e+38; -1.01984868e+37,true
46225,100000,2.27637849e+37; -1.47498571e+38,2.3397234e+38; -7.04475068e+37,false
43748,100000,-2.96973784e+38; -2.43553548e+38,-2.24754756e+38; -2.43136744e+38,false
45449,100000,-3.16843913e+38; -2.97588949e+38,3.35637614e+38; -1.24303283e+38,false
43907,100000,3.03063902e+38; 8.76292481e+37,3.36860582e+38; 8.93641142e+37,false
43228,100000,6.92736636e+36; -2.52396982e+38,-1.94876698e+38; 3.11284626e+38,false
42672,100000,2.20338951e+38; 3.22400563e+38,2.08770615e+38; -3.09992474e+38,true
58667,100000,1.99287959e+38; 3.94380604e+37,-2.27726717e+38; 1.53347399e+38,true
43732,100000,-3.37975202e+38; -1.94701574e+37,1.97503371e+38; 1.19463829e+38,false
43811,100000,-3.35940694e+38; -4.98689119e+36,-2.52969291e+38; 1.67968572e+38,false
43730,100000,-1.51459137e+38; -2.95831438e+38,2.09492303e+38; 3.29749083e+38,false
43467,100000,-1.64839929e+38; -1.24689348e+38,-2.98549463e+37; 3.07200439e+38,true
43522,100000,2.27568686e+37; -3.15694786e+36,-1.33048256e+38; 1.37202388e+38,false
43502,100000,-1.65551812e+38; -2.24098721e+38,2.76996827e+38; -2.0109569e+38,true
43554,100000,2.72037555e+38; -3.69785368e+37,-2.37572245e+38; -6.5620846e+37,false
43224,100000,-1.97809554e+38; -1.54486591e+38,-6.47975425e+37; 2.83984016e+38,true
43455,100000,-1.81410252e+38; -2.82420607e+38,-2.2266727e+38; 3.38152795e+37,false
42976,100000,6.97010787e+37; -1.76206552e+37,-2.48030565e+38; -1.6916057e+38,true
46378,100000,-2.87429303e+37; 1.04893544e+38,1.51175485e+37; 2.1071154e+38,true
43151,100000,-1.81709601e+38; 2.75922184e+38,2.8982998e+37; -3.33842093e+38,true
43150,100000,-4.69923148e+37; 1.68459467e+38,1.87416097e+38; -1.9746092e+38,true
46917,100000,-2.23209763e+38; -3.26843405e+38,-7.28888903e+37; -1.0383178e+38,true
43855,100000,2.69923682e+37; -1.62743256e+38,1.15699545e+38; -2.26515796e+38,false
43196,100000,2.8543936e+38; -9.0340124e+37,9.25803466e+37; -1.75457915e+37,true
46474,100000,2.88781313e+38; 1.26121428e+38,1.74652742e+38; -5.96724159e+37,false
43797,100000,2.8171192e+37; 7.47199406e+37,-1.25613607e+38; 1.64812528e+38,false
43249,100000,9.48180947e+37; 1.23873803e+38,6.16381769e+37; -9.11006332e+37,true
43639,100000,2.53279105e+38; 2.6172324e+38,-1.18590448e+38; 1.36357463e+38,false
43570,100000,-1.57648771e+38; 2.88360372e+38,3.49847702e+36; -3.02137138e+38,true
45006,100000,-4.50944289e+37; 2.01950898e+38,1.70828149e+38; 3.09909682e+38,true
43900,100000,-2.65629328e+38; 1.75658222e+38,2.6040247e+38; -2.21248799e+38,true
52502,100000,-3.32701755e+38; -9.21542537e+37,-5.94452884e+37; -1.92316875e+38,true
43332,100000,2.99486004e+38; -2.4840512e+38,-1.45735867e+38; 1.05552641e+38,true
43898,100000,9.57208166e+36; 2.46724905e+38,-8.55046353e+37; 1.36625465e+38,true
45342,100000,-3.15566811e+38; -2.63486065e+38,8.13030429e+37; 3.22726724e+38,true
44140,100000,-2.70377805e+38; -2.90060464e+38,2.08947984e+38; -3.22391753e+36,false
43802,100000,-1.2636359e+38; -1.9022801e+38,-3.56707473e+37; -1.12158389e+38,true
44185,100000,2.77003257e+38; 3.18516117e+38,1.11153801e+38; -2.98400631e+38,false
44727,100000,8.61690059e+37; 7.75577438e+37,2.01748358e+38; 3.04101327e+38,false
44152,100000,-2.64175262e+38; -1.86957857e+38,-7.8573568e+37; -3.29235654e+38,false
43372,100000,-3.05274644e+38; 2.45843716e+38,-1.51958064e+38; 3.25413109e+37,true
44437,100000,1.44079484e+38; 2.87962106e+38,-8.23855759e+37; 3.20923618e+38,false
43155,100000,1.33141708e+38; 2.00779467e+38,-2.43911263e+37; -1.12447129e+38,true
