runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector2,param.b.vector2,param.alpha.float
2,4014,56899,50000,Vector2(-9.724622362735473e+37;-1.2923624852652226e+38),Vector2(-2.466229454551223e+37;-8.683547574310117e+37),-1.487960734991769e+308
2,3481,61573,50000,Vector2(-3.256531313692454e+38;-7.448214458484106e+37),Vector2(1.9195195375739447e+38;1.5794705400579059e+38),1.036455066147479e+308
2,3367,55457,50000,Vector2(-3.002368179643078e+38;2.576293167210015e+38),Vector2(2.676392537678725e+38;3.1205004376662988e+38),-8.102369924442165e+307
2,3903,52805,50000,Vector2(1.128591560448249e+38;-6.13798093929301e+37),Vector2(9.751904231893345e+37;-8.049910393545076e+37),1.256223930393237e+308
2,3463,67825,50000,Vector2(-1.0768058023638695e+38;-2.5474061481561102e+38),Vector2(8.951348397752892e+37;1.2149292652948574e+37),-3.7361419170210004e+307
2,4086,55466,50000,Vector2(-2.7167011900527343e+38;2.968941551671684e+38),Vector2(3.0967550094469196e+38;1.8975555133900543e+38),-1.7739505539922927e+308
2,3584,54350,50000,Vector2(2.5728636145701336e+38;-2.666554554900474e+38),Vector2(-1.954540768588378e+38;2.633484491689912e+38),1.3196024061784533e+308
2,3443,55870,50000,Vector2(2.609512711779356e+38;1.7085996923911184e+37),Vector2(-2.352237850448588e+38;3.1061565147705003e+38),-1.598184193937149e+308
2,3802,57734,50000,Vector2(8.523699875982778e+37;-1.8288003758987315e+38),Vector2(1.4969117016505779e+38;3.3241644282845027e+38),1.0594799825585293e+308
2,3536,55936,50000,Vector2(1.9651458320978393e+38;1.892156133129466e+38),Vector2(-9.695084075509195e+37;-3.136035952126312e+38),7.667587404040223e+307
2,3493,57256,50000,Vector2(-2.6081716388563625e+38;2.928013271684283e+37),Vector2(2.060700725870755e+38;-7.488599271306177e+37),9.239900844130955e+307
2,3539,56963,50000,Vector2(1.379323113616783e+38;9.13234862105588e+37),Vector2(-1.1688301370970776e+38;-2.9284578621027952e+38),7.380650834923256e+307
2,3538,55630,50000,Vector2(1.558337587607525e+38;-1.1485668943705014e+38),Vector2(3.267651550405848e+38;-3.3505962616558855e+38),-1.384988668951537e+307
2,3884,54045,50000,Vector2(-2.080156830107154e+38;4.980020145502529e+37),Vector2(1.0732683473048966e+38;-1.3478155058300384e+38),-9.952185033557818e+307
2,3445,59098,50000,Vector2(6.7256799834865e+37;2.1656603701527882e+38),Vector2(1.58454773424194e+38;2.7676232217241424e+38),-4.717027762168894e+307
