runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector2
1,3679,59970,50000,Vector2(-1.4642223392682764e+38;2.8240124276102387e+37)
1,3674,54265,50000,Vector2(-2.752647704593286e+38;-2.2044026120331074e+38)
1,3653,55627,50000,Vector2(1.4707866397244503e+38;-3.3867222755214297e+38)
1,3649,54112,50000,Vector2(2.0530992843994986e+38;7.295131450819825e+37)
1,3683,53641,50000,Vector2(2.0374352301686224e+37;2.9161965370250997e+38)
1,3828,57095,50000,Vector2(-2.091836252853321e+38;-1.5659998763075926e+38)
1,3679,54470,50000,Vector2(-1.3116150555212488e+38;1.937488332714108e+38)
1,3649,60060,50000,Vector2(-1.2805376376421976e+38;-2.5855441770543366e+38)
1,3712,61762,50000,Vector2(2.2815313423292978e+38;1.3223557069389106e+38)
1,3923,57816,50000,Vector2(2.0227827611167283e+38;2.6596725304978588e+38)
1,3697,55948,50000,Vector2(1.6926658567595017e+38;2.6494179470263485e+38)
1,3730,55501,50000,Vector2(-1.4767554486346609e+38;1.2657848720748135e+37)
1,3565,54493,50000,Vector2(2.1504394358657278e+38;-3.321000169562237e+38)
1,3878,56724,50000,Vector2(-2.372083985421665e+38;2.2890451637910666e+38)
1,3706,54669,50000,Vector2(-1.840477364755746e+38;1.04200595385026e+38)
1,3644,56746,50000,Vector2(-1.1968268597814302e+38;4.9079668853855565e+37)
1,3702,58434,50000,Vector2(-1.4502102365935937e+38;-3.7804639325667595e+37)
1,3966,61845,50000,Vector2(1.0013074735636687e+38;-2.424970976935475e+38)
1,3754,57798,50000,Vector2(2.580764627231236e+38;5.362138207134126e+37)
1,3615,60183,50000,Vector2(2.511068385934304e+38;-1.5864908904940178e+38)
1,3791,73788,50000,Vector2(-3.3615426781189764e+38;1.4714537028233024e+37)
1,3724,74030,50000,Vector2(7.670390508583707e+37;1.4519328216412318e+38)
1,3809,60672,50000,Vector2(-4.417715692253291e+37;2.7100329422473417e+38)
1,3789,61225,50000,Vector2(2.127846454160028e+38;-6.165097633577672e+36)
1,3588,52266,50000,Vector2(1.990360315244811e+38;1.1818412014457722e+38)
1,3871,56309,50000,Vector2(-1.9352187310794592e+38;-1.3107295255179534e+38)
1,3642,59936,50000,Vector2(1.266698594627458e+37;-1.2235185108198358e+38)
1,3685,60709,50000,Vector2(-3.3449875669281878e+38;-1.775014670815384e+38)
1,3677,56966,50000,Vector2(1.698316257191947e+37;-1.8175306578265585e+38)
1,3692,52800,50000,Vector2(-2.517127907921467e+37;2.5116890276681756e+38)
1,3595,57226,50000,Vector2(-4.797241154877301e+37;1.7339320416908993e+38)
1,3803,57645,50000,Vector2(1.4073582714673345e+38;-7.50672566076896e+37)
1,3655,60549,50000,Vector2(7.507233228069292e+37;-1.171265243194092e+38)
1,3598,62601,50000,Vector2(-1.899280735150941e+38;-1.1165710889845969e+38)
1,3714,63988,50000,Vector2(-1.5624383105342034e+37;3.5331478357634324e+37)
1,3627,64087,50000,Vector2(-2.8695885738763883e+38;-9.367095201567584e+37)
1,3572,68337,50000,Vector2(2.876046898742383e+38;-3.101915868570569e+38)
1,3577,53549,50000,Vector2(-7.10148197600246e+36;1.1108600948534606e+37)
1,3692,69582,50000,Vector2(-9.147821057222025e+37;-9.00549026194888e+37)
1,3684,67165,50000,Vector2(-1.3530035433825565e+38;1.3618316649866419e+38)
1,3703,55007,50000,Vector2(-1.4919879438951954e+38;8.923684712234231e+36)
1,3782,72754,50000,Vector2(3.535540906566543e+36;-1.8616027113025253e+38)
1,3712,63640,50000,Vector2(-1.9107252875938974e+38;1.2371348022711033e+38)
1,3787,64345,50000,Vector2(-4.415290423124934e+37;2.571099856231e+38)
1,4545,72768,50000,Vector2(2.365802928815606e+38;-1.2741921843856472e+38)
1,3796,62629,50000,Vector2(-2.920248353991621e+38;-1.7226584699609016e+38)
1,3898,55585,50000,Vector2(2.396167419997089e+37;-1.8212023824371076e+38)
1,3689,76677,50000,Vector2(2.107662414242954e+38;7.890314197096822e+37)
1,4312,56351,50000,Vector2(-2.039842904306648e+38;-3.3911541848439236e+38)
1,3648,55154,50000,Vector2(2.3312972766532977e+38;2.181205822993507e+37)
1,3649,58647,50000,Vector2(2.8113760300729477e+38;3.8352964128097516e+37)
1,3765,57078,50000,Vector2(-2.335842970293668e+38;-2.545227614540582e+38)
1,3653,63446,50000,Vector2(-4.0275633244999775e+36;7.777377176881529e+37)
1,3678,57527,50000,Vector2(2.5100443714411865e+36;1.0693177395622973e+38)
1,3740,64859,50000,Vector2(6.948287541850418e+37;-3.111835792283619e+37)
1,3681,55982,50000,Vector2(-7.856506969709215e+37;3.1321174412969103e+37)
1,3567,54803,50000,Vector2(8.3803711861571325e+37;1.762891468947089e+38)
1,4408,62360,50000,Vector2(-2.817792978823351e+38;-9.459816237070677e+37)
1,3609,68361,50000,Vector2(-6.9247102548066535e+37;-1.2680197400830159e+38)
1,3642,65437,50000,Vector2(-1.756897687320054e+37;2.433236058848963e+38)
1,3767,63895,50000,Vector2(1.739656346153338e+38;-4.375138350953065e+37)
1,3573,67094,50000,Vector2(-4.672021614466277e+37;4.644420297357147e+37)
