elapsed.ps,repeats.n,param.a.vector2
41855,100000,1.93917567e+36; -1.25793926e+37
43574,100000,1.09013114e+38; -1.34354345e+37
48779,100000,-3.79854088e+37; -2.2171063e+38
42031,100000,-1.19758542e+38; -1.38443469e+38
44555,100000,-2.40757131e+38; -1.43242479e+38
45420,100000,1.89895137e+37; 6.83571206e+37
42167,100000,-3.29041166e+38; 2.03733884e+38
43941,100000,-3.39511737e+38; -2.08597545e+38
41878,100000,-3.17108254e+38; 2.70243677e+38
44360,100000,2.20716589e+38; -5.17455431e+37
42622,100000,-1.51493901e+38; 3.17629978e+38
45898,100000,3.46643417e+37; -2.90327725e+38
43477,100000,-1.94033558e+38; -2.8159055e+38
42939,100000,-4.33469725e+37; -3.11803247e+38
43115,100000,-2.91177234e+38; -1.53271664e+38
42403,100000,1.1380312e+38; 3.09808128e+37
42071,100000,1.68748228e+38; -1.10920776e+38
43150,100000,-1.42376208e+38; -6.71931891e+37
49107,100000,2.45001113e+37; 2.54881294e+38
44705,100000,2.10775308e+38; 2.00117713e+38
42498,100000,-4.26419104e+37; -2.20529626e+38
49200,100000,3.00719154e+38; 2.89558859e+38
47911,100000,-2.63588755e+38; 2.38353888e+38
41932,100000,-2.92151053e+38; 3.18752021e+38
46010,100000,-1.92020488e+38; 1.88477719e+38
63634,100000,3.24588893e+38; -1.06771938e+38
56741,100000,-3.10718321e+38; -6.45556899e+37
47453,100000,1.05912339e+38; -2.57071125e+38
41868,100000,-2.95884923e+38; -8.52249206e+37
44450,100000,-3.37871316e+38; -1.83761511e+38
42514,100000,-1.64820854e+38; -1.2238843e+38
43245,100000,-7.65950443e+37; 1.99120249e+37
43767,100000,-3.06632186e+38; -2.00115461e+38
42004,100000,-3.15854862e+38; -1.77560286e+38
43854,100000,-4.44478713e+37; -5.40648468e+37
43091,100000,-1.41512187e+38; 2.1841125e+38
41999,100000,1.04724612e+38; -1.88635374e+38
43793,100000,2.9243239e+38; -7.99914251e+37
42257,100000,3.18796135e+38; -1.59902349e+38
44191,100000,1.00107402e+38; 1.31271112e+38
41956,100000,-7.23412653e+37; 2.72589683e+38
43058,100000,6.57623665e+37; 1.18685613e+37
43340,100000,1.12492562e+38; 5.2210563e+37
42308,100000,-6.77559043e+37; 1.30174776e+38
46465,100000,1.31927653e+38; 3.60715936e+37
42924,100000,-2.79084759e+38; -2.6631031e+38
41961,100000,3.80087691e+37; -2.41296055e+38
43421,100000,3.06990977e+37; 2.82528794e+38
43345,100000,-1.11984315e+38; 2.11451909e+38
43000,100000,2.42011659e+38; -2.37954588e+38
43085,100000,1.72425307e+38; 2.8759323e+38
42811,100000,1.20172364e+38; -5.46964233e+36
44460,100000,-2.93318995e+38; 2.2398376e+38
42724,100000,3.32348502e+37; -2.86373466e+38
43463,100000,8.70127744e+37; 4.16223314e+37
43992,100000,4.58254222e+37; -1.33581988e+38
42094,100000,-2.98045405e+38; 2.83978824e+38
43036,100000,9.29914304e+37; 1.38330922e+38
42269,100000,-2.32066645e+38; 1.85672601e+38
43463,100000,2.23772316e+38; 9.63467596e+37
