runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,3886,119276,50000,4429995249243024
1,3946,118586,50000,-6457580463979245
1,4188,116598,50000,4328407583053089
1,3885,117540,50000,6075042146265309
1,3899,117664,50000,-1338106324159726
1,3900,115910,50000,61042084175370
1,3902,117848,50000,1691987128410423
1,4216,126380,50000,5160547291363379
1,3889,117478,50000,6827560215319809
1,3885,112940,50000,728146180444177
1,3886,117194,50000,3932936411511873
1,3887,116546,50000,-6288562185509297
1,3904,127659,50000,-6044955079436132
1,3995,130799,50000,4847585866218538
1,3894,117568,50000,-4058452934439931
1,5006,131307,50000,-1981298513188958
1,3886,117118,50000,-5651699392495465
1,3900,115876,50000,-5853376130278090
1,3886,117924,50000,-674814319875659
1,3887,117112,50000,8933206964496186
1,3886,117353,50000,7420133794731914
1,3901,118341,50000,6382028431578579
1,4257,124642,50000,-4918373007161651
1,3896,127675,50000,872110298959143
1,3886,130150,50000,8019463223591340
1,4145,134396,50000,-2476712040175862
1,3901,125926,50000,-5468385532029087
1,3897,126658,50000,-7060237164846034
1,3886,118167,50000,7722898575231933
1,4430,116978,50000,-8599008443060456
1,3885,115653,50000,-5563487362642792
1,3897,116469,50000,1916688393277389
1,4881,118046,50000,-7279431008758411
1,3885,117785,50000,6386781074065430
1,3885,117465,50000,-8763495882395063
1,3884,117010,50000,-1713951874408341
1,3886,116802,50000,5986903833580991
1,3899,116353,50000,-5073949790097026
1,3903,110901,50000,803752917082639
1,3885,117057,50000,8104398161453179
1,3885,117393,50000,-656533738621638
1,3885,117040,50000,-7205035997885546
1,3885,116923,50000,6876611943281493
1,3885,117125,50000,7953563379021943
1,4196,119019,50000,2495250754978445
1,3885,117166,50000,4934909060693003
1,4943,117332,50000,4182824665346845
1,3948,116359,50000,5581523266461516
1,4452,114151,50000,795469674036697
1,3887,115240,50000,-7643532581277304
1,3893,116786,50000,2314875980132069
1,4025,120289,50000,4856634918726096
1,3885,117098,50000,8183901264848644
1,3900,116450,50000,1282879007415255
1,3887,118404,50000,-1032901958421088
1,3898,120034,50000,383232210514325
1,3900,129686,50000,8954410035770879
1,3896,147345,50000,-4968817096580562
1,3886,126446,50000,-8102870616337777
1,3894,125335,50000,-5727738548479822
1,3886,125271,50000,-6500464899261433
1,3918,124069,50000,3359709286413869
1,3893,123363,50000,3584380637409878
1,3885,124869,50000,-6277320403320220
1,4857,129700,50000,-556000075275877
1,3900,126270,50000,-936780412924406
1,3886,126363,50000,-2148867100568512
1,4607,119749,50000,4645223124806501
1,3911,118896,50000,4263137327829595
1,3886,117603,50000,-8882958241486468
1,3885,112070,50000,789860656972319
1,3893,117805,50000,3656302791042472
1,4868,120444,50000,-443192112901671
1,3885,116909,50000,7726078423078998
1,3914,117812,50000,-8309204851304561
1,3885,119281,50000,-8306405796198445
1,3909,118464,50000,1209222959174077
1,3885,119123,50000,-562024552959585
1,3901,117937,50000,8402265866736953
1,3886,117754,50000,-765340847484341
1,3958,119566,50000,8296909294758875
1,3901,114021,50000,854495191052027
1,3885,117012,50000,-8194177267686322
1,3924,118407,50000,5489062720344800
1,4849,116183,50000,5647790070451016
1,3885,116509,50000,-8809035752414542
1,3893,116711,50000,-8815798679120592
1,3896,118485,50000,-2137318096032322
1,4192,116787,50000,3423924446255619
1,3954,117395,50000,7858242114478303
1,3885,116474,50000,4881526583733809
1,3971,116913,50000,-5134706491400261
1,3902,117657,50000,-5079490368673424
1,4875,118395,50000,5575795107963457
1,3886,118900,50000,7717843863880311
1,3885,127898,50000,-6175021119485648
1,3951,120420,50000,2995943792925313
1,3885,129784,50000,6461211475963365
1,3893,126761,50000,-2780647232938387
1,3885,125214,50000,4411714486648538
1,3885,125716,50000,-4739151367632815
1,3894,126816,50000,1760607793200169
1,4060,123228,50000,-1710721082475849
1,3962,141319,50000,6270638055789096
1,4873,126390,50000,6796679280897374
1,3886,124788,50000,8706620676171775
1,3973,125097,50000,-8135821192444449
1,3901,127280,50000,-2341114161678257
1,3886,125745,50000,-845664992915475
1,3904,134217,50000,1273079837327473
1,3957,126159,50000,-1811197877190804
1,3955,125905,50000,-1041141000561980
1,4163,125076,50000,-3446725430051133
1,3893,126494,50000,-714377370401104
1,3885,125927,50000,7714236582338738
1,3885,124801,50000,-6391768787902465
1,4866,130646,50000,8644326029222494
1,3952,125513,50000,-2196468252864129
1,3898,123876,50000,7643081315559792
1,3901,130439,50000,-8182644166796759
1,3886,121809,50000,-65395550605301
1,3886,122803,50000,-7112321390284687
1,3929,124022,50000,8117559417916263
1,3885,124632,50000,-6129327409154750
1,3886,122891,50000,-1265506655522460
1,4860,127310,50000,-7573723853196516
1,3950,132099,50000,-4261080407445269
1,3886,126930,50000,-263117622464146
1,4867,117085,50000,138841081388099
1,4252,121856,50000,4726724244137722
1,3964,122359,50000,-4668301071405859
1,3886,128763,50000,2167201498144852
1,3886,125573,50000,2231921059941765
1,3959,125698,50000,8863726486213448
1,4003,123890,50000,-8447017766392945
