runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,3393,133492,50000,6551930282279159
1,3301,128521,50000,-3983129261830274
1,3640,132015,50000,4144361890814721
1,3271,139723,50000,4185064908434530
1,3278,154210,50000,6052941836881805
1,3314,139536,50000,1259169380697307
1,3275,127903,50000,-2396517153699037
1,3272,125860,50000,-4444268103816853
1,3319,131931,50000,-3720433820769187
1,3292,134238,50000,-3340596982428503
1,3342,131970,50000,-4747077855180785
1,3356,130910,50000,8791349485531451
1,3317,128611,50000,-2445192886673179
1,3389,130639,50000,3010676550214012
1,3328,137662,50000,-8019055525879149
1,3324,138024,50000,-4196085152521540
1,3273,131703,50000,-8973047607304157
1,3505,135516,50000,-866952933934448
1,3336,127183,50000,-4041698180665927
1,3305,127642,50000,1245314847959596
1,3304,126716,50000,-3361813814108528
1,3331,130157,50000,7037272558744955
1,3297,135658,50000,-2029769948077827
1,3298,135257,50000,5659761681684965
1,3276,135264,50000,478066747451619
1,3296,147786,50000,5383738721287284
1,3374,135036,50000,-1285496416340271
1,3359,131034,50000,892374055363602
1,3365,130582,50000,-439891540975879
1,3429,139982,50000,-2761855954964376
1,3296,133744,50000,2874348098359654
1,3430,138220,50000,7130046932675649
1,3321,137023,50000,5590119317317274
1,3357,141804,50000,-3307383278482485
1,3315,137376,50000,-3196670840881723
1,3345,136721,50000,7496223799070199
1,3273,136414,50000,5118593736892756
1,3287,136760,50000,5613475742405381
1,4063,140047,50000,3215590243418505
1,3314,128634,50000,-1013353525471350
1,3437,126400,50000,-4382477942432977
1,3286,125764,50000,-8064882174521479
1,3286,131192,50000,3254441218545163
1,3269,126633,50000,-7108187852750713
1,3269,128051,50000,-6853056772383554
1,3989,131873,50000,5115717176591260
1,3530,137522,50000,-6012819929927692
1,3435,131470,50000,-8160132052114021
1,3338,130204,50000,1105873647157123
1,3351,131332,50000,4153436269832706
1,3251,135736,50000,7256657588963309
1,3311,133983,50000,3771908388500157
1,3360,137682,50000,3576292608397079
1,3401,135372,50000,-644680258965663
1,3507,137350,50000,4734132182074592
1,3258,135890,50000,8393566680927077
1,3312,133758,50000,2509221609248742
1,3301,128409,50000,-1273022203988969
1,3352,154784,50000,-618158015387793
1,3354,132958,50000,-484109785797142
1,3414,152387,50000,-1890384306526458
1,3406,130268,50000,6628700542525881
1,3388,137737,50000,-5519122364718260
1,3377,133557,50000,-4143679571218294
1,3785,140344,50000,8388826108654822
1,3316,138007,50000,5868131930092616
1,3356,136021,50000,-1785023348898939
1,3400,143866,50000,4239402511237077
1,3269,143434,50000,8198057147832003
1,3313,128777,50000,-4336563938404279
1,3280,150683,50000,7550478519908399
1,3270,131561,50000,-3538160787401718
1,3279,132193,50000,5066397637679885
1,3249,130974,50000,1039718951914198
1,3309,131192,50000,2350380587006576
1,3321,137593,50000,7177482898092568
1,3325,127285,50000,7958511693266208
1,3365,132756,50000,4471958016361212
1,3262,130277,50000,1147329732331279
1,3254,134832,50000,-2155329005171182
1,3279,143293,50000,-8447169175015417
1,3274,125555,50000,-5497545259823608
1,3355,128253,50000,-7899365274185771
1,3303,131512,50000,4748943503606628
1,3287,134184,50000,7342415881976316
1,3296,134912,50000,-6071735574713156
1,3307,133777,50000,-1495363187494811
1,3379,131866,50000,8592176105492747
1,3332,135975,50000,4503979824923899
1,3361,129581,50000,-6346896539336186
1,4057,133138,50000,8821024830553009
1,3341,131203,50000,-4182899754145442
1,3324,140990,50000,8805591580554462
1,3288,137285,50000,7415673718636890
1,3352,130298,50000,-2086617711006911
1,3408,129352,50000,-90541652026140
1,3439,141194,50000,-8169420700424723
1,3268,134361,50000,-447315620496004
1,3283,133796,50000,2928523406538507
1,3404,142077,50000,-6801073321053768
1,3342,144197,50000,-489972266478997
1,3466,131076,50000,2466438070253223
1,3922,140593,50000,2218303247625620
1,3290,126863,50000,-8809114612929518
1,3314,132242,50000,4303229189805070
1,3624,151082,50000,3906541060234888
1,3313,130981,50000,2218245500542456
1,3326,126513,50000,-5796869503683882
1,3490,129057,50000,7519888629408203
1,3286,124363,50000,-6068194259478939
1,3318,136060,50000,5234172913695000
1,3314,130866,50000,7601111718686899
1,3352,127059,50000,-5937874543193380
1,3318,127197,50000,-8614319564940580
1,3271,137375,50000,6486654329722840
1,3262,127883,50000,-3262127214567840
1,3270,133085,50000,7926413599189835
1,3385,130993,50000,7063359474963226
1,3395,143218,50000,-4499894122545442
1,3328,128017,50000,5852082085212190
1,3436,124373,50000,-8227334307037928
1,3289,131283,50000,-726502442816892
1,4071,134171,50000,-249629098670783
1,3500,134810,50000,6293125570833164
1,3270,130846,50000,8964336477654689
1,3309,130992,50000,1018934214103786
1,3411,126119,50000,740138512639054
1,3331,143844,50000,-3392332397583166
1,3306,139901,50000,-4764208160058976
1,3802,129934,50000,6677463568382044
1,3330,132769,50000,2252992006848603
1,3326,137581,50000,-492077028763774
1,3637,129310,50000,7507583059201253
1,3316,132867,50000,1637575188840401
1,3341,126050,50000,717897371154635
1,3513,123966,50000,-7883374821996916
1,3275,126165,50000,-1880393498047321
1,3307,130277,50000,-8470915015936073
1,3396,129158,50000,7462358884887324
1,3314,129666,50000,7895949637050528
1,3248,130222,50000,4232843987589184
1,3620,127004,50000,-2483077901892211
1,3360,128667,50000,1679554135458997
1,3309,127229,50000,4994631029062642
1,3386,126234,50000,-1236909232547518
1,3249,124280,50000,41436339978906
1,3309,138667,50000,-4569907485143585
1,3409,143612,50000,-1258336303494981
1,3247,128975,50000,-5599140226289267
1,3283,138062,50000,2798084965869886
1,3374,132813,50000,-8372168092610381
1,3359,135820,50000,4295836766805343
1,3315,141466,50000,6803769070235614
1,3389,148585,50000,4761751061274400
1,3344,157970,50000,-906185057755348
1,3318,130854,50000,-1832935559680212
1,3414,126101,50000,-7223304758373473
1,3289,123867,50000,-3262744095959601
1,3300,124736,50000,-4267273491355260
1,3528,129281,50000,6818442941871918
1,3270,129205,50000,3133629175313391
1,3432,127187,50000,-3144372682851948
1,3367,125061,50000,-2520886185431109
1,3355,126262,50000,-7429665813110440
1,3271,125503,50000,-8514068207596295
1,3386,125810,50000,5305530501433273
1,3278,126248,50000,-8292192084785144
1,3247,121957,50000,32405546491423
1,3444,129237,50000,5952547710705867
1,3255,127025,50000,5762045041192490
1,3335,130784,50000,-7097979497467383
1,3504,136848,50000,7298927429574258
1,3292,138188,50000,-5574677945694690
1,3278,142188,50000,3887908648702611
1,3413,134488,50000,-8370241101047973
1,3276,138934,50000,20860616404624
1,3362,136229,50000,5183245323838435
1,3690,130170,50000,-6897670526605332
1,3311,125574,50000,825368616465618
1,3271,128759,50000,4333408437952623
1,3400,126015,50000,6791408127110820
1,3279,128331,50000,3310382214533948
1,3281,131537,50000,5609410294791689
1,3474,137194,50000,-5977967773933558
1,3249,126241,50000,2037764486984576
1,3273,124916,50000,-5348317795983734
1,3489,124211,50000,-3735134115741861
1,3264,126027,50000,-6712177374262549
1,3272,127783,50000,4228194754135937
1,3395,129417,50000,3434895431535025
1,3332,128289,50000,5922832660218362
1,3270,125800,50000,-6780731398248977
1,3434,130898,50000,7902174147031082
1,3326,127579,50000,-2788919429155283
1,3525,130233,50000,-3911471993437371
1,3400,130851,50000,6939531696233783
1,3320,135579,50000,3789537184731233
1,3275,132765,50000,1126258565697214
1,3840,130383,50000,-5667616620614805
1,3269,126497,50000,-614724586341669
1,3268,127082,50000,-855636530841272
1,3452,131704,50000,-6362782823347719
1,3350,132820,50000,757833702881365
1,3269,125405,50000,223200879807022
1,3586,124269,50000,-8154991741666839
1,3251,124765,50000,-8403906071544522
1,3261,130699,50000,2176463740398681
1,3467,131655,50000,5494405988656948
1,3252,131424,50000,4473753849886343
1,3271,135194,50000,2865419808705814
1,3439,142194,50000,7033454765323341
1,3280,127785,50000,6794443406033354
1,3272,129037,50000,-268368577693961
1,3406,129469,50000,6300519011200164
1,3315,129901,50000,8404768527671701
1,3293,130136,50000,-9006186064629730
1,3378,125355,50000,-7802091335255443
1,3249,122657,50000,365550999744362
1,3257,124106,50000,-4776924828231050
1,3503,130470,50000,-350550361455046
1,3255,139605,50000,-103637364271509
1,3248,126906,50000,443897614531833
1,3693,125658,50000,-7869394001279928
1,3263,134938,50000,2333865454041445
1,3299,124611,50000,-4384770492227526
1,3467,134898,50000,1426914923883502
1,3308,133367,50000,-5838717581582873
1,3322,135801,50000,6215681697975180
1,3380,129982,50000,-7370206608170926
1,3250,146847,50000,-8064632577833954
1,3250,130757,50000,-1910644520288720
1,3446,129934,50000,-3383550490272831
1,3294,132004,50000,2330752912478552
1,3321,128767,50000,-3905249578460065
1,3771,128222,50000,2697335343478183
1,3345,123615,50000,-8534621703856560
1,3278,123644,50000,-7435618423997265
1,4275,168235,50000,-5819669511314841
1,3249,138776,50000,3360139489762291
1,3438,135483,50000,914204870586504
1,3622,131744,50000,529457833715161
1,3346,136126,50000,5964215860286152
1,3270,137142,50000,-1640131747993657
1,3441,131741,50000,-4851666611526461
1,3308,135681,50000,8563393769982916
1,3271,131937,50000,-5697045911726072
1,3596,128284,50000,-5377879648864289
1,3284,129267,50000,-7568791940796217
1,3780,133024,50000,4878552507389724
1,3601,129991,50000,-3878700664279302
1,3307,126405,50000,-4951164794911802
1,3289,136072,50000,-8113947506862036
1,3579,134599,50000,-2836828200690437
1,3363,135496,50000,8598656419049430
1,3281,138630,50000,7119525143251221
1,3642,130774,50000,-7105398561187954
1,3339,132975,50000,-7804413515552727
1,3349,138200,50000,-6188870402183016
1,3632,129614,50000,-6624192656657925
1,3250,130907,50000,6247496178984041
1,3298,136619,50000,8648796108730333
1,3576,129211,50000,-4945723309058744
1,3315,140023,50000,8004688172873409
1,3288,131172,50000,4896307208564670
1,3451,126883,50000,-2340359670779972
1,3322,130889,50000,2091194238055645
1,3393,130903,50000,2378576025841297
1,3414,124727,50000,-6177434199949845
1,3301,122766,50000,133494044847809
1,3255,125149,50000,-5468377971579521
1,3414,130534,50000,3182567883899394
1,3354,125730,50000,-5105720439505639
1,3270,135071,50000,4957388866193824
1,3451,127975,50000,-4735475802159488
1,3308,129236,50000,511933237374989
1,3299,127529,50000,4085740906386658
1,3381,129586,50000,7822560226212792
1,3294,127651,50000,-7484968954840113
1,3350,134243,50000,8854872924120428
1,4580,130124,50000,2198239732259520
1,3256,127260,50000,-3258404770765908
1,3311,127879,50000,-5098232315366627
1,3720,130375,50000,7678349798628223
1,3249,128019,50000,-1782055003813760
1,3299,131592,50000,-7585324101342292
1,3437,136757,50000,2998407404409070
1,3305,136609,50000,6385149064938606
1,3378,159643,50000,-5860422144918544
1,3638,128614,50000,-2864163785051496
1,3269,132450,50000,5025609888509410
1,3481,136644,50000,6418298253372956
1,3475,128672,50000,-2798491397710884
1,3303,129947,50000,-7658667019958290
1,3292,126193,50000,158227159029288
1,3474,132814,50000,3847447588635237
1,3369,138005,50000,2114932352633922
1,3320,135621,50000,627041287734092
1,3407,184683,50000,2030663788087108
1,3390,185608,50000,6464862373091924
1,3375,185873,50000,-4225319439462996
1,3691,133249,50000,2187847478461848
1,3316,129613,50000,1069702909964319
1,3365,132509,50000,-4507110847481252
1,3455,131840,50000,1914904316503918
1,3269,128357,50000,5516668689522117
1,3401,127436,50000,-4778905915703619
1,3657,139349,50000,2696226711024662
1,3305,137283,50000,5442692156972350
1,3274,134764,50000,-8049133572551425
1,3247,140578,50000,6728056212404915
1,3269,124555,50000,-2733600615169803
1,3271,123669,50000,-7582001276792204
1,3249,133690,50000,7112274542755017
1,3248,137715,50000,4823793674357729
1,3301,135397,50000,-5105920780640222
1,3269,131293,50000,-1636882111813813
1,3269,132638,50000,3154362923959728
1,3249,124049,50000,-1577069069903935
1,3495,124751,50000,6639751149358182
1,3384,139160,50000,6322843117963594
1,3249,133794,50000,8028268200425415
1,3460,136347,50000,-3779407684573375
1,3339,124410,50000,939708932899392
1,3776,133066,50000,-1975166065393554
1,3386,126018,50000,8765941194675248
1,3247,129309,50000,-2483004410183846
1,3270,135979,50000,8208043312740935
1,3292,132469,50000,2818214923635350
1,3798,153095,50000,3963148518411459
1,3292,132095,50000,8816027269574287
1,3247,126759,50000,-4807926620895820
1,3314,126710,50000,-1256664706895623
1,3268,125722,50000,-8816815330890875
1,3314,129040,50000,7289765027210578
1,3292,133377,50000,1151294549483460
1,3292,128928,50000,-8683623762596460
1,3291,128086,50000,-4298713201389495
1,3294,130576,50000,6070066116420875
1,3296,123885,50000,-3747793373691964
1,3387,136671,50000,-374355649375839
1,3269,124005,50000,-1399589782437927
1,3269,144339,50000,3627631412088675
1,3361,130520,50000,5465169729240103
1,3285,133508,50000,6923666982613922
1,3247,129208,50000,-6740096833074937
1,3272,131995,50000,3394500955656471
1,3289,130284,50000,-6791813415737037
1,3270,146301,50000,-6902387453888596
1,3281,132043,50000,-5999463956592933
1,3343,135780,50000,-5659475660735007
1,3370,154138,50000,-419932851444566
1,3251,130250,50000,3046826803225235
1,3340,124264,50000,-5104191935272064
1,3276,128638,50000,2910909042551336
1,3487,137184,50000,8175619237778330
1,3351,137171,50000,-3133453375820588
1,3281,133456,50000,5139440823695939
1,3297,129842,50000,5686939648532822
1,3273,130629,50000,-3787493041805233
1,3315,131944,50000,-7371987066883361
1,3272,129077,50000,-5890990230412343
1,3291,134506,50000,7180924944553812
1,3251,133313,50000,7014426220039622
1,3612,137168,50000,8787170839736752
1,3411,141941,50000,2477612665794811
1,3286,123943,50000,2772436025470
1,3247,130522,50000,-4945745543951142
1,3270,128134,50000,4020882620171444
