runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,3605,78317,50000,277190299669941
1,3572,83195,50000,5679982361339118
1,3300,81054,50000,4210168672335263
1,3544,80194,50000,1718901594540060
1,3354,80682,50000,7548784983232092
1,3305,88250,50000,5452262017207155
1,3496,77966,50000,297755986796269
1,3277,81792,50000,-5921851317563386
1,3278,80203,50000,4910168230206468
1,3432,85432,50000,-2338926369889607
1,3271,83666,50000,-6294710498316197
1,3441,82360,50000,7886133481247411
1,3274,84779,50000,5472601401759971
1,3258,88119,50000,-4676935772465745
1,3304,89492,50000,4130034886004629
1,3538,80642,50000,3893441572253522
1,3276,80750,50000,2569124422347274
1,3329,83679,50000,-1064800398627288
1,3666,88406,50000,-8548187255865830
1,3366,85679,50000,211594752836292
1,3275,91063,50000,-3745626680250340
1,3386,84695,50000,-6307972110954825
1,3308,83978,50000,1720227460621532
1,4008,83095,50000,3045168513927949
1,3547,87766,50000,-2699536843972109
1,3335,83559,50000,-4953673992265767
1,3699,82026,50000,-2646224461572964
1,3827,82201,50000,-3390708692648835
1,3367,80350,50000,7862126040868156
1,3387,82713,50000,-2383254261103634
1,3767,80440,50000,526715108805841
1,3382,81387,50000,8298372078834652
1,3350,80237,50000,7579366233806116
1,3446,81829,50000,-5550396401496217
1,3306,80216,50000,1859581182000212
1,3354,82134,50000,-1656254874980834
1,3452,82297,50000,-1813501243157005
1,3931,100814,50000,6353988411309579
1,3413,101166,50000,-894762616026802
1,3399,76704,50000,593024155752797
1,3280,79486,50000,6052245471522169
1,3608,81959,50000,-5038782998339674
1,3851,80957,50000,-2182451221509367
1,3271,79880,50000,-4250256703292595
1,3270,80286,50000,-4560979483729292
1,3421,79101,50000,3992762577015362
1,3278,83488,50000,-6740470105161047
1,3251,78858,50000,-8706753398303334
1,3680,101343,50000,-947934093447444
1,3254,80225,50000,-4042158593638188
1,3250,86356,50000,6720372365572048
1,3414,78452,50000,2634450072810463
1,3295,80324,50000,-5416206689988270
1,3340,80769,50000,4179677406797861
1,3537,79840,50000,858613735857260
1,3276,80100,50000,3410335973160352
1,3323,98544,50000,1286179803619465
1,3465,99078,50000,-7966504626683480
1,3272,84498,50000,1437605115222011
1,3261,85768,50000,6267149134948620
1,4242,85410,50000,3234891770301660
1,3249,81286,50000,1134808900270684
1,3773,83000,50000,4699575178798426
1,3446,78990,50000,40201585398185
1,3272,80438,50000,1559352862321998
1,3274,79031,50000,7174150570223413
1,3384,80276,50000,-4617202286049169
1,3307,82595,50000,-2911780239830850
1,3316,82275,50000,4923264651475271
1,3411,80217,50000,7451697449781050
1,3306,83487,50000,-6903906063493151
1,3336,79093,50000,3272073782282167
1,3518,85413,50000,5613232092221943
1,3542,88624,50000,-1663854872979224
1,3318,85343,50000,4940369828763183
1,3392,84475,50000,8348548019958770
1,3303,82144,50000,7129157486413019
1,3338,84104,50000,663218065545560
1,3405,82634,50000,-7253691691236428
1,3317,82245,50000,-4672579371362003
1,3290,81107,50000,-3791003295633769
1,3431,81234,50000,5417195496791699
1,3312,82451,50000,1492019186911465
1,3306,81258,50000,1544510242178948
1,3421,82590,50000,6693698758380609
1,3323,86396,50000,7746524449385722
1,3269,80372,50000,7053447966257552
1,3470,88571,50000,-2706076217867744
1,3318,84289,50000,469011260897097
1,3328,83945,50000,1712955610943719
1,3705,83628,50000,8887207670233050
1,3520,86640,50000,-2142439183248326
1,3379,83385,50000,-4090035008151014
1,3458,80374,50000,-50996279842344
1,3332,79861,50000,-4121339148806525
1,3317,79393,50000,191200238839083
