runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
5,3275,21469,250000,869133469
5,3247,21619,250000,2037762753
5,3276,21490,250000,790405190
5,3298,21462,250000,953853791
5,3348,21566,250000,3287780032
5,3270,21331,250000,3128829276
5,3277,21184,250000,1351806733
5,3379,21468,250000,3510116779
5,3274,21360,250000,697639358
5,3273,21290,250000,3135616645
5,3249,21352,250000,2558527982
5,3367,21439,250000,3710441553
5,3276,21316,250000,3509073192
5,3248,21586,250000,3578708744
5,3280,21825,250000,437778523
5,3360,21354,250000,3454745197
5,3358,21319,250000,3129921014
5,3292,21793,250000,3404407424
5,3321,22813,250000,2960264122
5,3257,21364,250000,2089073690
5,3293,21430,250000,1610684229
5,3368,21314,250000,1345543228
5,3302,21430,250000,414207478
5,3272,21656,250000,2376633734
5,3277,22865,250000,2345942835
5,3349,21499,250000,116476776
5,3291,21668,250000,3566334172
5,3316,21459,250000,1758716609
5,3247,21529,250000,713423382
5,3291,21483,250000,3240082762
5,3280,21712,250000,2378426401
5,3249,21500,250000,1536752912
5,3269,21378,250000,3411161964
5,3383,21359,250000,3253719251
6,3272,21138,250000,3811069280
6,3268,21079,250000,649250113
6,3247,21314,250000,1403605856
6,3266,21147,250000,1966653858
6,3269,21387,250000,995570014
6,3245,21119,250000,2533255979
6,3270,21388,250000,1324766885
6,3268,21727,250000,3235907841
6,3251,21244,250000,2710706645
6,3266,21495,250000,2707734244
6,3271,21245,250000,1609770147
6,3245,21477,250000,1098221392
6,3273,21273,250000,3130964961
6,3273,21258,250000,3742842867
6,3245,21194,250000,169470001
6,3266,22101,250000,2393341949
6,3262,21999,250000,786997368
6,3244,22613,250000,696158272
6,3266,22046,250000,26838088
6,3266,22068,250000,2378007785
6,3244,22139,250000,2233783438
6,3268,21887,250000,1432771880
6,3265,21213,250000,3765323060
6,3245,21154,250000,2061762726
6,3267,21224,250000,1156248057
6,3268,21170,250000,2696973908
6,3271,21173,250000,4058761658
6,3270,21520,250000,590864077
6,3265,21218,250000,211729421
6,3245,21265,250000,3720266576
6,3267,21122,250000,79724462
6,3269,21180,250000,2780758666
6,3246,21125,250000,3699362000
6,3272,21123,250000,1827395474
6,3269,21166,250000,316093122
6,3245,21412,250000,2794775245
6,3268,21141,250000,4155554308
6,3270,21167,250000,3378988511
6,3245,21191,250000,3448933927
6,3277,21149,250000,457610012
6,3274,21056,250000,3498772044
6,3245,21213,250000,2144081277
6,3271,21236,250000,591754246
6,3269,21257,250000,2148193034
6,3246,21302,250000,1559639922
6,3273,21078,250000,1477380479
6,3273,21127,250000,3675339692
6,3265,21442,250000,2088089203
6,3338,21523,250000,2626886724
6,3272,21320,250000,172734850
6,3245,21253,250000,340158686
6,3271,21102,250000,1605000789
6,3269,21148,250000,46133831
6,3261,21248,250000,4250173914
6,3268,21210,250000,2504796106
6,3266,21081,250000,1527384822
6,3257,21219,250000,537253926
6,3270,21387,250000,2269056212
6,3265,21106,250000,3931078646
6,3245,21183,250000,2517144759
6,3268,21394,250000,2298340974
6,3272,21093,250000,828055296
6,3258,21184,250000,1724874636
6,3269,21224,250000,3349351964
6,3273,21030,250000,2229398222
6,3244,21166,250000,3101461827
6,3269,21237,250000,1453651950
6,3272,21192,250000,38395024
6,3245,21053,250000,2638860988
6,3268,21263,250000,1868565888
6,3276,21299,250000,4276127084
6,3248,21216,250000,2543860980
6,3270,21305,250000,2581402073
6,3276,21086,250000,2304536743
6,3245,21352,250000,472110369
6,3276,21052,250000,3350358619
6,3273,21625,250000,3774912782
6,3245,21435,250000,3573013704
6,3269,21167,250000,3358503330
6,3275,21218,250000,3140557956
6,3275,22648,250000,569437466
6,3283,21290,250000,3425026999
6,3269,21242,250000,469073412
6,3245,21221,250000,3834384869
6,3278,23123,250000,3706753507
6,3268,21313,250000,3394766977
6,3245,21204,250000,279498590
6,3295,21138,250000,2618009760
6,3282,23553,250000,3724420228
6,3248,23813,250000,2916997209
6,3271,24845,250000,455474661
6,3288,23731,250000,2352898306
6,3260,25992,250000,3858722146
6,3287,22703,250000,2745756232
6,3270,22393,250000,2008585213
6,3254,22611,250000,333263278
6,3265,23673,250000,1958494796
6,3275,22793,250000,1000939020
6,3244,23817,250000,952997214
6,3270,25711,250000,2370802807
7,3922,26279,250000,1207029504
7,3757,27362,250000,300933615
7,3949,25580,250000,669459036
7,3809,26689,250000,641208142
7,3788,26568,250000,3646722142
7,3868,28296,250000,2381402054
7,3658,26481,250000,2532534623
7,3919,25354,250000,1766057364
7,3732,27177,250000,1841938046
7,3856,26897,250000,4048187378
7,3818,27429,250000,1146189848
7,3748,27419,250000,3303911391
7,3757,28298,250000,1095531147
7,3917,26667,250000,500840919
7,3929,27200,250000,1349832748
7,3690,28821,250000,1032575099
7,3698,29999,250000,1702317181
7,3864,25863,250000,2076571843
7,4000,28750,250000,1404967621
7,3791,28192,250000,1004829316
7,3992,29219,250000,1391561404
7,3851,26663,250000,3203889632
7,3836,26203,250000,2729708977
7,3965,29064,250000,3209114291
7,3978,28273,250000,115589601
7,3778,31897,250000,3490788476
7,3690,26159,250000,2356860792
7,4109,26838,250000,1267577504
7,3759,27819,250000,2772342485
7,3883,31729,250000,2721990185
7,3759,27669,250000,3882094050
7,3846,28188,250000,3802024552
7,3695,26580,250000,2264578452
7,3777,26628,250000,382861273
