runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.v.integer,param.field.integer,param.width.integer
3,3708,35129,250000,2637976091,718971193,1,2
3,3643,33846,250000,599124535,3966761816,10,7
3,3554,34769,250000,1989671794,684396058,4,6
3,3603,36084,250000,649552327,1223930280,10,12
3,3729,34416,250000,1736424600,2381466562,15,2
3,3567,32469,250000,1554433866,1435389007,6,13
3,3491,34467,250000,2565502585,2310492762,13,14
3,3771,35202,250000,1555377839,661406262,5,7
3,3792,34888,250000,1077166271,1064662979,7,9
3,3763,32734,250000,3257002553,4139787262,13,13
3,3668,33368,250000,171624025,1581393967,3,15
3,3809,35091,250000,726566184,3823207711,14,10
3,3524,31567,250000,4047679204,2353666861,14,10
3,3712,31994,250000,469480634,984188798,3,3
3,3663,32893,250000,3527394141,3112653208,11,3
3,3814,33643,250000,1939043040,2378234803,6,6
3,3559,35289,250000,1982086376,792357298,2,1
3,3699,32747,250000,3850933456,4238548678,14,4
3,3536,37030,250000,707921154,948464974,4,10
3,3577,31456,250000,2722954977,3593905016,13,4
3,3625,31898,250000,3237261015,606851054,8,4
3,3593,32465,250000,1482135431,2340609559,4,11
3,3807,34554,250000,2627264917,789471016,3,16
3,3859,36751,250000,2875533846,1538231940,8,11
3,3639,32566,250000,1400896141,1406786212,10,16
3,3900,40118,250000,2017257364,3871404415,13,3
3,3602,32004,250000,6369625,1567192113,9,2
3,3537,33123,250000,3272715332,3460217026,15,1
3,3640,34885,250000,1516455409,611018806,13,4
3,3652,33296,250000,3020532772,1960598443,12,8
3,3528,31755,250000,2065305971,1661731238,7,8
3,3510,32661,250000,2801758751,532355293,3,9
3,3709,32631,250000,20121834,3949839368,0,11
3,3606,32400,250000,972277146,3477675193,12,6
3,3717,32668,250000,3969071484,3046937613,7,12
3,3674,32191,250000,2796202664,1545272128,13,4
3,3714,43922,250000,2684597667,2736688935,6,12
3,3600,41353,250000,3639068284,68958145,10,2
3,3802,37204,250000,4104493126,1187737838,14,13
3,3650,32492,250000,2982435524,308539518,15,7
3,3591,33891,250000,3236520502,2181300486,8,13
3,3519,32306,250000,3486876110,1760587659,1,4
3,3506,35249,250000,477970678,1492858448,2,10
3,3557,31335,250000,227071953,1345341706,6,3
3,3596,31995,250000,1303999971,3021079264,13,2
3,3577,32743,250000,2000866818,3478430356,1,13
3,3675,32338,250000,407443840,1072249876,13,7
3,3561,30965,250000,754537535,670279503,2,1
3,3542,36191,250000,3796984667,2572451324,11,12
3,3592,34242,250000,439025295,1621358987,15,11
3,3474,33138,250000,2701847320,3642154475,8,9
3,3591,32792,250000,4034094258,2759913240,9,9
3,3513,31732,250000,2333134373,2471593181,14,9
3,3689,31337,250000,1354689594,2030104834,10,11
3,3652,32872,250000,2077523948,3034479211,5,5
3,3646,34393,250000,1722014065,261735125,2,5
3,3541,33308,250000,3608140811,1393550678,12,2
3,3539,33163,250000,3570454566,2985019295,4,14
3,3662,34307,250000,3045038482,3879595822,5,8
3,3552,34042,250000,1624861416,3020823590,13,1
3,3566,36619,250000,806959020,3821022656,4,5
3,3639,31711,250000,319145656,4220019271,0,12
3,3530,32187,250000,3756496695,836692923,0,9
3,3636,44722,250000,1841289697,3094174520,13,8
