runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
4,4018,32497,250000,2672736510,16
4,4075,33690,250000,2816460262,21
4,3781,33635,250000,2375642200,21
4,3982,32156,250000,2313927268,0
4,3760,34986,250000,2362674806,5
4,3974,31511,250000,7048492,12
4,4113,32652,250000,1409508003,13
4,3666,32744,250000,1021093169,17
4,3753,34966,250000,1441135776,3
4,3720,34402,250000,628238155,24
4,3672,33319,250000,1019710057,1
4,3775,33674,250000,3332428101,9
4,4217,35913,250000,1998911421,5
4,3864,32323,250000,2614913595,25
4,3687,32390,250000,2957282571,0
4,3821,33770,250000,1188090491,18
4,3752,33733,250000,65116916,15
4,4162,36402,250000,3872882780,20
4,3987,36380,250000,3076485166,26
4,3853,32468,250000,565761652,27
4,4091,33775,250000,3684426127,13
4,3823,38109,250000,3480094021,24
4,4003,34118,250000,1915570455,25
4,4052,32659,250000,196061632,2
4,3943,32912,250000,4102111777,3
4,3936,34101,250000,1572025629,3
4,4152,34197,250000,3297394322,19
4,4075,32696,250000,1461275984,8
4,3767,34634,250000,623894941,6
4,3796,35553,250000,2368847936,13
4,3949,34575,250000,1491582387,23
4,4078,36379,250000,4053172218,13
4,3859,34978,250000,2289256908,4
4,3926,34542,250000,2574107979,0
4,4025,33275,250000,2642902199,2
4,4049,34041,250000,658419066,2
4,4143,33633,250000,1975706690,21
4,3922,32524,250000,2781388204,11
4,3787,32655,250000,441394344,9
4,3806,31925,250000,3508733938,16
4,3872,31981,250000,397133922,10
4,4170,36115,250000,1040184245,23
4,4138,38135,250000,464043657,1
4,4018,33488,250000,4117945942,15
4,3814,34039,250000,3125466635,7
4,3858,33057,250000,668336796,23
4,3750,33451,250000,2378797411,3
4,3773,34735,250000,2103086190,4
4,4237,37271,250000,1102839158,10
4,4004,35984,250000,1651773946,10
4,3767,31138,250000,717342146,4
4,4154,36166,250000,2045728643,18
4,3901,31897,250000,1067571315,25
4,3992,32256,250000,965789134,9
4,4105,33155,250000,2193458805,21
4,3790,33167,250000,3278429931,3
4,3756,32500,250000,3076335550,27
4,4032,31095,250000,2965075770,29
4,4006,33150,250000,1507436160,18
4,3760,32389,250000,3592989306,16
4,3866,34097,250000,3083452554,15
4,3793,31831,250000,1798304781,17
4,3963,32262,250000,1101726800,19
4,3885,33092,250000,1278320320,11
4,3837,31660,250000,653542196,2
4,3808,33301,250000,2931240003,13
4,3863,34332,250000,233668280,21
4,3947,33967,250000,3659521840,9
4,3752,33756,250000,2763527897,7
4,4317,32802,250000,4132375203,24
4,3911,33021,250000,3354238537,28
4,3865,32713,250000,2824094813,21
4,3775,32520,250000,3029396908,27
4,3814,32388,250000,428368243,14
4,4226,33078,250000,605149020,20
4,4069,32290,250000,3735077676,2
4,4096,32352,250000,1331851495,5
4,3806,32765,250000,2892993237,0
4,4353,33567,250000,2917535542,27
4,3717,32419,250000,428832238,18
4,4086,32246,250000,4016664970,0
4,4229,33007,250000,2479473429,18
4,4160,33801,250000,2078993315,26
4,3948,35323,250000,3019727312,25
4,4225,33498,250000,3022208264,17
4,4069,35251,250000,2587370890,24
4,3814,32815,250000,3424974131,13
4,4247,32677,250000,2956442176,2
4,3820,33888,250000,2196249002,31
4,3803,34015,250000,2694216879,16
4,3926,34764,250000,556271793,2
4,3908,33066,250000,4254879036,11
4,3873,32986,250000,1023054792,16
4,3807,32593,250000,3675441019,30
4,3750,32365,250000,4155314690,13
4,3997,33021,250000,103493243,31
4,4003,32131,250000,2611602700,26
4,3801,32349,250000,350686193,26
4,3780,34584,250000,198279530,1
5,3248,22443,250000,3483157098,10
5,3282,22538,250000,211935238,3
5,3267,22378,250000,1033711104,12
5,3250,22487,250000,3891208733,11
5,3275,22537,250000,484451608,25
5,3292,22395,250000,2153357717,18
5,3249,22593,250000,2627411536,20
5,3274,22420,250000,1903531357,9
5,3277,22570,250000,1283203583,12
5,3279,23608,250000,84761645,23
5,3269,22461,250000,3659325369,25
5,3270,22332,250000,1280795207,9
5,3250,22513,250000,983544067,18
5,3291,22653,250000,3173658957,13
5,3277,22421,250000,4213320498,29
5,3248,23921,250000,1841882140,16
5,3313,22664,250000,959137336,21
5,3281,22407,250000,3734241142,22
5,3253,22618,250000,2744116587,3
5,3417,22722,250000,2358239681,26
5,3274,22530,250000,3651257818,20
5,3255,22602,250000,3187246090,6
5,3281,22491,250000,1897974765,30
5,3294,22767,250000,2737403622,22
5,3255,22801,250000,2896475110,14
5,3278,22743,250000,4053315123,6
5,3274,22402,250000,2266487937,13
5,3248,22525,250000,4232246048,4
5,3268,22544,250000,349773987,3
5,3380,22405,250000,457629467,6
5,3250,22553,250000,306229406,22
5,3371,22522,250000,2639223030,17
5,3300,22762,250000,1861981194,29
5,3261,22603,250000,455730681,11
5,3356,22496,250000,2185095350,30
5,3278,22476,250000,765574142,22
5,3244,22594,250000,410500097,27
5,3358,22678,250000,1585865210,26
5,3295,22401,250000,2116845789,31
5,3280,22689,250000,2332117397,12
5,3369,23495,250000,1968521738,28
5,3371,22551,250000,2260016802,0
5,3251,22947,250000,415281196,27
5,3376,22791,250000,4070852411,19
5,3280,22618,250000,3143805630,17
5,3263,22566,250000,2324992070,4
5,3308,22773,250000,592184472,28
5,3301,22423,250000,2059233148,15
5,3247,22398,250000,1768368024,14
5,3297,22598,250000,2063741229,17
5,3285,22448,250000,2444146722,6
5,3268,22770,250000,776730474,23
5,3276,22676,250000,3016507378,10
5,3293,22574,250000,1615639784,5
5,3251,22959,250000,353110099,7
5,3410,22553,250000,3132225168,17
5,3328,22612,250000,821433157,22
5,3324,22750,250000,1783170296,1
5,3273,22563,250000,3609493705,15
5,3293,22558,250000,2059267062,15
