runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
5,4011,33571,250000,3676452646,25
5,3919,26527,250000,4072931615,18
5,4103,32209,250000,2080377538,26
5,3941,27759,250000,2541221886,16
5,3952,33456,250000,620621773,18
5,4029,27160,250000,244164894,20
5,4152,27301,250000,3776482923,25
5,4036,27666,250000,897544233,10
5,4041,28177,250000,911486877,5
5,3969,28993,250000,1008490215,10
5,4016,27444,250000,794153331,10
5,3923,27407,250000,243190897,7
5,4146,29186,250000,19351555,22
5,3945,28504,250000,1390445307,8
5,4099,29193,250000,3322359011,19
5,3974,28329,250000,1832950988,7
5,4006,34636,250000,258700618,31
5,3922,34517,250000,204303526,2
5,4007,34670,250000,2640161708,9
5,4001,32758,250000,1760297145,23
5,4054,32884,250000,926942855,18
5,4004,34690,250000,3145965631,15
5,3951,26932,250000,3227043069,13
5,4038,28472,250000,1390723690,1
5,4042,27583,250000,1449534780,30
5,3949,28607,250000,3634258018,10
5,4039,31283,250000,3861613630,27
5,4115,28562,250000,1811798927,0
5,4007,33470,250000,2971404604,25
5,4098,28153,250000,348028959,18
5,4006,28052,250000,2506668773,1
5,4177,30816,250000,992867264,14
5,4260,28694,250000,34169242,15
5,3943,30858,250000,2696584019,26
5,4048,27777,250000,2081110337,0
5,3952,27434,250000,2570790611,9
5,3988,30422,250000,2172266659,18
5,3922,29166,250000,3566537580,27
5,4156,28461,250000,938154132,10
5,4074,28437,250000,1175483176,0
5,3982,29701,250000,2518695432,24
5,4021,29260,250000,2023423716,2
5,4408,29359,250000,2592761212,14
5,3953,28869,250000,2076888139,30
5,4112,30662,250000,754916877,0
5,4068,30149,250000,912313923,21
5,3997,27647,250000,2296637912,28
5,3987,28629,250000,1566604927,12
5,4043,27245,250000,4035899298,9
5,4023,29359,250000,1326263339,0
5,4191,27525,250000,2022545268,24
5,3941,28744,250000,669134938,17
5,3927,30099,250000,1139363390,4
5,4057,28414,250000,134645995,15
5,3960,27491,250000,4235378080,31
5,3928,28138,250000,1316199976,8
5,4048,28449,250000,444204862,9
5,4095,29901,250000,234491940,30
5,3950,29425,250000,44960034,21
5,4069,29752,250000,395103947,28
5,3958,29606,250000,1498467280,9
5,4033,28005,250000,209115660,0
5,4091,29266,250000,4286317193,30
5,4024,27005,250000,567898747,6
5,3957,34873,250000,754857381,17
5,3953,29021,250000,4213399268,29
5,4056,28624,250000,787748187,11
5,3960,31785,250000,193219690,10
5,4079,27908,250000,3387459486,7
5,3986,34541,250000,1796421769,6
5,3929,26287,250000,2119105062,4
5,3921,26957,250000,3327289652,2
5,4133,30192,250000,695052264,28
5,3943,30338,250000,4273698055,16
5,4052,26593,250000,2739333369,13
5,3966,27497,250000,4268673923,19
5,3971,27365,250000,2024044949,28
5,4076,32028,250000,1981681817,30
5,4048,32246,250000,983674947,12
5,4093,30682,250000,2408254032,11
5,3994,27967,250000,1099982982,31
5,4028,28417,250000,1398334682,9
5,3948,29422,250000,1499087860,9
5,3933,28054,250000,3120338268,30
5,4058,28537,250000,1036973295,0
5,4233,30376,250000,1287691866,1
5,4645,29537,250000,3556091316,16
5,4141,27393,250000,1957171111,8
5,4296,28281,250000,265695238,8
5,4020,33748,250000,2526133712,13
5,3964,34018,250000,1125377874,22
5,3930,30455,250000,410961233,9
5,4237,32486,250000,1973119488,29
6,3657,25829,250000,2603648829,12
6,3648,27486,250000,747601959,27
6,3711,25957,250000,305955264,6
6,3629,25957,250000,3508380726,0
6,3722,25582,250000,4023938904,28
6,3451,24522,250000,942381921,13
6,3634,25037,250000,3362350904,3
6,3575,25493,250000,1185289478,15
6,3892,25616,250000,2748421841,14
6,3695,25578,250000,1325097114,23
6,4135,28018,250000,894548620,27
6,3862,24676,250000,2726976793,21
6,3710,25242,250000,1129750630,26
6,3577,27729,250000,81227430,1
6,3746,25352,250000,2096547923,12
6,3533,24971,250000,869816277,29
6,3548,26691,250000,2790939088,28
6,3558,25139,250000,1089084561,1
6,3637,25797,250000,3793226546,9
6,3600,25346,250000,3697684734,14
6,3789,31632,250000,2881165146,5
6,3690,35121,250000,2273973633,24
6,3660,27263,250000,3513301223,2
6,3651,25583,250000,1054293439,6
6,3527,23720,250000,3181508543,20
6,3572,28754,250000,2141279669,20
6,3531,26053,250000,672856461,11
6,3595,25426,250000,1363873908,19
6,3567,29520,250000,4235141786,24
6,3698,27923,250000,2463594320,10
6,3557,28770,250000,2969015163,2
6,3722,31473,250000,506904082,4
6,3777,27727,250000,4203840073,6
6,3606,28665,250000,4030381267,5
6,3528,23891,250000,3736191970,0
6,3484,23638,250000,4190448531,25
6,3560,26584,250000,1683703484,27
6,3512,26274,250000,1829581949,28
6,3609,24812,250000,832545716,12
6,3657,25546,250000,2574876664,2
6,3583,28844,250000,1489918482,20
6,3558,26746,250000,855490706,3
6,3537,26694,250000,1199081779,3
6,3637,27295,250000,2017805987,31
6,3480,24951,250000,1240872946,8
6,3619,25478,250000,2300335117,14
6,3425,27029,250000,3940893116,24
6,3577,24835,250000,3992208877,31
6,3560,25861,250000,706152312,13
6,3637,30505,250000,2099067966,7
6,3550,29352,250000,979909709,15
6,3519,23905,250000,1922293311,7
6,3579,30308,250000,516751189,23
6,3464,29465,250000,2316830588,30
6,3446,29053,250000,659042034,10
6,3509,28203,250000,691177224,19
6,3651,28525,250000,2934316978,23
6,3470,25393,250000,3824373324,29
6,3691,27907,250000,284091881,28
6,3552,27334,250000,3246352466,28
6,3502,28700,250000,1189607710,26
6,3499,26775,250000,751021359,8
6,3711,26152,250000,1628053921,31
6,3604,25079,250000,102720237,0
6,3548,26666,250000,1556402789,14
6,3848,30794,250000,3100744752,16
6,3673,28395,250000,2663316527,5
6,3566,27149,250000,253940103,4
6,3553,25654,250000,2386993616,2
6,3606,29232,250000,1663150885,23
6,3639,26048,250000,248127970,30
6,3878,26919,250000,1250963656,17
6,3631,28061,250000,4135042642,6
6,3650,29442,250000,940626690,10
6,3636,27879,250000,3113665225,31
6,3759,27972,250000,3770855698,9
6,3759,27262,250000,3451867508,12
6,3573,25834,250000,3149361588,4
6,3780,25413,250000,969430587,21
6,3811,25799,250000,1989699984,17
6,3930,30217,250000,2107081774,17
6,3688,31191,250000,3487716785,31
6,3848,32336,250000,974308891,1
6,3641,29372,250000,576429750,25
6,3790,30606,250000,1625882127,2
6,3659,29067,250000,1542271353,13
6,3587,25934,250000,3190542606,18
6,3636,25406,250000,2695977566,4
6,3612,28124,250000,3437635008,18
6,3541,28403,250000,4204300917,5
6,3599,23833,250000,739763543,28
6,3684,27270,250000,2983994560,25
6,3625,30853,250000,1667430380,7
6,3612,27646,250000,4018630564,31
6,3552,28142,250000,1251772617,17
6,3623,26713,250000,4196597475,19
6,3526,27750,250000,1763500984,26
6,3672,26182,250000,1705467534,11
6,3674,24292,250000,3268873382,9
6,3597,27062,250000,3527806424,29
7,3533,28204,250000,3309366815,8
7,3469,24949,250000,390058328,28
7,3761,32625,250000,908611083,17
7,3612,28799,250000,710396744,10
7,3650,27847,250000,3130080561,0
7,3750,27138,250000,2957010990,10
7,3689,31469,250000,3694521845,25
7,3645,34287,250000,4196824366,8
7,3543,24018,250000,3055008022,29
7,3566,24227,250000,3375220748,20
7,3514,24570,250000,1828771430,16
7,3564,25696,250000,3248572024,6
7,3475,28150,250000,754151539,2
7,3558,24727,250000,3092862162,2
7,3466,24041,250000,1574482839,25
7,3501,24458,250000,1133979663,24
7,3642,27155,250000,1074264405,25
7,3528,24356,250000,227681777,2
7,3480,25890,250000,1349530990,18
7,3476,23963,250000,3972639738,20
7,3528,26206,250000,2723679370,18
7,3568,24109,250000,4157221306,13
7,3766,25758,250000,100582961,18
7,3517,26911,250000,399031854,13
7,3635,25260,250000,846880079,12
7,3491,24977,250000,157734738,12
7,3576,23722,250000,3788510755,29
7,3661,25489,250000,234694509,15
7,3655,28128,250000,2489789793,13
7,3520,25150,250000,1632263134,24
7,3521,24451,250000,4079617456,3
7,3565,24226,250000,4263653257,8
7,3560,27393,250000,631375084,25
7,3741,25598,250000,2049847887,16
7,3644,28491,250000,2928896785,1
7,3595,24974,250000,3681493976,24
7,3576,25375,250000,1706875809,24
7,3488,26558,250000,1610979175,3
7,3654,26212,250000,2812699419,30
7,3552,26147,250000,619664686,30
7,3650,24166,250000,1434675936,3
7,3502,23743,250000,1110875648,12
7,3512,24134,250000,1286064531,25
7,3503,23830,250000,945572727,8
7,3519,24116,250000,826663079,11
7,3614,26095,250000,3234038025,30
7,3566,25945,250000,728592996,5
7,3662,24703,250000,3704651985,28
7,3585,26307,250000,3036976396,3
7,3485,25750,250000,1542043777,17
7,3499,24206,250000,3139444863,3
7,3541,26910,250000,960642735,0
7,3668,26894,250000,408026044,25
7,3648,27330,250000,761843340,5
7,3642,27468,250000,1230725606,15
7,3497,26917,250000,4232179333,9
7,3664,26039,250000,1120111477,20
7,3701,27129,250000,2844009320,13
7,3768,26566,250000,104511401,3
7,3672,24796,250000,4223964204,20
7,3679,33668,250000,1704215936,18
7,3653,26488,250000,2449777154,9
7,3607,23816,250000,4144954730,18
7,3524,25613,250000,2793759729,25
7,3584,25082,250000,2105473689,19
7,3558,24221,250000,2722258012,23
7,3594,24427,250000,2907390604,22
7,3646,24242,250000,49813756,0
7,3577,24353,250000,1977209019,9
7,3625,24552,250000,673706133,28
7,4090,25734,250000,626938361,10
7,3697,28860,250000,1233435050,31
7,3591,27008,250000,3795604033,5
7,3667,24631,250000,1015523837,16
7,3567,28851,250000,1863646452,8
7,3821,29334,250000,3346049812,8
7,3751,26476,250000,4173490668,22
7,3700,29976,250000,8170662,18
7,3748,24413,250000,3100843573,18
7,3503,29456,250000,342773517,19
7,3651,25142,250000,1691455348,20
7,3618,27238,250000,4225007968,1
7,3465,26917,250000,4246369330,21
7,3672,26930,250000,3384069387,30
7,3465,26033,250000,1711967344,22
7,3840,24476,250000,1512480693,5
7,3644,24370,250000,1714813493,9
7,3507,26914,250000,206974829,5
7,3461,24000,250000,871378493,15
7,3512,24191,250000,1014060417,4
7,3676,26132,250000,459255147,14
7,3578,25390,250000,1499563131,1
7,3552,23797,250000,2905372526,15
7,3498,24171,250000,1134008641,31
