runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
4,3748,26495,250000,977080743,5
4,3921,29000,250000,2432729956,19
4,3877,28505,250000,807750640,24
4,3862,30473,250000,106858292,28
4,3784,27997,250000,182538181,23
4,3819,29538,250000,123302742,3
4,3806,30574,250000,2895188612,1
4,3873,30212,250000,1359179179,3
4,3701,27576,250000,468484677,11
4,3826,28752,250000,3433631542,25
4,4078,31457,250000,3497594410,26
4,3856,30241,250000,91345713,4
4,4038,27864,250000,447269469,9
4,3854,29292,250000,949618170,0
4,3830,29180,250000,3382456873,1
4,3888,30883,250000,3364944311,8
4,3938,28002,250000,2099664837,25
5,4153,28790,250000,3599271117,26
5,4130,29303,250000,3396161114,6
5,3932,29421,250000,3171888476,0
5,4271,28589,250000,2867774017,0
5,4035,30922,250000,1360998161,12
5,4037,37638,250000,2012731014,3
5,4330,29326,250000,2759570723,10
5,4058,33511,250000,2570630175,4
5,4053,32706,250000,1380423414,10
5,3935,28394,250000,1064574428,2
5,3946,29761,250000,3738728986,6
5,3975,28265,250000,2357155230,18
5,4099,28670,250000,1274947695,30
5,4445,29172,250000,3692775043,8
5,4295,31299,250000,377147615,19
5,4190,28165,250000,4248143962,12
5,4108,27964,250000,3749177253,16
5,3958,28940,250000,692334137,23
5,3977,28188,250000,3540128342,25
5,4189,31420,250000,871213828,13
5,3931,28538,250000,2646636021,15
5,4141,30771,250000,2395319427,25
5,4009,29344,250000,1897141041,18
5,4214,33684,250000,1507620141,17
5,4150,27300,250000,1813640205,17
5,4332,27291,250000,59049597,0
5,4105,30206,250000,2396461342,4
5,4052,27178,250000,1256357166,22
5,3922,27623,250000,266557678,31
5,4202,27655,250000,3987129633,23
5,4115,27432,250000,3271561323,31
5,4030,28044,250000,3980751908,18
5,4212,27765,250000,3606782698,31
5,3957,28626,250000,3665246880,5
5,3968,28124,250000,43804851,9
5,3920,28888,250000,3388990466,15
5,3932,29297,250000,2065044933,19
5,4133,30551,250000,233141990,4
5,4367,32436,250000,1931276911,23
5,4034,29114,250000,1281467496,31
5,3970,29830,250000,101116002,2
5,3985,28960,250000,179423722,0
5,4067,29271,250000,912042922,8
5,3931,28453,250000,2992950456,17
5,4014,29575,250000,207538379,22
5,3917,30345,250000,1038416229,24
5,4048,28405,250000,3010060294,5
5,4114,29173,250000,1537520300,23
5,4011,28139,250000,994744017,3
5,4144,27642,250000,1934358300,22
5,4289,28399,250000,1164183086,3
5,3997,29733,250000,1127694072,9
5,3989,28429,250000,2837303005,11
5,4119,28499,250000,3033617001,30
5,4206,28358,250000,3634735313,18
5,4092,27346,250000,2350723034,8
5,4126,27842,250000,1491757118,0
5,3913,29222,250000,3756589068,10
5,3994,31213,250000,3409914979,12
5,3950,27889,250000,3837953630,15
5,4123,27987,250000,1120923751,1
5,4102,31309,250000,1609660868,31
5,4153,32456,250000,3660243370,0
5,3934,27438,250000,1671512294,13
5,4099,27735,250000,1968412498,13
5,4148,31387,250000,466153826,20
5,4125,30902,250000,1804197577,18
5,4187,30370,250000,1544427312,12
5,4120,28314,250000,2368913715,25
5,4184,28702,250000,3170729361,22
5,3944,28520,250000,3549492297,1
5,4100,27795,250000,2627915344,17
5,3940,28610,250000,1784011706,31
5,4052,28059,250000,2085141855,8
5,4138,29112,250000,3330122589,22
5,3936,30871,250000,1805799543,2
5,3914,27442,250000,2257943911,14
5,3953,28150,250000,1985365285,8
5,3957,29222,250000,3172205777,27
5,4048,28028,250000,3720460712,21
5,4158,28948,250000,4254455064,19
5,3960,32234,250000,287238750,26
5,4171,29659,250000,689182932,27
5,4024,28595,250000,3583147193,30
5,4383,35342,250000,1265360551,3
5,4175,30334,250000,64619452,11
5,4050,28400,250000,2586588783,14
5,4536,29750,250000,2610551622,18
5,4154,28951,250000,4234339612,18
5,4040,29859,250000,4193652289,16
5,4035,28365,250000,1148915177,21
5,4130,30017,250000,4023301455,11
5,3966,29391,250000,568362063,4
5,3941,35636,250000,267775590,22
5,4045,27858,250000,368689945,22
5,3956,34190,250000,2913829391,14
5,3930,27064,250000,2115370430,10
5,4027,27616,250000,2489253332,27
5,4193,27712,250000,4046787625,31
5,3921,30230,250000,3911063805,14
6,3574,27329,250000,3553658451,23
6,3721,26349,250000,725514700,1
6,3554,29020,250000,3682304941,31
6,3595,30329,250000,4251483861,21
6,3581,32145,250000,3254720264,17
6,3479,24644,250000,2675456202,12
6,3595,24314,250000,2126111261,4
6,3693,29518,250000,3692519925,29
6,3769,24744,250000,1303488469,21
6,3763,25010,250000,2024038249,14
6,3734,31822,250000,3430157401,11
