runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.r.float,param.g.float,param.b.float
1,2959,34942,50000,0.9272698970232454,0.9747874173297274,0.3396746429684313
1,2914,34884,50000,0.240380659689661,0.2612123894299346,0.6534001648101421
1,3013,34775,50000,0.8847741657845258,0.7618993143617399,0.734486187033083
1,2913,35414,50000,0.46172908345689695,0.7421863778818868,0.18341206390602277
1,2911,34828,50000,0.1685542182276053,0.7173302186730518,0.5148539305490896
1,3025,34403,50000,0.11069107464645922,0.4743684214936768,0.3052029869919556
1,2909,34593,50000,0.14222280518140246,0.7810542382911517,0.9026336020689893
1,2918,34898,50000,0.18160650607011666,0.49116156080959084,0.5417122647697672
1,3110,34486,50000,0.16659559901942528,0.7015739743006797,0.4010797561991651
1,2915,35040,50000,0.20883576845094648,0.9501918175968755,0.09146905436739185
1,2937,35508,50000,0.17515902935205127,0.2335925266964773,0.3973645552541561
1,3099,34764,50000,0.2417660766978691,0.37843808110890514,0.37277863725582794
1,2991,35003,50000,0.023358021631674847,0.13649021703584188,0.044124434090672696
1,2952,35582,50000,0.9079700517724584,0.4404463506944793,0.5763152606103605
1,3140,35045,50000,0.5609750982234939,0.40872183918297295,0.3885390922795887
1,2950,35922,50000,0.5703299749783749,0.26159349073665983,0.7150827562215741
1,2936,36101,50000,0.14735694666733617,0.9842218560414236,0.626124759347857
1,3066,35115,50000,0.21295594589744665,0.9645366093633523,0.37865340651203633
1,2991,35315,50000,0.07405059857735126,0.31377483107475435,0.8746163474529457
1,2961,35072,50000,0.8586910140789935,0.3966570261446547,0.04210693987876922
1,2916,35628,50000,0.6189542669070548,0.013446341623797943,0.11134312787598843
1,2915,35043,50000,0.8574636907159492,0.5647153163206434,0.6582142488355294
1,2915,35698,50000,0.6734529664109973,0.3749200924120555,0.7770498570736225
1,3063,34847,50000,0.5791672251360254,0.06577582268601424,0.9271525866260466
1,2911,34974,50000,0.7346366199077237,0.10119600808794578,0.36135609543309144
1,2943,39018,50000,0.735852674576868,0.309584295400425,0.09277540261436819
1,3069,40157,50000,0.7233076360004251,0.39743761556664936,0.9244628592037356
1,2926,39885,50000,0.3356811512344574,0.14534263829960276,0.7031195932630663
1,2912,40676,50000,0.135042189101351,0.4913774739767709,0.7577492951604846
1,3084,36210,50000,0.7164841307579095,0.374914073636161,0.40544437995794846
1,2916,35613,50000,0.3282953839193345,0.28238502952462485,0.7488640963116053
1,2945,34655,50000,0.6042182089498026,0.176795696488499,0.5759362036291658
