runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.minx.integer,param.miny.integer,param.maxx.integer,param.maxy.integer
3,3817,89885,50000,-7644428527356472,-3186682298049207,8139271683859360,2675478674862271
3,3794,71537,50000,-8014876069875336,-5912264188356517,1327212196376304,3926222370772046
3,3795,87515,50000,-8849588641300279,-7488474198739574,7216251447007001,6231266949841171
3,3802,86572,50000,-492470756417125,-1658683289332834,8615061200231373,8491649360251560
3,3722,82847,50000,-524389111974029,-210960809765839,5457973243395516,639038523758938
3,3714,82808,50000,-984395040471854,-3474145152081799,2756504482354287,1716028474987095
3,4355,82124,50000,-843567651244725,-4931989967654636,6492018098448410,3045091960419077
3,3628,57940,50000,-3049800468107180,-7754624249292372,976723513660344,3684651823719976
3,4402,68812,50000,-7862000388829031,-8374420562858696,5154575872597827,6049530354147715
3,3692,59915,50000,-3692668581389567,-7712222801726520,245844242944311,1047101061304953
3,3649,80813,50000,-544938822118775,-5657354104722793,5693444312976350,7216520071817980
3,4085,67310,50000,-4350429583116681,-8284425981032223,2678646973436297,7744711199060161
3,3657,71232,50000,-3240129673733788,-7577431555990893,7317108576407063,6094704069372517
3,3670,58385,50000,-3383827521461574,-8701398696782234,1827004658455798,7328419166213074
3,3701,59173,50000,-7639451852798042,-6036554213925675,5569136572711100,7167821912183420
3,3720,66209,50000,-2419755509261785,-4239119109426019,24108903228926,1941240467288237
3,3615,61122,50000,-1220942839090605,-7766540114233831,5855754206729979,7369775544249081
3,3597,60885,50000,-7991336538550245,-3262440100813234,198235070892904,3887396869101533
3,3633,61453,50000,-6284699187107879,-5611946358534092,5045100212506462,1796042420029917
3,3828,81554,50000,-6250727050047666,-2427591945831018,651918980757180,2889360520863502
3,3739,77163,50000,-4422763613107592,-8416722895079817,2056353712004688,1916807356002801
3,3598,57171,50000,-447848334123424,-3877784753636729,4784631890159528,5531817178848977
3,3628,61277,50000,-6623030636817704,-8946941018574891,5647934567799763,1532327409325945
3,3778,56981,50000,-6035813402302899,-1042508987043675,522954264981312,759931534311600
3,3670,64694,50000,-1474781335260685,-6883835533616740,8322954079370,1328620274310628
3,4116,60823,50000,-2251550596586431,-5536146259587517,6542378700182891,3460140239310320
3,3936,68854,50000,-5569609175010114,-2828561524352564,2920895522487949,320372783108361
3,3585,67163,50000,-2760735522755079,-2516640496765150,8279949626712920,3967171369876809
3,3615,58650,50000,-938518722817901,-1030840944580139,252132401680434,8959608137248207
3,3606,61210,50000,-8937606672281816,-7752246968376891,7821372315064301,4252149542924442
3,4256,67276,50000,-8862590048949158,-6066315537991955,6020690171392954,1796747487316225
3,3616,59504,50000,-5367626508475014,-5117022791238027,5594217156221021,2871335835541085
3,3839,85788,50000,-2070787903919472,-6295698730109668,3722502356002514,3270967369706799
3,3990,85578,50000,-4646036487764928,-2004043274809449,5694901279849380,2323919135745503
3,3652,89650,50000,-6194769077838581,-3259965266397448,3292870777277357,707604023881127
3,4221,86194,50000,-4943987931727424,-3517348111276960,5449312957251391,755431740926961
3,3625,60781,50000,-5532469416948678,-3038374004979569,2750830667195407,2762707288157571
3,3737,73056,50000,-6128996273503267,-3898464404562792,1407253316421465,4297297197796707
3,4252,62918,50000,-2459163504120519,-8695476285304909,999602649563423,4569941398882477
3,3926,57644,50000,-8136839053407477,-3001461060559588,2734835334274754,8285889510033537
3,3572,58949,50000,-2192644070770775,-7967462573372920,3888371266481140,7408079413270082
3,3631,60740,50000,-8709429089021954,-8141956655752759,2662249148057930,1908127732386865
3,4426,55974,50000,-8735484096447597,-8783293784884999,43512845126368,3882096388446042
3,3845,84366,50000,-4703222983486039,-4019416173294488,416768732418357,4551117645926303
3,3687,86282,50000,-1195735705767623,-3648485189508727,8218213332774487,1911581374876514
3,3665,76242,50000,-3660979292753819,-2173975152225209,3823447863866267,4001356114696933
3,3563,56869,50000,-7906966597586599,-5368939579652434,2801179171396529,6067774799718411
3,3638,58382,50000,-4326686304626898,-7551180979665220,5719019599367014,1488713099791976
3,3575,65376,50000,-2998466839856583,-4211544541089302,4253633284362240,6807898991699759
3,3616,64507,50000,-5348900537294986,-1228014047117284,1355520260262939,8593325928151782
3,3782,87092,50000,-3733782655135194,-1242672788749633,5410366617217299,3013676650256695
3,4040,85182,50000,-1963658552868345,-3915788879406115,736710726148164,686064658579294
3,3752,58866,50000,-3813432830633917,-2899090876307460,905983160046099,4419670747879817
3,3818,87852,50000,-6538384848889064,-7884380011692607,5937192210877507,6002245257945317
3,3671,71599,50000,-3511534717322363,-2144884739273352,26808057783109,7353550875339011
3,3629,59768,50000,-4861833162572667,-2271781046126191,2807364888569069,5013064741392060
3,3771,70557,50000,-8301599134309099,-7219556468591590,3241490315143873,3254178307344705
3,3672,74447,50000,-8164532171105950,-6241997198672893,2282767653639667,6717319619459883
3,3683,74272,50000,-1317766282750045,-6541523738364078,2477573333548819,8807654355019874
3,3735,70408,50000,-6340208914460662,-3004640185051236,3271225811564393,5652878917880138
3,5245,81741,50000,-7673495742163209,-8564629069938691,143627685019266,5564790546887549
3,3730,73978,50000,-2368928837747887,-1629295562943344,4685842647368430,457903271435730
3,3642,58060,50000,-6895198786283091,-1036951679985909,5809754106502767,5192762261570825
3,3767,81460,50000,-4846885781374701,-4977249241993443,4355419447547314,8105188090251445
3,3688,81430,50000,-2492844255999936,-323139669461769,237249996333888,6864912847275692
3,3736,80864,50000,-1124630936887944,-4401940099168973,7891491191670243,6106256575407032
3,3588,70560,50000,-1844897472208915,-6201089688673510,7279890740046097,3319777195034607
3,3633,60642,50000,-5090212011751306,-1051287817685203,845036802099012,6342805296959343
3,3700,74032,50000,-5599282016018713,-3342975958642242,7265782242437096,3204996415429205
3,3714,79061,50000,-629827083261593,-2006682026682143,6077140340973971,3366518574970258
3,3825,78715,50000,-2515902762122681,-832297901381276,8868444182058658,4072447714405623
3,3539,56634,50000,-7870129963883275,-1179029689208774,6832987505186797,7442230647472425
3,3629,68831,50000,-4351077047888678,-5557115671764509,8247977839488023,8750407614242169
3,3606,60954,50000,-4802326612033467,-4090961187900834,6213019616734759,1472505263077565
3,3615,63706,50000,-5576733908660012,-635042622911617,8104814405188892,2928578354114736
3,3625,61952,50000,-1732137787590720,-7059447788887653,8988366981172883,5227816581564511
3,3596,59251,50000,-8595330368815954,-6805264466633877,2812912555471740,2078497419788373
3,3880,64021,50000,-3444448330961171,-459689645815935,3011192393324208,2101986712410945
3,3716,65102,50000,-4218192035697482,-8408666856123720,3283586374945714,855092117135248
3,3688,65349,50000,-6593885343871394,-5594089702527885,1779794521068238,1393474689078497
3,3729,78711,50000,-7010393121546245,-8323789015728847,3571713881458396,848933382402474
3,3560,61740,50000,-7251786801597420,-5013931217868176,8904921798161282,8616858749658249
3,3651,61584,50000,-3980173706201790,-8220639910950316,3071337904357537,1607432960475181
3,3627,82703,50000,-5857475598086982,-2199794352687932,5964628203511419,116161231039958
3,3709,71060,50000,-1095601385179523,-1553155319326859,2950513684222797,5551266350914523
3,3638,67838,50000,-8334525850579289,-4120681614982244,1109392962446608,782017479653600
3,3633,79312,50000,-3514994595373887,-1941079995699860,1918137080299003,2679832688477761
3,3657,60366,50000,-4438143124976447,-1776182450436353,7592271198620969,4494456016593040
3,4085,63469,50000,-2385272802184330,-8901525289450997,8809139991061815,2927758368272958
3,4375,64949,50000,-956266460622356,-711001369226739,8258069633011286,801378390832401
3,3707,62436,50000,-8542831122115210,-1962803048254444,4600935375875326,863512196106123
3,3624,64372,50000,-5195335491695992,-1561045231317372,4738468889295457,8280745156289482
3,3837,63177,50000,-2376251425625133,-5067670503237028,8081272960537519,6209961967265664
3,3650,65132,50000,-39721852911534,-7908288544470794,5435073564596638,4361498016260582
3,3665,59617,50000,-4853723172844566,-6219566367325725,3940534829220827,7732279247704223
3,3767,61753,50000,-6998512665898541,-6876261745329914,6807424727147434,4022939535669510
4,3892,69622,50000,-6772113215628994,-2702917690095253,6172452816876399,4556581467674765
4,3970,67948,50000,-1962408106897263,-2150532296319493,3501253135365033,7730508624392575
4,4108,66441,50000,-811799387595411,-5627384554029342,7001444850857259,3577051107020100
4,3894,68520,50000,-2422366600838488,-3297928317219705,2388050918737288,4419085139901664
4,3884,72980,50000,-4024946966802535,-6550595620132,3964635673047958,5015813768262271
4,4087,68938,50000,-615293006563819,-4432722205287417,3966295585916764,5425915209438008
4,3891,68197,50000,-8743888924571677,-8167312399727710,2988430418123796,1603194886792647
4,3882,72265,50000,-5159426156730138,-1119383091113931,2614004857414800,308734532179462
4,4046,76246,50000,-1877257553698616,-235918495753816,1801913635872534,6241044154806506
4,4244,72097,50000,-5627113507078557,-8668683961179235,4870342004240475,5214591865699806
4,3882,71521,50000,-3736475521716339,-6510992143927307,7712168648670456,8535546405204747
4,4072,71564,50000,-677461215942565,-5489654935499242,2071953348725476,8025971882375306
4,3882,75181,50000,-4853450321024290,-1883357117174248,4871484288772575,6820158302306780
4,3882,65799,50000,-5818077853450398,-3900109878814156,8668592407731781,1982371135946175
4,4081,75202,50000,-7700818937760248,-7395365057804205,5829071619281387,2663220700774568
4,3883,66718,50000,-6413242558243767,-8337547573167180,3698577336723823,2855060116568689
4,3884,66970,50000,-6333699013516255,-2507436631888801,4328959640423461,840246188663462
4,4049,77539,50000,-2512528179709759,-2026768778070258,5048304024918869,6031278287111985
4,3882,71299,50000,-5015069150469635,-8527954278320638,3374987619222718,7949472040281190
