elapsed.ps,repeats.n,param.x.float,param.y.float
29914,100000,-7.901711348571507e+307,-1.3035497261752852e+308
34408,100000,-1.1725006187349844e+308,-1.090247215486327e+308
28794,100000,-1.0923098658357395e+308,1.5193323505332471e+308
28636,100000,-1.3710069283519847e+308,-1.4933029708405763e+308
29299,100000,-1.33978665361962e+308,1.4595642842983243e+308
34201,100000,4.742974864422612e+307,-2.2342590032244948e+307
29127,100000,-1.3021949256320602e+308,5.741156067514306e+307
28436,100000,-1.0899590628987727e+308,1.3368554201817949e+308
29064,100000,-1.3273251874705924e+308,-1.2996473398875003e+308
29902,100000,-1.2542724825493617e+308,-1.6076405860136069e+308
29916,100000,1.574832227492163e+307,-2.1486733485153395e+307
28982,100000,-2.5413951336409216e+307,-4.610188907223027e+307
28775,100000,-5.041510341662765e+307,-1.3025677692851022e+308
31809,100000,1.3599629403662368e+308,-1.6072545820201287e+308
29774,100000,-3.0752768147312765e+307,1.6139637767759033e+308
31383,100000,-1.6394903732704887e+308,-4.370952358923628e+307
28242,100000,-6.726498930198487e+307,-7.569424257331015e+307
33648,100000,-7.427709202845735e+307,-1.1458925967346054e+308
37529,100000,1.1770846713454526e+308,-1.6350195864938649e+308
30922,100000,-1.7500843043531623e+308,-5.215916087394968e+307
27995,100000,-1.842833500604677e+307,1.474561074844928e+308
31065,100000,1.0878586316667784e+308,1.4479358715041275e+308
28772,100000,4.511270185234258e+307,-9.493439313187887e+307
30219,100000,-6.252495409889357e+307,8.739844509900676e+307
32576,100000,1.3788280150243488e+308,-8.93520238500985e+307
29594,100000,2.948685978629039e+307,-1.3825455223140575e+308
32503,100000,-1.019726676014141e+307,-8.887652652377972e+307
29524,100000,5.678978330347054e+307,-5.652158496207523e+307
29416,100000,6.395004992404611e+307,-1.5303359826353017e+308
29055,100000,1.5499058347463383e+308,2.2109460121575892e+307
28966,100000,-1.0325658485334712e+308,1.1865118593718023e+307
30117,100000,8.885720754859934e+307,1.7649040790662734e+308
29591,100000,1.5333706252473277e+308,1.1283448142547729e+308
28602,100000,-3.3258590106964606e+307,1.0910503757785456e+308
29374,100000,1.2557229242624333e+308,8.217523923906209e+307
34189,100000,6.751232364005488e+306,1.7880277419335573e+308
31137,100000,-1.4965956451275675e+308,-1.5927495480826308e+308
29539,100000,3.742147087007483e+307,1.2894121368665664e+308
28462,100000,-1.049776931853159e+308,-1.4104376078601265e+308
28801,100000,-8.671041171063312e+307,-8.532413396487818e+307
33408,100000,-5.740285352092465e+307,-1.6867803360704597e+308
30378,100000,1.3066604523109206e+308,1.3923989597666872e+308
28644,100000,1.3135861647920538e+308,-1.09826840674067e+308
28307,100000,-9.903492026180165e+307,1.4706792150695453e+308
38180,100000,-2.098412881380094e+307,9.90659417483428e+307
32464,100000,1.7814305026014848e+308,-1.6023031681509951e+308
28030,100000,-1.2267503345602835e+308,-9.968002190889681e+307
28348,100000,1.5889961304673315e+308,-7.172237050263416e+307
27934,100000,-7.805650947856829e+307,-8.21850018553569e+307
28689,100000,-1.1684975930280195e+308,1.739103426708123e+308
32351,100000,-9.587680471480003e+307,-6.009288115665434e+307
28084,100000,-1.4168821143487382e+308,1.048578131788437e+308
27883,100000,-3.026003118209059e+307,-1.1495843726683392e+308
28495,100000,-1.5890187820688997e+308,7.728010981044627e+307
29592,100000,-1.5422824002637496e+308,-1.3335915922798035e+308
29708,100000,1.0342583983771792e+308,1.6947126650540755e+308
28816,100000,-1.0991417527904217e+308,-3.36868576667013e+307
28520,100000,1.3400547097264014e+308,-1.0055061401640544e+308
35206,100000,-3.3891571034206896e+307,-1.7568340241584718e+308
32405,100000,-4.012982696378877e+306,7.655414407255632e+307
28585,100000,-3.9535291137097773e+307,2.833660984531234e+307
28222,100000,-6.692787499861145e+307,-1.8994793703536575e+307
31605,100000,1.3119028186707513e+308,7.370466799911748e+307
36183,100000,-6.445634430924462e+307,4.79206224861303e+307
29298,100000,-5.71021390236634e+307,-9.25535945967228e+307
28197,100000,5.002574427711907e+307,-2.315729809106191e+307
