elapsed.ps,repeats.n,param.a.float,param.b.float
18942,100000,-8.69975423347941e+307,-5.472008049783627e+307
19074,100000,1.2449417784221842e+308,-4.408538535829695e+307
20440,100000,3.101371387430949e+307,9.983275695986736e+307
19808,100000,-9.772840341115753e+307,4.4538593462222997e+307
18950,100000,2.8280758864771253e+307,-1.4357130194343819e+308
19204,100000,1.0224656786991422e+308,1.4255508748994008e+308
21349,100000,7.542056578636101e+307,1.2557532649794336e+308
19751,100000,1.9841722036575143e+307,-8.158964571631549e+307
19016,100000,-8.941509713950838e+307,-1.356925004162144e+308
19301,100000,-1.6869065932061205e+308,-1.4198255555297052e+308
19282,100000,1.6793925113335243e+308,2.6062797085791876e+307
19159,100000,-1.2941600137570172e+308,1.7496872303008057e+308
18902,100000,2.069328219032943e+307,-1.6120034733527682e+308
20143,100000,-9.407615707380495e+307,4.2094584814656367e+307
19066,100000,1.4905074159661325e+308,-9.817945251188664e+307
19131,100000,-7.106503907642238e+306,-3.697141356736919e+306
22075,100000,-1.1577026556924783e+308,-1.1802566289891613e+308
19107,100000,-2.2399663528444862e+307,-1.3440194971978783e+308
18924,100000,6.680361346545134e+307,-1.0267987904143724e+308
19220,100000,4.379467325305835e+307,-5.689041507684789e+307
19349,100000,7.702549489138605e+307,-4.853709758594604e+307
21200,100000,-7.760627898218657e+307,6.036266016996179e+307
18985,100000,8.980274177947998e+307,-1.2660928982148616e+308
19162,100000,-1.813828775852582e+307,-4.956654300079255e+307
19086,100000,-1.6696214763648208e+308,-9.16407857533136e+307
19217,100000,1.0030123519334608e+308,-2.2800876925396084e+307
20977,100000,1.339069051211948e+308,-4.61948134230912e+307
19195,100000,-6.831388145275138e+307,2.9511618934498327e+307
19134,100000,-4.184634866805703e+307,-1.414352197953214e+308
19172,100000,-1.1538673593561676e+308,-1.5734339596465392e+308
19019,100000,-6.829430199234786e+307,-1.3804133133887825e+308
20396,100000,5.975041838343155e+307,1.1085169636031222e+308
18972,100000,1.2824071634241762e+307,-1.4112862780091619e+308
18977,100000,1.4353226773644314e+308,-1.142835524750815e+308
19014,100000,-1.5088599524171293e+308,4.0791377950090085e+307
18938,100000,1.7189805263072689e+305,8.099280898506489e+307
21246,100000,-5.547265711480619e+306,1.7938711990230887e+308
19002,100000,-1.0690864593051954e+308,-7.207891192047922e+307
19157,100000,1.4398108960998205e+308,-2.5710606680871853e+307
22259,100000,-1.5104709597713123e+308,1.201863392787391e+308
