runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.float,param.y.float
1,4031,57781,150000,1.2383871000268555e+308,-1.3960455255397306e+308
1,3880,58467,150000,-7.231912244657754e+307,-1.4655250944737434e+308
1,3922,58410,150000,-1.3849743541695268e+308,-1.5300055643180402e+308
1,4842,58354,150000,1.3271098343209053e+308,-1.1774247447946273e+308
1,4867,57486,150000,3.97659129637064e+306,3.2221784014256717e+307
1,4482,56916,150000,-4.106079292645385e+307,-7.503955492388917e+306
1,4995,57520,150000,9.891317166295564e+307,-1.7834869616593412e+308
1,4079,58700,150000,-1.4351922269152958e+308,-6.192039701727134e+306
1,4611,58507,150000,-4.668135767467939e+307,8.284657463777112e+307
1,3913,58783,150000,1.1374883161706776e+308,-1.2665708787691546e+306
1,3879,58229,150000,2.4254326145639317e+307,-1.5912503929300311e+308
1,3914,58729,150000,-1.3094606397607275e+308,1.3896502482687952e+308
1,4994,58723,150000,-1.2336537662136542e+307,-1.0507968646177293e+308
1,3880,59319,150000,-4.4197413292076314e+307,1.5846263587254434e+308
1,4883,58490,150000,-1.0217000396895078e+308,-8.917828652579485e+307
1,4896,58812,150000,1.7534719124133462e+308,-9.131245653415688e+306
1,4471,58440,150000,-7.309470061397503e+306,1.7548625144271748e+308
1,4895,58348,150000,1.6901705635196602e+308,9.210998774849692e+307
1,4705,59659,150000,-1.6487467393379609e+308,-1.20006789364074e+308
1,4598,57603,150000,1.4631368966971026e+308,-2.5811547113292767e+307
1,4884,58400,150000,1.6164103265105452e+308,-1.0347042023089173e+308
1,4884,59116,150000,2.4122727231798756e+307,-7.328771487675424e+307
1,4722,58743,150000,-1.6807704710856747e+308,-1.4407780057758107e+308
1,4914,59953,150000,-1.4585232001056944e+308,-3.0510020801717906e+307
1,5231,58919,150000,-4.122563925922243e+307,-5.392487321524183e+306
1,3880,58176,150000,-1.2507347035116039e+306,-9.00461168460421e+307
1,3944,58859,150000,-1.0365056604100881e+308,1.0502967800949135e+308
1,4537,58796,150000,1.3993790339959767e+308,4.684813006382643e+307
1,3885,58724,150000,9.498723077571239e+307,-4.762255854690508e+307
1,4178,58588,150000,-1.5730216609665885e+308,4.57177410168127e+307
