bench.path,bench.runs,bench.samples,bench.repeats,stats.mean,stats.stddev,stats.p10,stats.p50,stats.p90,stats.p99,stats.min,stats.max,stats.median,stats.q1,stats.q3
server/luau/math/operations/multiply/integer.csv,50,5000,250000,17821,3830,12494,17237,22503,31237,5250,38952,17237,16274,18926
server/luau/math/constrain/min/min.csv,50,5000,250000,22403,2912,18856,22120,25606,31154,11587,37313,22120,21507,22998
server/types/vector2/method/ceil.csv,50,5000,50000,54804,8535,45139,55049,65397,79641,31981,180292,55049,47435,59297
server/luau/table/array/read-10.csv,50,5000,250000,19349,3721,15286,18993,25207,29845,2036,37195,18993,16567,19912
server/luau/math/operations/divide/vector2.csv,50,5000,250000,52302,9861,42217,51410,64243,81702,17550,292715,51410,47992,53657
server/luau/math/operations/bool/lt/integer.csv,50,5000,250000,20331,3300,16035,20311,23047,32045,14157,45512,20311,19151,21063
server/luau/var/write/combo.csv,50,5000,250000,20400,3993,16191,20269,25826,31215,7101,66195,20269,17508,21590
server/luau/loop/for/pairs.csv,50,5000,250000,43470,7998,35149,44106,49161,70586,20915,146748,44106,37970,44978
server/luau/var/read/map.csv,50,5000,150000,28506,5812,22602,28757,36233,42372,10196,107813,28757,23532,30531
server/luau/type/assert.csv,50,5000,250000,27128,5707,21460,26739,34676,47057,8244,81918,26739,23044,28263
server/luau/math/rounding/ceil/mod.csv,50,5000,250000,25509,3978,20593,25694,28277,40181,12222,85172,25694,24174,26397
server/luau/table/array/read-10000.csv,50,5000,250000,19311,3637,15322,18854,25088,28614,12222,37736,18854,16623,20045
server/luau/math/operations/bool/gte/float.csv,50,5000,250000,19921,3298,15536,19799,22692,32112,12290,42733,19799,18985,20526
server/types/vector3/method/max.csv,50,5000,50000,40549,7584,33631,39101,48500,65663,10441,105436,39101,35579,44531
server/luau/table/array/write-1000.csv,50,5000,250000,22346,3366,18366,22420,27443,29342,13405,44179,22420,19816,23668
server/luau/var/read/array.csv,50,5000,150000,25550,5161,20315,25762,31565,38952,10530,85374,25762,21308,27772
server/luau/var/write/arrayinit.csv,50,5000,250000,65903,12129,53341,64120,80706,105494,32692,237159,64120,58104,69534
server/luau/math/operations/bool/lt/float.csv,50,5000,250000,20011,3491,15505,19799,23066,33184,11325,48610,19799,18987,20729
server/luau/table/array/write-100.csv,50,5000,250000,22831,3446,18793,22940,27871,30279,10586,37002,22940,20173,24149
server/luau/tostring/concat.csv,50,50000,50000,104399,15241,88517,104820,127522,139838,57402,247251,104820,90950,113384
server/luau/loop/repeat.csv,50,5000,250000,21955,4048,17760,22687,25058,32987,6457,74120,22687,19304,23334
server/luau/table/array/read-100.csv,50,5000,250000,19588,3620,15496,19265,25493,28174,11338,36699,19265,16957,20241
server/luau/math/operations/mod/mod.csv,50,4999,250000,18708,4888,14947,17506,24516,29560,155,240064,17506,16631,19541
server/luau/loop/for/len.csv,50,5000,250000,30051,5067,25061,30576,34797,48166,9446,85759,30576,26299,31360
server/luau/math/constrain/clamp/if.csv,50,5000,250000,20149,3232,16189,20683,23192,31198,8396,39682,20683,17512,21476
server/luau/math/operations/multiply/float.csv,50,5000,250000,17973,3891,13090,17431,22749,31688,11140,44974,17431,16356,18878
server/luau/tostring/backtick.csv,50,50000,50000,84073,14179,69427,83989,107177,120406,31398,189791,83989,71838,90087
server/luau/math/operations/bool/gte/integer.csv,50,5000,250000,19842,3477,15391,19721,23065,31821,9183,67738,19721,18821,20427
