runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector3
1,2906,25752,50000,3.220990244519879e+38; -2.6490118931860834e+38; 9.761602266045331e+37
1,2958,25685,50000,-2.2949978481856423e+38; 1.0981582358391738e+37; 4.55306933862278e+37
1,2906,25915,50000,1.3097259518907647e+38; 8.888773107643706e+37; 2.1676277638843424e+38
1,2907,26012,50000,-2.8857074104366024e+38; 2.2850951645207554e+38; 1.7524237173506446e+38
1,2905,25497,50000,-2.771576060531798e+38; -1.5217799640656152e+38; -2.1950893858973266e+37
1,2907,25473,50000,-4.440458358141866e+37; -2.6837497789383537e+38; 1.2140431775252979e+38
1,2906,25575,50000,2.721492909321597e+38; -4.1678407159483433e+37; 1.41290976979995e+38
1,2907,25376,50000,-1.5444705041615084e+38; -2.7085095304620114e+38; -1.2497808846589801e+38
1,2975,25279,50000,2.9723256717140532e+38; 3.516965071583449e+36; -2.5737079712819336e+38
1,2904,25981,50000,1.2582385480516548e+38; -1.5110603049418932e+37; -4.482090032094321e+37
1,2974,25352,50000,1.1160400955011733e+38; -2.9463666213105315e+38; 2.0615819965680338e+38
1,2904,25403,50000,-2.8575600401549187e+37; -2.5671352536257742e+38; -8.992703216814258e+37
1,2904,25895,50000,3.191819271731523e+38; -2.1696217782785014e+37; 1.061261870703871e+38
1,2907,25559,50000,1.8953068026372974e+38; 2.4080897245982595e+38; -3.1397707550307283e+37
1,2903,25268,50000,-1.6247965788606304e+37; 2.482513795573803e+38; -2.7857978833217825e+38
1,2905,25616,50000,3.3841831206631486e+38; -1.0320983009950203e+38; -4.824009372011961e+37
1,2905,25514,50000,1.2109031562825085e+38; -2.034466240344816e+38; 1.3010144541419003e+38
1,2905,25482,50000,1.9097196857257483e+38; 1.4757627260966102e+38; -7.035908058398434e+37
1,2906,25588,50000,1.60386561385689e+38; 1.331889149336963e+38; 1.0317405192896119e+38
1,2906,25437,50000,4.460770684299683e+37; -1.3822063595539902e+38; -2.2690757117675992e+38
1,2907,25651,50000,8.295363551026308e+37; 2.1940620311448777e+38; 6.992037206425735e+37
1,2905,25866,50000,4.2252609781266413e+37; -2.3849955645512536e+38; -1.9607017533295832e+38
1,2904,25347,50000,7.533407931192924e+36; -1.577499901140815e+38; -2.3996846940585062e+38
1,2906,25441,50000,-9.874591513465354e+37; -1.604676301768748e+38; 2.678274136817656e+38
1,2904,25718,50000,2.5077329436749834e+38; 6.900898198871726e+37; 1.3671338925052285e+38
1,2952,25418,50000,-3.228386884360163e+37; -2.1702658969014894e+38; -2.3402434418812764e+38
1,2906,25460,50000,-1.074870049191297e+38; -3.818525141838612e+37; 3.8750096243438216e+37
1,2904,25886,50000,1.5573629164140216e+38; 2.2778020156754743e+38; -1.966022235016813e+38
1,2907,25593,50000,2.6324367024097872e+38; 3.057576492936026e+38; -7.310258071902228e+37
1,2938,25962,50000,-4.105708913401647e+36; -3.290722588505906e+38; 2.9453178179099267e+38
1,2906,25518,50000,-1.871821192084941e+38; 1.6559603744515812e+38; 2.190913491290055e+37
1,2911,25804,50000,-8.158057722732467e+37; 1.3702760434010262e+38; -3.1779185194855644e+38
1,2912,28327,50000,1.3940951981793146e+38; -2.780768657036461e+38; 2.6691251474936406e+38
1,2904,27071,50000,1.6018808786651246e+38; 2.244391207983571e+38; -1.946438148775815e+38
1,2910,38972,50000,-1.928530403688559e+38; 3.099078359467018e+38; -2.742582356003378e+38
1,2916,29462,50000,8.359367229831831e+37; -2.3864613742933095e+38; 3.5269122624609097e+37
1,2905,27039,50000,3.1470935161940307e+38; 1.2925722053805243e+38; -2.1077308927283785e+36
1,2991,39380,50000,4.880204323120078e+37; -1.0568570383981979e+38; -2.0143247934879096e+38
1,2906,25686,50000,3.2829823139409122e+37; -4.587486052418977e+37; 2.6921594744323158e+38
1,2915,38225,50000,-2.602347544938674e+38; 2.084710839535462e+38; -2.8397505126361682e+38
1,2927,30415,50000,1.67043988525558e+38; 2.7497574612247658e+38; -9.729964749425075e+37
1,2905,28509,50000,-1.5463577823751282e+38; 2.9507307873849493e+38; -3.3116104280362265e+38
1,2903,25610,50000,1.2843429219199867e+38; -4.945067595797616e+36; -1.2852685350352614e+37
1,2906,29414,50000,-3.069289990130327e+38; -3.1693157354521756e+38; -1.1670758100784098e+38
