elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
31982,100000,-2.0639736983084964e+38; 2.440779594040801e+37; -1.5303061566497382e+37,-1.047220764183455e+38; 2.999895551088297e+38; 9.601439176248655e+37
32017,100000,1.7251753141686187e+38; -1.4439679193898778e+38; -7.953195751591023e+37,9.100033671954861e+37; -5.153291249565805e+37; 1.2551763098496955e+38
32045,100000,-1.5887438605527914e+38; 3.2166084327491062e+38; -2.536625388273457e+37,2.915687245719952e+38; 1.1264846237386217e+38; 3.278209761549125e+38
33542,100000,-1.8773774821368254e+37; -3.0053657169584018e+38; -2.274201279498538e+38,-5.515121830991349e+37; -1.4458718291793726e+38; 5.2068428322597965e+36
32581,100000,-2.94638000770087e+38; -1.98329027290517e+38; 6.616737583842646e+37,1.2483651724686452e+38; -1.2685831854218053e+38; 2.6278561230248985e+38
32037,100000,1.4725111769540128e+37; 1.506038481736077e+38; -5.577193610282125e+37,1.5414149591547183e+38; -2.1187410720166608e+38; 1.8654963254741383e+38
32001,100000,9.349237554032048e+37; -3.2928587318853624e+38; -1.0422023889872714e+38,3.1253525985157804e+38; -2.0961334869760465e+38; 1.8196302928687285e+38
33725,100000,-3.082893807899688e+38; 4.537253622674093e+37; -3.0354682608198535e+38,3.090286137727931e+38; 5.615227184770893e+37; 2.6865755242443344e+38
32331,100000,7.959740378109882e+37; 3.3123385665409976e+38; 7.490750220844644e+37,-1.741345668049226e+38; -3.003134246253808e+38; 1.363959492578161e+38
32233,100000,-3.3630101104538006e+38; 1.3436260727143561e+38; 2.5401714126504876e+38,-2.2448828535923635e+38; 8.226424147843736e+37; -2.8813994266367868e+38
31960,100000,-3.173234449105673e+37; 1.2905276370804282e+38; 2.443784737259726e+38,-2.635884306394216e+38; 1.810713258251543e+37; 1.4709833790976057e+38
32191,100000,-3.269045763242003e+38; -2.2844499810712632e+38; 7.8537916621235265e+37,-2.818703456190459e+38; 1.6903610651441907e+38; 5.579423154157806e+37
32180,100000,1.253612941717446e+38; 7.94228888582666e+37; -2.9139528968747437e+38,5.345621226873392e+37; 1.3109974054427936e+37; 3.2450920346759944e+38
32327,100000,4.0170156475331885e+37; -4.488314703601682e+37; -2.835933768796953e+38,-2.8592541284170637e+37; 1.8095698120571252e+38; 2.330137528472161e+38
32767,100000,8.13935886225862e+36; 2.0493683858589309e+37; 1.0674361404233665e+38,2.598892436462692e+38; -2.0543705858334555e+38; -1.569812259428743e+38
32164,100000,-1.6184271670077357e+38; -1.283883829578608e+38; 2.476703899342837e+38,2.49803962518323e+37; -2.5879537273152504e+38; 9.44188760110153e+37
32637,100000,2.5506728330468743e+38; 3.1515461135743203e+38; -6.152432663195852e+37,9.603681396630339e+37; 3.081865489732783e+38; 5.8042247621806e+37
32041,100000,-1.4341023778875776e+37; -2.9398678330373775e+37; 9.682064796784611e+37,3.1271346110235572e+38; 1.4778042520352657e+38; 7.190419961819292e+37
32132,100000,-1.4145196860622399e+38; 2.467584927985035e+38; -6.206161907121465e+36,1.2891170969045423e+38; 2.126473487147933e+37; 2.748698719443455e+38
32357,100000,1.741994299508351e+38; 2.425888350321848e+38; 1.6306941711601202e+38,-1.704725371861641e+38; 3.530980153237042e+37; 2.10219529073429e+38
32215,100000,-1.4614717402898772e+38; 3.118780692156005e+38; 1.1778154473755914e+38,-2.3718464784052062e+38; -8.17645741766466e+37; 1.5000205893946256e+38
32083,100000,1.2063325659843496e+37; 8.027361297903156e+36; -3.3331183008281308e+38,-3.2061721188875472e+38; -1.1686287327697134e+38; -8.63307581213191e+36
31948,100000,6.903401555277057e+37; -7.578729736042644e+37; -1.7010282942390873e+38,-1.0562834518546066e+38; 3.3877767072906996e+37; 2.0643067354741884e+38
32121,100000,1.5831672120322674e+38; -8.480301097093604e+37; -2.059210577237175e+38,-1.0217536636248698e+38; -4.5561142353645285e+37; -2.431481427594151e+38
32233,100000,2.1833460228548844e+38; -1.4928918294791821e+38; 2.3798458607528864e+38,1.4609860779919178e+38; -3.242651046680195e+38; 3.2157537320084083e+38
32381,100000,8.117302248874889e+37; -2.421767167514482e+38; -1.6679101617177646e+38,-1.0691976676974437e+38; 2.7914641800927547e+38; -1.6536522362386856e+38
32020,100000,4.535089489569383e+37; 1.3708232628121327e+38; -1.1309556527586387e+37,3.1368837568477445e+38; 5.810885505494439e+37; -8.29570987317029e+37
32327,100000,4.2209180071702594e+37; 6.601936495434381e+37; 5.632492585946001e+37,1.2263429377691923e+38; 2.4365285023999236e+38; -3.3061005086432985e+38
31679,100000,-1.6997129799762905e+38; -2.2081518154483424e+38; 3.137648454395826e+37,2.6834881358544666e+38; -2.5824383316717294e+38; 2.6131700358790864e+38
31972,100000,-2.155444931731813e+38; 1.1821320511994885e+38; -8.073443059287713e+37,-8.450067123217921e+37; -2.4145312150642832e+38; 3.1863269980349503e+38
32109,100000,-1.259861445056091e+38; -5.536258637099555e+37; -2.1809823108396748e+38,-1.7429134983115883e+38; -1.7195186008361843e+37; 1.5154037829585152e+38
32364,100000,-3.1115999078599283e+38; -2.960721699531612e+38; -2.3215939690748147e+38,1.2290812658897813e+38; 1.0123501300603288e+38; -1.3768140781367633e+38
32377,100000,-1.6338268146764162e+37; 1.43174918737235e+38; -2.005185134072312e+38,9.410259211565595e+37; 4.716634739247939e+36; -7.903051677092975e+36
31865,100000,3.2471245349423764e+38; -4.300696837105263e+37; -2.1684283105913985e+38,-2.913059862379895e+38; -1.5932787031040239e+38; 2.3511204925035227e+38
32314,100000,1.753547768490879e+38; -5.891794065644366e+36; 6.810013735558243e+37,7.093792534226535e+37; -2.4171831401199607e+38; -1.5251027298189334e+38
31827,100000,-2.4883478278721973e+38; -5.116978637531907e+37; 2.443050514032074e+38,-2.589083457530174e+38; -1.821055132143385e+38; -1.0066611169906005e+38
32122,100000,-2.1114801722026495e+38; -1.779959319452658e+38; 2.5104165092896425e+38,1.0705700769432748e+38; 1.8153480677291095e+38; -2.751564015448163e+38
31867,100000,1.4707208233052864e+38; 6.356033575520188e+37; 1.9354215551754957e+38,-2.022507731642503e+38; -1.078281043426391e+38; -2.6899874311878607e+38
32312,100000,-1.777348973336668e+38; -1.71708324120905e+38; -2.3959131799927072e+38,-8.031426653378088e+36; -1.857880280667967e+38; 2.1997546950483346e+38
32183,100000,-1.4277983768056546e+38; 2.2300243659649204e+38; -2.8193571582519846e+38,2.4920195524827463e+38; 2.4476475221687415e+38; 2.980484473801218e+38
33029,100000,1.3949407718356909e+38; 8.498065952605202e+37; 1.5770891823463411e+38,3.2268634218688085e+38; 7.6577312426295875e+37; 3.052249723701819e+38
