runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector3,param.b.vector3,param.value.float
1,2915,27948,50000,-1.0876987746776546e+38; -1.4227267602842615e+38; 5.294273771660548e+37,3.347922634421932e+38; 9.837810377769612e+37; -3.5701449791214534e+37,0.006392505785933166
1,2906,27525,50000,-1.1577100017957316e+38; -2.853335467764598e+38; 1.2174475799772708e+38,-2.754313498894034e+38; 1.6365837772608286e+38; 2.165937605339058e+36,0.0009203577353522549
1,2906,27471,50000,-1.0491732376674445e+37; 8.985293038465563e+37; -9.512104289028891e+37,2.6340424607781083e+38; 1.9484465129747688e+38; -6.422367196128931e+37,0.0011436973488287328
1,2906,27997,50000,4.3238110513847644e+36; 1.853019804030548e+38; 1.0923624105298703e+38,-9.176278672311609e+36; -1.8947893983683083e+38; 1.9228970404801808e+37,0.00317278564465581
1,2906,27749,50000,-1.4975615500542789e+38; -1.9982660942721703e+37; -2.9210170573155996e+38,-1.3904445672747534e+38; 8.305836373225153e+37; 8.973409574678784e+37,0.005307820444517173
1,2907,27634,50000,-2.5075453313861496e+38; 2.6798837488438016e+38; -3.0067260581705187e+38,-1.2980762428746673e+38; 2.9396064941896344e+38; -1.7103870036784042e+38,0.009933074361800309
1,2906,27834,50000,-9.008567864076114e+36; 2.638078660289235e+38; -2.275196131689597e+38,1.455811021181546e+38; -2.3358024054744608e+38; 1.6079841599510075e+38,0.005905161559855779
1,2959,27678,50000,-3.3712303682420645e+38; -3.0679730532747617e+38; 1.7174323014783287e+38,-1.3857088274563968e+38; -3.3549894315760365e+37; 1.2341232700931531e+38,0.0045746359625985795
1,2907,27874,50000,-5.819900529503022e+37; -4.0604402864946068e+37; 2.3782968931314556e+38,2.7990068025761607e+38; 2.266308278389229e+37; -1.4192891200335506e+37,0.0066246440436230096
1,2906,28611,50000,2.3845349510291547e+38; -5.791476253624225e+37; 2.8777268907298536e+38,-3.1334909153692456e+38; -2.822307843201124e+38; 1.902031638365484e+38,0.0012146554867594542
1,2907,35612,50000,-1.5501603285276208e+38; -9.131726965201528e+37; 1.7861616803094548e+38,1.486564833215371e+38; 9.808819715602632e+37; 1.3371347889327554e+38,0.007504050223714602
1,2906,27617,50000,1.8160808711880895e+38; -1.0428768805186409e+38; 3.2950658636984318e+38,-2.0940661009651463e+38; -3.1501514950899732e+38; -1.2884587298888077e+38,0.0007405282829007528
