elapsed.ps,repeats.n,param.a.vector3,param.b.vector3,param.axis.vector3
48009,100000,-3.17828258873795e+38; -9.073621791403926e+36; 3.239585968940891e+38,1.849715191033825e+38; -1.5898643115653212e+37; 1.2405673972724253e+38,-1.1902848699758204e+37; 1.3488094453126653e+38; 5.394697559270868e+37
48193,100000,8.274671943808902e+37; 2.4779876744587e+37; 6.739878177269296e+37,-5.444772293281084e+37; -1.5801028441772997e+38; 1.6500584974930626e+38,2.7899973562302186e+38; 1.165549254519591e+38; 2.6944907345921595e+38
48274,100000,2.6143429676264656e+38; 8.493464380926374e+37; -1.818638888687302e+38,9.267994334123661e+37; -5.209778267372215e+37; 3.3311902549712077e+38,3.0059794626730083e+38; -2.7535707570543483e+38; -1.9347082228297353e+38
48064,100000,9.481867272791767e+37; -9.501177140854924e+37; 1.6173034201036453e+38,-1.0541988257955433e+38; -9.545448570417295e+37; -2.943551879211761e+37,3.106860922856035e+38; -1.2540753806564093e+38; -2.2805407494442554e+38
48196,100000,5.989510658632839e+37; -1.8275889075731054e+38; -2.985327710390474e+38,2.509813918900318e+38; -1.8371269135133186e+38; 1.930814000185834e+38,-1.1741386775156534e+37; 2.0954570686157647e+38; 2.725626261574725e+38
48119,100000,9.850562942807908e+37; -2.482396968894486e+38; -3.6960264866759172e+37,2.757752178618237e+38; 2.7357356229934733e+38; 2.6663150196430547e+38,1.940076773827726e+38; 4.341988780696857e+37; 2.657346543764512e+38
48142,100000,-3.2898155591484305e+38; 2.101946425568453e+38; -1.3909297478654847e+37,-9.464151602123458e+37; -1.4922605394802685e+38; -1.7335280160915946e+38,-2.5323995989385604e+38; 2.5763412365207757e+38; 5.476925997225753e+37
48128,100000,-3.152715394487971e+38; -2.9878577381644336e+38; 1.6641085789797282e+37,-1.445402342103072e+37; -3.279881387042634e+37; -1.1276425211498822e+37,-9.384650641200024e+37; -2.7973466873501018e+38; -2.1519093020897044e+38
48009,100000,-3.953171185643054e+37; -1.4590648267422119e+38; 2.5308668572448124e+38,-1.3658640108399439e+38; -3.190740044716513e+38; 1.270153246749224e+38,3.2069519775368076e+38; 2.226495023869789e+38; 3.1702552166650167e+38
47967,100000,2.3631386314900704e+38; 1.6812853967308927e+38; -3.236381348223514e+38,2.010255939297321e+38; -7.243985298522296e+37; -2.115821419154215e+38,-1.4949423810901113e+38; -5.1212790154281215e+37; -2.3515417581509905e+38
47786,100000,5.542126338197891e+37; -1.5819227847910354e+38; -1.1569472817825862e+38,-1.500050911596983e+38; -2.357671710805502e+38; -2.7237844159586176e+38,3.0908554649655055e+38; -2.1925109845764624e+37; 3.1168494011135455e+38
48082,100000,1.228313171038091e+38; -1.3391121210450154e+38; -1.3446449595607956e+38,-1.4750237365027011e+38; 4.0349326211168143e+37; 8.891302324121281e+37,-1.005152866306449e+37; -2.277572215974665e+38; -2.591000145237719e+38
47832,100000,-1.1174238628963824e+38; -1.1550789676219459e+38; 2.375284144008929e+37,-7.553636465646066e+36; 2.228323685919654e+38; -2.304310922203351e+38,3.3282669512750333e+38; 2.9802045765486878e+38; 1.0052315240261931e+37
47978,100000,-2.1763534593199294e+38; 7.565859025968407e+37; -1.4767649813671746e+38,1.9091984277989345e+37; -1.70386519487035e+38; -4.0318948232184274e+37,-3.0473594319222824e+38; -2.606863626261023e+38; -1.8378870982252635e+38
47824,100000,2.3828957266849875e+38; -9.65950771494391e+37; -6.572595454641498e+37,2.248701625672539e+38; 2.4802981451487e+38; -3.31076384025937e+38,1.713063470449702e+37; 2.1693850318524028e+38; 1.0908544133758388e+38
47843,100000,-2.8164024168209246e+38; -2.4642423868823533e+38; 1.1116758280147075e+38,1.932940610832777e+38; 1.7496474611240967e+38; 1.1003500290799804e+38,-3.142090048568906e+38; -2.4814077957781158e+38; -8.572734629440566e+37
48058,100000,1.6337450512127015e+38; 2.8729822266512713e+38; -6.125107693917572e+37,-3.1142165415228954e+38; 2.034728491900991e+38; -2.4122149638875462e+38,-1.747944144365582e+38; -1.340304016845374e+38; 2.5562573917071438e+38
48112,100000,1.915266113455963e+38; 2.2830115525821723e+38; 1.6567664988212783e+38,1.3530226088475839e+38; 3.7983930755961474e+37; 3.1534640182264416e+38,-1.8083705131772613e+38; 9.59257829855306e+36; 2.3833470102986688e+38
48003,100000,-3.118884740917272e+38; -1.8068093761100682e+38; -4.770390286923507e+37,-1.2475159479785403e+38; 1.8772106339648234e+38; 3.276737664260092e+38,2.3473708834400956e+38; -4.579521150167623e+37; 2.030063334868055e+38
47930,100000,-1.4567907629774504e+38; 1.0212809820690567e+38; -2.998011923708406e+38,4.835806128497685e+37; 3.166907402135838e+38; -1.9325213734262696e+38,-2.234549574371591e+38; 3.173733852736139e+38; -2.6195421605042657e+37
47963,100000,-3.36923944691537e+38; 3.25528800198375e+38; -2.3269746895185674e+38,6.924806976547451e+36; 2.7863424153136166e+37; 1.3134251591663267e+38,-1.9457029114276828e+38; -2.279184261889963e+38; 2.2156011388475716e+38
47986,100000,2.2446895115228167e+37; -1.729665434006675e+38; -3.341235118327416e+38,-2.191337089414627e+38; 1.944110133801508e+38; 1.7681711829910158e+38,2.5668632665129893e+38; -3.0176177121276797e+38; 3.8693817627390483e+37
47955,100000,-2.869708645741242e+38; 1.4938916255075821e+37; -1.6165701095844253e+38,-9.956430022095608e+37; -2.1372228092957003e+38; 5.104342696348832e+37,-3.0122065680695214e+38; -1.0436131319872534e+37; 2.4268418263973156e+38
47891,100000,9.355932777442214e+37; 3.3901976664070154e+38; 1.9133476003315535e+38,-1.0175786310200061e+38; -1.11114503735538e+38; 3.2879596172576484e+37,-2.673287909240694e+38; -3.3955733162483673e+38; 6.947330719177366e+37
47895,100000,2.329449954786597e+38; -1.7153552559698547e+37; 1.6893784838109418e+38,-2.517606826318233e+38; -1.86818333909843e+38; -3.0506774313093438e+38,1.8874759671134235e+38; -5.612208148101389e+37; 3.220616845359076e+38
47564,100000,3.356780773992231e+38; 1.0763708714429312e+37; -2.0730060637772906e+38,2.9630740533974436e+38; -9.795126680584027e+36; -2.8764150751827134e+37,1.8564870819522923e+38; -3.04402561225573e+38; -2.1855075192463455e+38
47981,100000,-2.6864542354349046e+38; 2.259165320787063e+38; -1.653693003881989e+38,1.6743369981428497e+37; 2.75905593190756e+38; -2.9496481123603063e+38,-2.389429502114708e+38; 3.3008003093656722e+38; -6.206636895801371e+37
48455,100000,2.8059304059184632e+38; -1.714990426127109e+37; 2.4634047233657225e+38,2.4709709748563167e+37; 1.7161768203238626e+38; -3.380131709344819e+38,-2.588911462696735e+38; 1.5728092896838266e+38; -8.590111583868494e+37
47832,100000,-9.573543890965333e+36; 2.8968100014536413e+38; 2.6604369745158204e+38,-7.852897207860005e+37; -2.212208703017265e+38; -2.3723158133634347e+38,-3.239857550405484e+38; -2.817494421753985e+37; 2.8811325101264027e+38
47974,100000,-2.6197147638099927e+38; 2.478466339325346e+37; 1.8690727227595502e+38,3.1233529050469324e+37; 9.717950464096352e+37; -1.9229000067825853e+38,2.332155425403628e+38; -2.609869479364284e+38; 1.1434150609191259e+38
47925,100000,-1.6943044726313807e+38; -1.053542284196673e+38; -1.0723225785450783e+38,-2.500216485499966e+38; 1.1446517808447085e+38; 9.161699295993324e+37,-1.531054197268933e+38; 4.04235065889923e+37; -3.6469116177001945e+37
48380,100000,7.371362887315149e+37; -1.2161312515939938e+38; 2.163415513057856e+38,-3.1663267167488854e+38; 9.495013316576374e+37; -2.395628617785968e+38,5.585001830919291e+37; 1.0626756560652935e+38; 3.0562911966394425e+38
48064,100000,1.874442896350309e+38; 2.0102848480692592e+36; 1.8208356764714735e+38,-1.7285947256036984e+38; -2.2959872241261084e+38; 1.0612256158967044e+37,-1.931767476261302e+38; -1.9061430856162404e+38; -2.9486548827620155e+38
48313,100000,5.439658590759763e+37; 2.2518210602695807e+38; -3.289840912160435e+38,-1.330901167812157e+37; -2.703796506942411e+38; 2.9044266547321006e+38,-1.4829838723877983e+38; -1.5929207185745194e+38; -2.9479646723632033e+38
48096,100000,2.2794962053496674e+38; -3.1479630230937392e+38; 1.0940782009702912e+38,2.7051325092630034e+38; 2.2019312004229025e+38; -2.4253693234600905e+38,1.7949401100100113e+38; -2.0141909295845255e+38; -2.6240022623761087e+38
48302,100000,8.064617675808924e+37; 1.4521870616456136e+38; -2.8079099690957796e+38,1.5520918731002006e+37; 7.490594553350936e+37; -5.97212914066275e+37,1.4796323056128429e+38; -1.4280107336342048e+38; 6.271833180291589e+37
48129,100000,7.757033920049066e+37; -2.9716610171513416e+38; -3.1184099297084504e+38,1.32819574790115e+37; -2.3291092103052557e+38; -1.5300649227405148e+38,1.323462923679174e+38; -3.4688288922536323e+36; 1.072803575888829e+37
47290,100000,-5.6405046447996835e+37; -2.7864102092677168e+38; 2.9191987392946322e+38,2.6895300628512984e+38; -2.5233031410554187e+38; -1.3449163382012924e+38,-1.5789017959396075e+37; -6.4566064388410955e+37; 4.180580350950517e+37
