elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
34165,100000,3.1913665683491696e+38; -1.7777158821263982e+38; 2.0807977542506294e+38,-2.9416436594102252e+38; -1.4839142011633058e+37; -2.0733117196900176e+38
36499,100000,1.7841504765731567e+38; 3.2611711177133853e+38; 1.1760733912147337e+38,-1.7665323642950407e+38; -2.5094061410552366e+37; -3.229454296871579e+38
38612,100000,-1.0660826952305149e+38; -3.121523482406707e+38; -1.4729505700050639e+38,5.319091328051576e+37; 8.090529468198069e+37; 3.1164153575480273e+38
33345,100000,-3.295771488728543e+38; -1.0641940986602708e+38; -3.166445571669163e+38,-1.1231042559420291e+38; 1.9645186999928944e+38; -3.0424770502824914e+37
32990,100000,1.2901091095582569e+38; 9.796448459864885e+37; -2.316490509170344e+38,-1.814677531267613e+38; 2.7743460292113687e+38; -5.838458427230123e+37
32310,100000,-4.79451012842417e+37; -1.9038613145358296e+38; 2.681767984695981e+38,5.276829378220687e+37; -2.8832649519661066e+37; 4.733052906144385e+37
35196,100000,-5.706547212830614e+37; -3.343956409223938e+38; 1.018272289428451e+38,1.6485193668402895e+38; 1.8130028127066393e+38; -9.075767797105053e+37
32669,100000,2.9218046232805094e+38; -2.7264387749034475e+38; -3.1574227389328823e+38,-3.3059298321664837e+37; 8.084010701751455e+37; 2.081811874730812e+38
36738,100000,-1.702704635392829e+38; 1.6892762604665394e+38; -1.390825572339158e+38,2.667560968065007e+38; -1.24052673104117e+38; 9.79158778040337e+37
32623,100000,3.2497263624463328e+38; -2.483676180468188e+38; 3.0501109436091138e+38,2.288002647937439e+38; 1.2800975093537984e+38; -1.6744782144197152e+38
33651,100000,-3.396288676835088e+38; 2.3874662662771224e+37; 3.25620862055566e+38,3.3815985332073552e+38; 1.7688100788935308e+38; -1.302084554072589e+38
32653,100000,-2.6588652905956334e+38; 3.1753740912007863e+38; -9.64123833449342e+37,2.5549946088852204e+38; 1.4628957682681496e+38; -1.886945835632408e+37
36072,100000,1.2201899645797805e+38; 1.7679989853334808e+38; -2.8415191894596307e+37,1.4998263853226706e+38; -1.461531573398208e+38; -5.951693646403488e+35
32151,100000,1.2054058119835348e+38; -1.5477546319245317e+38; -1.9935840014272154e+38,-2.1865342148204824e+38; 1.0978103671614592e+38; -3.242234648811032e+38
33581,100000,-4.862572317391384e+37; -3.0748252625352594e+38; 1.060378774589728e+38,1.2481807039533e+38; -2.8604069298729112e+37; -8.493877127961808e+37
35005,100000,2.8834801990380254e+38; -1.6654378373991275e+38; -1.0883034947199875e+38,-1.8198124289069693e+38; -1.4886511579262386e+37; 1.9723517665818247e+38
34834,100000,1.5748812392368876e+38; -1.2318141177597774e+38; -3.0220867382597483e+38,-3.9433826412382115e+37; -4.1696040179332607e+37; -8.62852139705541e+37
33726,100000,5.472519136679119e+37; 2.796258738898962e+38; 2.215108884766491e+38,-2.5771026381772968e+38; 3.1924147632774864e+38; -5.129082672523126e+37
40386,100000,2.5622092648053354e+38; -3.1148100048278983e+38; 1.950620178811992e+38,-3.2096905084814927e+38; 6.51917513716716e+37; -3.2606285632564876e+38
32960,100000,-3.36502841303346e+38; 2.798502379049318e+38; -2.959599879456434e+38,7.392423634387341e+37; 2.487728555200974e+37; 2.086426731387931e+38
33269,100000,1.8820453519420458e+38; -3.3264518277335786e+37; 1.6966154503816208e+38,-2.767871275593595e+38; 1.4804402553994043e+38; -2.0257721854682106e+38
34057,100000,-4.138750669974306e+37; 1.7249781691472712e+38; -3.3660912112966913e+38,1.2144697165992626e+38; -5.306079148170353e+37; 3.60272993780032e+37
38067,100000,-2.975056292518993e+38; 2.0457189211929218e+38; -1.7185188301607963e+38,-3.0244812795375554e+38; 2.927635613217463e+38; -8.63913315376004e+37
32947,100000,1.8658399601988482e+37; -3.1944501030812128e+38; 6.274824835708127e+36,2.0125261494042577e+38; -1.0586088301156653e+38; 1.5253148838233876e+38
32887,100000,2.789205328135196e+38; -1.3935569030284337e+38; -7.80254460483822e+37,-4.133151710803218e+37; -5.845735755795914e+37; -2.020125562634554e+38
32285,100000,2.672411049967504e+37; 2.9636624461000455e+38; -1.271886784298048e+38,2.14615355989238e+38; -2.607791343676294e+38; -1.746832668319302e+38
32604,100000,-1.9852047295476587e+38; -3.1952021748293162e+38; -2.793510675221763e+38,2.835862171891052e+38; -2.7716001965992264e+38; -1.9808474594925063e+38
