elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
33316,100000,3.0403125115295897e+38; 2.318085112213383e+38; 2.9781824203112037e+38,-9.283724356891773e+37; -7.342433579437221e+37; -1.947843516937252e+38
30969,100000,-1.8554561270721386e+38; 2.3991212487197168e+38; 3.207121538481094e+38,-3.238990071746736e+38; 1.475772867301412e+38; 2.8312207452773525e+38
35351,100000,7.599491317573182e+37; 2.375238305763225e+38; -2.0769755341608213e+38,2.3356336558265584e+38; 8.98966592597611e+37; -2.5376152205681394e+38
29222,100000,-1.6070115169984644e+38; 3.4661299373606864e+37; -3.091080599712106e+38,-2.9607068933726014e+38; -2.261092555347602e+38; -5.544162692122098e+37
30287,100000,-8.136227765276057e+36; -6.068648564424367e+37; 2.430199275071056e+37,-2.0814912098349783e+38; -1.342936166551688e+38; -2.82908541319428e+38
33854,100000,-1.1080220533366577e+38; -9.396713604311796e+37; -8.205298497060812e+37,-2.832811697486663e+37; -1.974586279647859e+38; -1.0752359438605468e+38
40406,100000,2.4709548503406818e+38; 2.3181544780542274e+38; -6.73934335548106e+36,1.6642120699747308e+38; 3.1423228906311557e+38; -4.233247557203259e+36
41892,100000,-2.28740898180834e+38; -1.5507181962037692e+38; 2.616684166167015e+38,2.2015746356620703e+38; 1.5936870894213934e+38; 2.637189073804019e+38
32509,100000,1.1968330459163593e+37; -2.174262951362081e+38; -3.2077726038293714e+38,1.6981335887404541e+38; -2.8264813546252672e+38; 2.1304201905266835e+37
36864,100000,-1.3234569403683408e+38; -9.528185197483146e+37; 8.451885441238888e+37,1.3110954201872033e+38; 1.6522422031230398e+38; -8.23816614182353e+37
37750,100000,-3.0983412967020212e+38; 1.4206474076516951e+38; -2.345135559077677e+38,-3.1444872265599614e+38; -3.1904621757049428e+38; -1.3473427228621773e+38
30158,100000,-2.97438453911292e+38; 2.9008597901792024e+38; 3.3905019025510702e+38,2.1205847430496327e+38; -3.212425794240641e+38; 3.0540406604698213e+38
31416,100000,-2.319313617763076e+38; -8.552089164705009e+37; -1.3828431511565088e+37,-1.9812494568508506e+38; -3.3545795240779467e+38; 3.178404688843764e+38
37767,100000,7.861160768592773e+37; -1.3754919185607253e+37; 2.213825211062676e+38,-3.2605961114011218e+38; 4.72663656586627e+37; 7.008369109698836e+37
33485,100000,1.4953103040003215e+38; 2.654064241418353e+38; 2.156756595160881e+38,-4.505786478294507e+37; 2.797958607647844e+38; 2.241025747758037e+38
32189,100000,-2.9528886329426818e+38; -3.220094776135878e+38; -1.2276692045331751e+38,-1.0946366771187278e+38; 3.2761078954418986e+38; -2.5561547627145493e+38
31629,100000,3.0625515651877056e+38; -2.744544273484339e+38; -2.952633835172036e+37,1.17391970355097e+38; 7.440691712762111e+37; -2.7482346579117236e+38
33915,100000,4.838650736444597e+37; -2.1281423745161454e+38; -2.2762528452299474e+38,-1.4391839074366645e+38; 1.577671667797146e+37; -2.2105960486296785e+38
36470,100000,-2.1015209006149685e+38; 2.46421338303662e+38; 1.971559535662706e+38,-3.0500139936912083e+38; 3.348942839624996e+38; -1.5530651752310558e+38
39261,100000,-1.699204905615719e+38; -1.9112763606628286e+38; 2.484047297857911e+37,2.3150683066089358e+38; 2.576486661397634e+38; -2.2922388320072575e+38
44220,100000,-1.5545319990935919e+38; 1.5209877331464965e+38; 1.1778779171971706e+38,2.9600110038991e+38; -8.75844138589208e+37; -1.4776296204885783e+38
41063,100000,1.7044288430332355e+38; 1.2465402626645567e+38; 2.424988825455926e+38,-2.4275229097118063e+38; -1.470724474139015e+38; -6.830753006438217e+37
