runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector3
1,5050,62227,50000,Vector3(-3.2234472556192655e+38;1.0741557027250563e+38;-2.2275138093041804e+38)
1,5045,57505,50000,Vector3(-2.0925463400135447e+38;8.927717108793557e+36;-1.2414030325480958e+38)
1,5236,57844,50000,Vector3(-3.0682557393586126e+37;6.517102781965907e+37;-1.0063368012610381e+38)
1,5033,58403,50000,Vector3(-3.973194233933899e+37;-8.608847459739868e+37;-1.1543164504328966e+38)
1,5015,56160,50000,Vector3(-1.985878916842884e+38;-4.300473730599623e+37;-2.578814270723749e+38)
1,5176,55975,50000,Vector3(2.511757785036732e+38;3.12161799843546e+38;-1.949709092972596e+38)
1,5027,56149,50000,Vector3(4.911100010609081e+37;-7.704197228911073e+37;1.1247522017223258e+38)
1,5018,57071,50000,Vector3(-2.5248642781226117e+38;2.4291231918295344e+38;-2.2425540273216722e+38)
1,5282,57362,50000,Vector3(3.999705117996712e+37;-2.8433946531696563e+38;-1.6509389568939571e+38)
1,5016,58205,50000,Vector3(6.515208911969166e+37;-1.6812026444997098e+38;-5.8878866594342225e+37)
1,5025,57293,50000,Vector3(-2.0047869903717924e+38;3.32920460707101e+38;2.47525553247304e+38)
1,5317,57315,50000,Vector3(6.130554535016633e+37;3.145161819503379e+38;-3.182493014147572e+38)
1,5029,57231,50000,Vector3(-2.4121786076683317e+37;3.9941695413556353e+37;-2.398377289935455e+38)
1,5072,60273,50000,Vector3(2.532274659295402e+38;3.1505403088820752e+38;-1.3065930294913366e+38)
1,5497,57461,50000,Vector3(-2.4526853684781445e+37;-3.1633565606865267e+38;-2.3165647427894932e+38)
1,5056,61831,50000,Vector3(1.6408838509208988e+38;8.99155219006925e+37;-1.324796390698566e+38)
1,5015,58667,50000,Vector3(1.1240454358066745e+37;1.953874288608802e+38;-2.717039297820827e+38)
1,5185,57052,50000,Vector3(-2.997434280682894e+38;-1.5633597150494852e+38;-2.8208777304999704e+38)
1,5018,56339,50000,Vector3(-9.428593495726816e+37;-2.876802215676023e+37;1.950858091476643e+38)
1,5028,57074,50000,Vector3(1.3374628569080945e+38;-4.2236028911415428e+37;1.2731797879102809e+38)
1,5228,57016,50000,Vector3(5.194999996674754e+37;2.809073165286549e+38;-1.9863920618058565e+38)
1,5030,58049,50000,Vector3(-8.837205081226421e+37;-2.5598270957973865e+38;3.1627099574683623e+38)
1,5051,57213,50000,Vector3(3.1559577404872106e+38;-3.316478003517007e+38;-9.259128892885905e+37)
1,5361,57640,50000,Vector3(-9.223956152271733e+37;1.1520540490536573e+38;3.004249575957913e+38)
1,5017,57467,50000,Vector3(1.3073516930225612e+38;-2.9888611089675263e+38;3.1942111762960818e+38)
1,5031,57291,50000,Vector3(2.0230963271692008e+38;-2.7623601392560908e+38;1.7037635799982357e+38)
1,5480,56650,50000,Vector3(1.8342587779712662e+38;-1.4049741756304733e+38;1.967410363130087e+38)
1,5034,57879,50000,Vector3(1.3262171734913018e+38;8.103239440176197e+37;-2.4306995407039302e+38)
1,5035,57835,50000,Vector3(-1.4857755432456449e+38;-2.1990147927459934e+38;-9.646332261665378e+37)
1,5210,56496,50000,Vector3(1.6809547934543532e+38;2.155371712233144e+38;2.310463996804811e+38)
1,5130,59637,50000,Vector3(2.295751948174706e+38;-2.0634072106082664e+38;-1.9985049196452533e+38)
1,5077,63371,50000,Vector3(-2.2740803963373003e+38;-3.0617061943554254e+38;3.302027192322597e+38)
1,5255,57876,50000,Vector3(-5.060002813654049e+37;2.3308798646636545e+38;-1.7023445972693523e+37)
1,5035,56704,50000,Vector3(9.828222882749966e+37;1.5488239205588362e+38;-1.4106735327290994e+37)
1,5082,69887,50000,Vector3(7.934672841020488e+37;2.374750716636353e+37;2.4866649963473823e+38)
1,5292,57342,50000,Vector3(3.1656870095499863e+38;-2.077879723980952e+38;-2.2146825485166222e+38)
1,5025,57784,50000,Vector3(-1.9568545858759626e+38;1.394541208366499e+38;1.4231468343401651e+37)
1,5066,67641,50000,Vector3(2.1276302436736532e+38;2.1709204102593992e+38;2.975429286031604e+38)
1,5296,63410,50000,Vector3(3.027822603695661e+38;-9.330017942691628e+37;-2.9385834494492262e+38)
1,5781,66002,50000,Vector3(-3.2134324102292704e+38;-4.864366803581067e+37;1.3096187593560094e+38)
1,5155,66797,50000,Vector3(-1.9109863222054964e+38;1.4616351150992346e+38;6.062813822241637e+37)
1,5488,56062,50000,Vector3(3.103226923527349e+38;-3.373389025096181e+38;-2.0363405378162893e+38)
1,5048,73510,50000,Vector3(2.3697151013920065e+37;-1.5614907924165568e+38;1.3424049702441683e+38)
1,5055,77594,50000,Vector3(-2.8908187804808186e+38;-2.1641470995722598e+38;1.9612982589960266e+38)
1,6056,68487,50000,Vector3(2.45264875872881e+38;-7.05421800366813e+37;-1.7014284661805673e+38)
1,5172,58846,50000,Vector3(2.6832719253680916e+38;-8.141665352525736e+36;-1.472779665351141e+37)
2,3363,37129,50000,Vector3(1.2553593585963685e+38;1.7113599508670914e+38;-2.84482476587081e+38)
2,3380,37452,50000,Vector3(7.84564358436044e+36;-2.8379240816513594e+38;2.3739315101124616e+38)
2,3338,37052,50000,Vector3(5.433790636131306e+36;-2.9004563730521858e+38;-1.0617555445536238e+38)
2,3395,37058,50000,Vector3(-1.6349886671575494e+38;9.470899559798593e+37;1.2955703511681361e+38)
2,3384,37738,50000,Vector3(3.1147284695412916e+38;-2.2279815216696406e+38;-2.7076377924972465e+38)
2,3480,39707,50000,Vector3(-2.1882178322886695e+36;-3.9060396827964483e+37;-3.3887478797685464e+38)
2,3514,35793,50000,Vector3(-1.8588096206760064e+38;9.530016699070356e+37;-2.4930718038929838e+38)
2,3342,35748,50000,Vector3(2.737528790826532e+38;-2.1967208522198204e+38;-3.0978887961437638e+38)
