elapsed.ps,repeats.n,param.a.vector3
38354,100000,2.312113970826068e+38; -2.4063845824228805e+38; -7.418612788727816e+37
38491,100000,2.6914530381058206e+38; -1.1836421780065284e+38; -5.688257549970521e+37
38503,100000,1.1773754204992401e+38; -4.379529999692496e+37; 2.5237248123510786e+38
38192,100000,1.9850743136539073e+38; -1.253734433350972e+38; -6.094253078308017e+37
38737,100000,-2.9584230940512302e+38; 3.217711593007449e+38; 1.1312230002702268e+38
37909,100000,1.8986957904579716e+38; -2.170653290924919e+38; 3.390501294078782e+38
38736,100000,-8.107979439300571e+37; 1.7656439947544008e+38; -1.259994700487187e+38
38492,100000,-1.523861649175286e+38; 2.760361713437843e+38; 1.6979015579745883e+38
38179,100000,2.044653891864634e+38; -2.925267439072141e+38; 1.0303428584438242e+37
38640,100000,2.127540189775013e+38; 3.2900427221359914e+38; 6.169273147889764e+37
38876,100000,-2.6080535952324692e+38; 1.541485744764235e+38; 4.710249393026999e+37
38742,100000,-1.4215923651151293e+38; 3.117795981169748e+38; -3.029177874305377e+38
38872,100000,-2.3251204716326016e+38; -2.9374675112728333e+38; 7.186670251343817e+37
38571,100000,3.4418792743180803e+37; 2.817166353778646e+37; -1.371230432184926e+38
38789,100000,8.027503401535442e+37; -1.554083149369063e+38; 2.0811161880814068e+38
37066,100000,3.1529415433550515e+38; -2.5764225689832863e+38; 3.277814660210046e+38
32336,100000,2.814215770241555e+38; -3.0335957887652444e+38; 2.2839471801371887e+38
39227,100000,-1.0292119112843246e+38; 8.454861377787984e+37; -2.64424938058705e+38
38703,100000,3.6411909640714846e+37; -3.173733649912043e+38; 2.5876322511230326e+38
38855,100000,-2.6295454449207867e+38; 9.129549648530576e+37; -2.1212112666822895e+38
38944,100000,-1.40001208412094e+38; 1.357972765426716e+36; 7.563772980140671e+37
39010,100000,-1.8477987568564e+37; 3.0652519652023358e+38; -2.2242586853868903e+38
38794,100000,8.144007590539777e+37; 1.0962798565327676e+38; 1.4740967289717662e+38
38643,100000,1.4331974528300987e+38; 3.629857914175324e+37; 5.433232869867206e+36
38589,100000,3.133170656121604e+38; 2.4581179104784346e+38; 2.0564328758889428e+37
38667,100000,9.576295073063008e+37; -3.3934803744013665e+38; -4.923942832370113e+37
38475,100000,-1.9436973867660737e+38; -6.500247592525033e+37; -8.264614911006932e+37
38012,100000,1.8163739520068622e+38; -1.8326647834005153e+37; 2.5366836494950437e+38
38744,100000,-1.8856158673286726e+38; 7.051021495914595e+37; 3.062304119790541e+38
38183,100000,1.2921046958391601e+38; -1.3546149808255666e+38; -1.530360919155668e+37
38420,100000,-2.1066416005676024e+38; -2.306159461014628e+38; -1.959667958912085e+38
38525,100000,1.4507330157011278e+38; 1.2506121592165858e+38; -2.037104779010155e+38
35123,100000,-1.7428518397863932e+38; 6.690695869281641e+37; -4.1265401523326675e+37
31245,100000,2.9661442017391483e+38; -2.172707290545481e+38; -1.9318161540443506e+38
38942,100000,1.9592101849273307e+38; 1.4257643553585524e+38; 1.9024218719262584e+38
38840,100000,4.2483588397134e+37; 2.810904869697855e+38; 1.3643245759510267e+38
38569,100000,-1.249969409656246e+36; 2.3586840058688204e+38; 7.742721637712249e+37
38666,100000,-3.1229825989535937e+38; 1.6711700520013115e+38; -2.7822827389133737e+38
38182,100000,8.271004884152562e+37; 1.4564530608575496e+38; 2.4922196194387273e+36
38399,100000,8.650967432703531e+36; 3.216968851167763e+38; 5.280027407154943e+37
38410,100000,2.2025076265038382e+38; 3.082587746338769e+38; 3.0195558991894046e+38
38096,100000,-3.4180915572746775e+37; -2.7885708943627938e+38; -1.370380092162293e+38
38653,100000,-2.0385578108341605e+38; -2.8307203782324304e+38; 3.0372287739734505e+38
38732,100000,-3.811882399163296e+37; 1.4078044844786149e+38; -2.0595637193413864e+37
38986,100000,1.0390911687661193e+38; 3.365994667026978e+38; -7.223783004436579e+37
38599,100000,7.519131903663274e+37; -2.7203078081284556e+38; -1.7699426486457987e+38
38583,100000,-4.6448827362961105e+37; 1.9114378086432737e+38; 1.0213399024689553e+38
38793,100000,-2.031994828734611e+38; 2.769921218732236e+38; -1.4435002006861646e+36
38413,100000,1.2270554588185686e+38; 2.431470677917061e+38; -6.630336939481894e+37
37060,100000,-2.4724583853646005e+38; 2.6559507083355887e+38; 7.477045903735697e+37
38609,100000,-6.816303310776336e+37; -3.3545712082900092e+38; 9.679020407103103e+37
38414,100000,9.588394544512067e+37; 3.3192429015941766e+38; 1.27720779839853e+37
38511,100000,3.1539534327701777e+38; -3.0764689490095393e+38; 1.53475928644328e+37
37604,100000,6.864779283849543e+37; 1.4586734776489094e+38; 3.2298615676564203e+38
38186,100000,1.3147493976893491e+38; 2.0719104080105013e+38; -1.8545882427651984e+38
