elapsed.ps,repeats.n,param.a.vector3
29384,100000,2.7109422026698734e+38; -3.36698424579154e+38; 1.3073124719129902e+37
29438,100000,3.0483492135109406e+38; -1.2536923473510443e+38; -2.0534820134687195e+38
29429,100000,-2.8959940401152864e+38; -2.456885956919109e+38; -7.07904519420372e+36
29371,100000,-9.388084453145922e+37; 1.0225696249632247e+38; -1.2566591568158185e+38
29460,100000,-1.5667770982436045e+38; -5.112425236575887e+37; -2.003296841738212e+38
31256,100000,-3.351836936651341e+38; -1.840661529034947e+38; -5.796916502940164e+37
30267,100000,2.0347489771346908e+38; -1.836795904588587e+38; -2.7837935756047497e+38
29508,100000,-1.139439100164522e+38; -2.5676021546948503e+38; 3.334426237364434e+36
29815,100000,2.679341194386904e+38; -7.547579504313116e+37; 5.067668550363749e+37
30173,100000,2.842053985894855e+38; 1.1163903727150283e+38; -2.4990397381242802e+36
29996,100000,1.97470290350308e+38; -1.2774220567029807e+38; 2.0811099005344296e+38
29407,100000,-4.333789109554341e+37; -2.182049165584827e+38; -1.5312917042853917e+38
29084,100000,4.968076341547179e+37; 1.862829188611258e+38; -1.60752090971566e+38
29313,100000,-8.051030236085318e+36; 4.598441849496509e+36; 9.558285307455446e+37
29356,100000,-2.689212440316905e+38; 5.896296253516137e+37; -1.7451822886498528e+38
29465,100000,-3.2317683169832596e+38; 4.439323557324541e+37; 9.489785525501033e+37
29183,100000,1.2207545254510982e+38; 3.371154917678339e+38; 8.98071935509994e+37
29119,100000,8.900860409647002e+37; 3.4724742750847086e+37; 2.823429663276302e+38
29341,100000,-2.2929890783384966e+38; -2.69406135598085e+38; 1.7789577740664298e+38
29279,100000,-1.7598598571836314e+38; -3.0214220836970366e+38; 2.1986032626551353e+38
29328,100000,-2.9107204892562098e+38; 1.783646661518602e+38; 1.583436968079996e+38
29265,100000,5.864261708727889e+37; 1.6155859056584081e+38; 2.483997048188118e+38
29296,100000,4.923278076395353e+37; 3.0176041229132452e+38; -1.3230659969232305e+38
29923,100000,-2.771859608618057e+38; 2.4313236304474346e+38; -3.1929199981007133e+38
29350,100000,7.611381880203323e+37; 1.358972048056623e+38; 2.1256385110505746e+38
29830,100000,-3.9463370277271035e+37; 2.140225620037521e+38; -8.550052810780802e+37
29272,100000,-6.400267482624792e+37; -3.148367657165332e+38; -1.052131439784643e+38
29213,100000,-2.4196537404337815e+38; 2.9036141414033783e+38; 2.1673340745932815e+38
30114,100000,2.8562650590077495e+38; 1.5153185968381799e+38; 2.940575790544593e+38
29270,100000,2.449965395938247e+38; -1.2108879444753058e+38; -3.2322826788908082e+38
30002,100000,3.1093459236806745e+38; -2.4346655630778282e+38; -2.780741275783496e+38
29341,100000,-1.1964951409723625e+38; -3.1275359999096135e+38; 9.999137677877537e+37
