elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
51966,100000,-2.8683732518929375e+38; -1.7188411176493983e+38; -7.968216904143488e+37,1.2764994098901106e+38; 3.0495639777281273e+37; 2.5592273449454065e+38
60804,100000,-2.952140820500595e+38; 2.119558453123688e+38; 1.8847765812192735e+38,-2.414358814582652e+38; -6.215062715810968e+37; 1.977864322688001e+38
53606,100000,1.9691451176234874e+38; 1.70096521594522e+38; 2.8171856220677696e+37,2.366630248303339e+38; 3.3704973619589886e+37; -1.8713303577725327e+38
63177,100000,-3.3183103164006007e+38; -5.813979080019236e+37; 1.8896520668397993e+38,-1.807584975453312e+38; -4.646078891402486e+37; 2.1653514690545246e+38
66727,100000,7.105690702760277e+37; -3.620215910179868e+37; 2.936560481915358e+38,1.685441490635789e+37; -2.9963676287618378e+38; -9.69999951747664e+37
62509,100000,2.471888500360762e+37; 7.379213193952243e+37; 1.2893693086679637e+38,3.2297859142685987e+38; 1.3780978532526265e+38; 9.070376732632402e+37
51010,100000,-1.2335051636604818e+38; 3.308857902228915e+38; -2.8674579067475247e+38,-1.6809499256760483e+38; -4.550268337856516e+37; 4.1242507753486553e+37
82433,100000,-2.0979769551849224e+38; -1.1477522513887708e+38; -1.1386097270828167e+37,3.389213158244854e+38; -3.2864373210048463e+38; -6.265855954181393e+37
100705,100000,2.9848417438563706e+38; -1.1972772306866793e+37; -4.65837611634518e+37,-7.394056368360435e+37; 2.9684766788435683e+38; -1.7991306586582217e+38
79891,100000,-1.7724031077548177e+38; -2.7501073327904288e+38; -4.0301796919563186e+37,2.974523879266897e+38; -2.6179858912153775e+38; 2.2858393261291134e+38
70062,100000,-3.6956946157487775e+37; 5.291528040460453e+37; -3.1451305845925892e+38,2.338686158471908e+38; -6.137237588981036e+37; -1.6491074553067474e+38
70198,100000,2.9462007111999737e+38; -2.423850779453065e+38; -3.0673733024227817e+38,-5.15504263563508e+37; -2.1768805991455283e+38; -6.686994836589215e+37
70715,100000,3.2220258136482176e+37; 2.1366782265978422e+38; -1.3532703584808925e+38,-2.5647912155478802e+38; 1.0493959638779046e+37; 2.54633969905915e+38
69659,100000,2.0905026844218807e+38; -2.7373127831642532e+38; 6.022551210937428e+37,5.302433385044097e+37; -3.0626020683876187e+38; -1.5535461725748064e+38
69000,100000,2.9950772618628535e+38; 3.2934047343518927e+38; -6.102869045907648e+37,1.8090716760772595e+38; -3.157014859675753e+38; 3.2415442355881237e+38
68481,100000,2.6735554342233663e+38; -7.145329122908934e+37; 3.1041518014052754e+38,-1.1037324251175334e+38; 1.6567445938189064e+38; 1.5889457719403958e+38
63046,100000,-2.7935029679061138e+38; 4.407622658174274e+37; -6.5231697577386e+37,-1.985512413701346e+38; 1.4654048037481693e+38; -1.3454489796304963e+37
66694,100000,-1.4983699054890324e+38; -2.382249123466823e+38; -2.138243420146956e+38,3.326432204502287e+38; 2.89855947337051e+36; 3.284153116035283e+37
68024,100000,-2.0610019196533694e+38; -2.737056210682767e+38; -3.272005169627272e+38,-1.9278791355161858e+38; 1.831702788713014e+38; -1.91014074854912e+38
68417,100000,2.2634712763459182e+38; -6.196667077360696e+37; -4.449543356463581e+37,-1.464847645956357e+38; 2.1825761025863297e+38; -1.758535415836513e+38
64797,100000,-2.2936220923422266e+38; -3.250282100469473e+38; 1.4506597328199286e+36,1.6282107929282491e+38; 2.4697078877982493e+38; 2.6268393658314674e+38
51228,100000,8.870930671915373e+37; -7.18457761373296e+37; -1.4724537523818224e+38,-1.0514152679015381e+38; 1.1172476087569267e+38; 2.019115295812196e+38
68975,100000,1.8088226080873267e+38; 1.0237904231972685e+38; 4.42081890092265e+37,1.750270739571217e+38; 5.645332365345593e+37; -3.239624099870946e+38
67757,100000,-3.0895156089870883e+38; -2.885804056118364e+37; 7.793505748998353e+37,1.9485968056299318e+38; 2.7968006848835715e+38; 3.83800817097376e+37
103565,100000,1.0778881731523683e+38; 1.8044071275166117e+38; 2.3899389962439516e+38,3.213585339597682e+38; -1.0342500111238477e+37; -1.0345706253136574e+38
70163,100000,-2.0528057979325337e+38; -5.033725937892038e+37; 2.33857602498776e+37,4.8613776834657285e+37; -1.7629470427494032e+38; -2.6229808402284688e+38
63857,100000,1.1566806695083462e+38; 1.5771310655221727e+38; -2.808440151282819e+38,-1.5648557202288386e+36; -2.4729153480529708e+38; -2.8815908925834452e+38
54406,100000,-2.5935626248670443e+38; 1.8380309005093534e+38; -4.980269619140654e+37,-1.9935949539284013e+38; 1.1912457491307934e+38; -1.938594332509795e+38
