elapsed.ps,repeats.n,param.a.vector3,param.b.vector3,param.alpha.float
41412,100000,2.1119427886126968e+37; -5.059334888552789e+36; -2.3454045038290216e+38,2.9256156880450355e+38; 5.35938537709067e+37; -2.7572862916696413e+38,-1.8886413318529765e+307
41474,100000,-8.292449982886743e+37; 2.272035726625156e+38; -4.759141155497082e+37,-3.110303861886255e+38; -2.4063375272326e+38; 1.5873818967479062e+38,1.7789879794255921e+308
41519,100000,-3.261390573385297e+38; 6.099907307045275e+37; -2.8077195172696013e+38,4.2357315185544064e+37; -1.205651026315643e+38; -3.3561548588318623e+38,-1.1666558080026839e+308
41488,100000,8.430947909805038e+37; -2.563184759971729e+36; 3.352471167599647e+38,-5.653549276536272e+37; 2.345773238035616e+38; -1.2508167073174386e+38,1.0025905500769835e+308
41713,100000,1.3326853353259543e+38; -2.0856848008446293e+38; 1.088700015827739e+38,-2.4025080054753345e+38; -2.7233444904943144e+38; -2.2981026794477693e+38,1.2896700591037412e+306
41707,100000,1.2590772256887658e+38; -3.7863009565205704e+37; 2.7831601686293336e+36,-5.877195294271898e+37; 2.3331241132862986e+38; -1.1580356358819182e+38,-1.6780848239958544e+308
41583,100000,-1.2293982799518864e+38; -2.02013752925622e+38; -8.685924672715665e+37,-2.933722972811807e+38; -2.678370478263273e+38; -6.009599878285016e+37,1.403757667607568e+308
41970,100000,-2.3096671009314834e+38; -2.1861133548212066e+38; -7.698468969378762e+37,-3.168900757351685e+38; -1.3804240428100693e+38; 6.029946684539159e+37,1.8893772978606673e+307
41878,100000,-1.7785225135563354e+38; -5.609746877695986e+37; 2.6510892175776894e+38,7.996099132625628e+37; -2.2848415836946857e+37; -2.3086499380898602e+38,7.033467865749051e+307
41909,100000,1.864666369273157e+38; 3.096511823355772e+38; 4.1896970405372383e+37,8.407666238881247e+37; -2.6299942946453155e+38; 2.1668182929170607e+38,-2.1496892594297174e+307
41842,100000,1.5091185684584876e+38; 8.764842514362993e+37; 5.129485722031469e+36,3.084397748571799e+38; 1.1922532778278548e+38; -1.703687318138126e+38,1.3092599452927445e+308
41629,100000,6.341189386991516e+37; -6.847010878916264e+37; -3.043002770339418e+38,1.0775902245552907e+38; 3.3035897491584624e+37; -1.3687044608928873e+38,1.7916520287683577e+308
41608,100000,-1.5013040602743447e+38; -2.5553283052292245e+37; 3.321516559710746e+38,2.117159246891672e+38; -1.9808665249575337e+38; 2.1155358428269957e+38,-1.0485712703819329e+308
41613,100000,2.3280642605624756e+38; 2.3719379520725187e+38; -1.6295642381211008e+38,1.3273223619906048e+38; -2.30792585606701e+38; -5.81500359523434e+36,-9.365552051264372e+307
41734,100000,3.2557072393902576e+38; -2.6147141357222124e+38; 2.8992939881578005e+38,8.002425723241247e+37; 1.117199640858214e+38; 1.727454042887589e+38,-5.722489922006219e+307
41838,100000,2.0029390600328037e+38; 9.952453655692812e+37; 1.735474113293065e+38,-8.962549358456509e+37; 2.1897134825258548e+38; -3.341284810230945e+38,3.6286347261302773e+307
41860,100000,-2.433376615947516e+38; 1.351179749110996e+38; -1.3667844265877576e+38,-2.0319189725226932e+38; 5.5930432992668985e+37; 1.6350443423719114e+38,1.4553382953362507e+308
41620,100000,7.356707325195791e+37; -1.0935813833470498e+37; 1.3761089601668924e+38,2.4117289973534427e+38; 2.559408669687263e+38; 1.9311490655924865e+38,-7.240071000281463e+307
41527,100000,3.0921951181198267e+38; -2.7490021442911258e+38; 1.7183640246694964e+37,7.750930942999327e+37; 1.7428824662248947e+38; -3.0493542069068016e+38,9.220108795507684e+307
41582,100000,1.2824713625738098e+38; -5.320776289229399e+37; 7.486094900780366e+37,-1.861861312024972e+38; 3.0040159225992788e+38; 3.0837629091512045e+38,9.472452428102023e+307
41429,100000,-2.0932302628653798e+38; -3.457757865736539e+37; 5.223591095372542e+37,3.2418719993273187e+38; -1.3022397145060569e+38; -1.931391034739058e+38,-9.649697375562366e+307
41557,100000,9.376643145888503e+37; 3.3881104036347036e+38; 7.136380523791803e+37,-2.7347606475638257e+38; 1.833730624025187e+38; 1.1226885679572023e+38,-6.9723986725605e+307
41345,100000,-2.294845932937711e+38; -1.928641754117283e+38; -7.948739199140861e+37,-3.398632106440694e+38; -2.5577883079840274e+38; -1.7776274508205263e+38,-3.5705432656577426e+306
41516,100000,2.412086779058851e+38; 4.48935874063603e+37; 2.936498671272091e+37,-1.231222986931879e+38; -1.5673026154764351e+38; -2.7737229535883446e+38,1.5000143471772826e+308
42633,100000,-1.0366647587522224e+37; -2.6375162290709257e+38; 1.8429345786792282e+38,-1.6764972268837107e+38; -1.3378138440062857e+38; 1.4467478264501543e+38,6.396759533550972e+307
41547,100000,1.1263778368520585e+38; 2.9633294089343535e+38; 1.0172399781621552e+37,-1.363481740419947e+38; 1.6410060524387608e+38; -2.271246132419286e+38,-3.934839687595042e+307
41466,100000,-3.0835061338456223e+38; -1.6399416315827611e+38; -3.387590971124754e+38,2.7350431815296046e+38; -2.479881341631345e+38; 4.713950425719426e+37,-1.1715446832926605e+308
41528,100000,4.0754909753060565e+36; 1.2984884828498615e+37; -1.5656512216865058e+38,2.721971878424387e+37; -4.087162551295008e+36; -3.0876561176746255e+38,1.0751078418677082e+308
41683,100000,-5.707990813334154e+37; 1.5198706794375754e+38; -2.7756905501439948e+38,3.564650474359824e+37; -2.7828804615243933e+38; 2.9961495928585985e+38,-6.892217695260092e+307
41549,100000,5.531053156674778e+37; 2.6648490070769028e+38; -8.574184821727227e+37,1.3756137651364192e+38; -8.495729419018862e+37; -3.3959014856357544e+38,8.657987380306624e+307
41396,100000,-2.9851703188919498e+38; 7.901828521028815e+37; -2.196035712423409e+38,1.5075148383311269e+38; -2.0565136252321773e+38; -2.7032220583964115e+37,1.2127659969700806e+308
41363,100000,-1.0885773326026488e+37; -1.0670358670698385e+38; -1.5274207050004867e+38,-6.010226097681529e+37; 1.4759634205396383e+38; 1.7033565120374904e+38,5.870927290771611e+307
41504,100000,4.0424272249954837e+37; 3.217551970443868e+38; 2.365863167572129e+38,9.68661515537919e+37; -2.3724496772668188e+38; -5.180865185421969e+37,-7.716137400779082e+307
41599,100000,-2.965292949008083e+38; 1.6956070089761272e+38; 2.996185695547693e+38,-5.306465021013063e+37; -1.902080518972629e+38; 2.806544962929454e+38,8.964224522428658e+306
38746,100000,-2.6404300000345863e+38; -1.2387977570345067e+38; 1.096887314700397e+38,3.237047422554898e+38; 1.384022040861709e+38; 7.032021441658134e+37,-1.6279160365591585e+308
41593,100000,2.212604210004536e+38; -1.2408562187851813e+38; -2.746249212835622e+38,-7.652825941866944e+37; 3.248010876242056e+38; -1.193853762769679e+38,-6.755447163291701e+307
41679,100000,-1.1384309883481845e+37; -1.9190193733531187e+38; 1.6996807309450206e+38,-1.0309474010150731e+37; 4.7534357136755745e+37; -6.674326443550774e+37,3.325347626619663e+306
41642,100000,3.6346090686249796e+37; 4.871734895929833e+37; 7.919863639648382e+37,-2.6008107467630052e+38; -2.0348541667814977e+37; 1.791316454710223e+38,-1.7334728822096912e+307
