runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
2,3413,24004,250000,-1.504142596371308e+308,8.145050494585089e+307
2,3396,24523,250000,3.4430711942521466e+306,-9.277194666402933e+307
2,3388,24418,250000,1.066790507266539e+308,3.527336161274553e+307
2,3394,24658,250000,-5.168060296841765e+307,1.121941319759498e+308
2,3399,24268,250000,-1.504933888384053e+308,-3.4999520578214016e+307
2,3422,24678,250000,-1.6040205864948028e+308,1.4721267008493718e+308
2,3370,24459,250000,-6.351030567771249e+307,-2.496024503169066e+307
2,3427,24013,250000,-1.3726983360610205e+308,-1.4570817006059786e+308
2,3448,23933,250000,-1.1754844472905383e+308,1.701539542594852e+307
2,3356,24113,250000,6.274398791271901e+307,-3.9391131297613716e+306
2,3398,25126,250000,-1.7683221676572717e+308,9.081403417516125e+307
2,3500,25162,250000,1.1086468114839514e+308,9.483632887754734e+307
2,3398,24187,250000,-5.557112133996762e+307,-7.537810872540426e+307
2,3417,27180,250000,9.811585147675194e+307,-6.835747597566115e+307
2,3407,24692,250000,-1.413126483535429e+308,-1.3755153725388395e+308
2,3355,28960,250000,1.226580862678694e+308,1.4329697054188303e+308
2,3472,26966,250000,8.157682662644921e+307,7.672955081989359e+307
2,3439,28008,250000,-1.2058712357858093e+308,4.977639149399133e+307
2,3496,27177,250000,-2.0596436725267508e+307,-1.2464728731912158e+308
2,3387,27544,250000,1.1512314549619288e+308,-1.5072392606998212e+308
2,3469,29020,250000,-5.057581649864881e+307,-2.207305435672697e+306
2,3400,34956,250000,-5.606094972580607e+307,-7.994443854559325e+307
2,3500,24327,250000,-1.0831691021340865e+308,-9.4435665492356e+307
2,3440,24695,250000,9.913213869813887e+307,8.646890369780193e+307
2,3376,24877,250000,-1.0730541910368816e+308,-9.675609015585287e+307
2,3385,24666,250000,1.3671102257058248e+308,6.901573181003999e+307
2,3457,25031,250000,2.3397019870508226e+307,5.086320714520091e+307
2,3570,24830,250000,6.573165529408658e+307,1.3767781793526782e+308
2,3483,25388,250000,-4.854602410236398e+307,1.5363513777310297e+308
2,3415,25246,250000,-6.224077880804121e+307,1.2390364493879428e+307
2,3642,24922,250000,-5.44306151177255e+307,-5.009527040865484e+306
