elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
21108,100000,-1.9000230713424345e+38; 4.384464202888824e+37; -2.1680297612426868e+38,3.0583522951033656e+38; 3.3527407208232796e+38; 7.265329619033759e+36
19726,100000,-2.6484409433557406e+38; 1.788996552699757e+38; 2.539317928854366e+38,6.908605514521114e+37; 1.8575117492854687e+38; 1.1537595461712043e+37
19939,100000,-1.9729949217903565e+38; -2.030650713450177e+38; 4.208353054420797e+37,-9.359035986111573e+37; -4.22803130174838e+37; -3.1892235289504478e+38
19966,100000,-2.7522621359867207e+38; -5.947209665163463e+37; -1.685752191797905e+38,2.114926356418406e+38; 2.785334430262339e+38; -2.2057905373222853e+38
21423,100000,2.7468017056732256e+38; 1.0976783033219274e+37; 6.219975115416972e+37,2.4383936727870755e+38; 1.2962816552729362e+38; -2.483313733808571e+38
20389,100000,2.778623995044971e+38; 2.5051238271800756e+36; 2.4738348510923523e+37,-2.9557849610340832e+38; 5.928403181153657e+36; -2.9190553426587344e+38
20101,100000,-3.2309133120064177e+37; 8.266789692376683e+37; 3.3551894161347285e+38,2.7380046161558338e+38; 2.6311378168987693e+38; -2.560425021232502e+38
29477,100000,9.86041005267048e+37; 7.994325435905788e+37; -3.3595383704019435e+38,-3.233075721106311e+38; 7.010385688273679e+37; 1.742211726939302e+38
19706,100000,-1.4499776987674878e+38; 2.5385050098774516e+38; -2.3217876660865296e+38,-1.1155542303791178e+38; 6.181879172518673e+37; 3.004178181876108e+38
19911,100000,2.4603205801613912e+38; -2.622359387198213e+38; -2.996219567171731e+38,9.530254003262719e+37; -2.5384652563546285e+38; -1.2333534512366465e+38
19625,100000,-3.274937042641504e+37; 1.58124910455605e+38; 1.9753827698729944e+38,8.54637256755822e+37; -1.3321694522376855e+37; -1.1400143093008816e+38
22861,100000,5.526227971430069e+37; -1.1613480576063386e+38; 2.345256847887107e+38,-1.1070583346443402e+38; -9.695476540135026e+37; 1.5409827410060645e+38
22492,100000,-2.039899289405346e+38; -7.057689338071795e+37; 1.5753214689373348e+38,1.793812002387856e+38; 1.5867936054573523e+38; 2.501910066701871e+38
21256,100000,1.8934189159513895e+38; 2.3443763884862125e+38; 1.1574152983841905e+38,2.610951140268447e+38; -1.5077471733331367e+38; -6.654326973561093e+37
19863,100000,-5.290869876268815e+37; 1.9066282408539597e+38; -2.611362467535209e+38,3.065181585241011e+38; 3.0756801661000533e+38; 1.4666045082762253e+38
19642,100000,-1.259966812173982e+38; 6.093836274790662e+37; -1.6539477509466108e+38,1.5000938088932948e+38; 1.1839810970710054e+38; -1.4796503569573901e+38
19693,100000,3.054028896672251e+38; -3.2867618395585047e+38; 9.140525474487592e+37,-1.5906875238651094e+38; 2.401672775847856e+38; -3.3615319284418864e+38
22656,100000,1.2349408540242763e+38; -1.1224214486227222e+38; 1.4001546694604536e+38,-3.079694866257e+38; -1.7359111992200236e+38; -3.092896838786089e+37
20214,100000,-2.325845567775932e+38; -1.2136507128994672e+38; 1.528922211783445e+38,6.265295145555852e+37; -2.0992153991153214e+38; 1.624555801305623e+38
20735,100000,4.376035847578027e+37; 2.1651622341729225e+38; -4.387176468113073e+37,1.9557331714489766e+38; -1.0015269292355802e+38; -4.675573064387876e+37
20608,100000,-5.282183934356051e+37; 1.072692631108297e+38; 2.5037440021782332e+38,1.2183738776238696e+38; 1.5206312697977124e+38; -3.081388853107097e+38
24459,100000,-1.6785400711789905e+38; 2.9490595168336084e+38; -7.443218900998726e+37,-2.8304692820015372e+38; 9.177704145411565e+37; 2.3658495783576945e+38
20952,100000,3.039098609314811e+38; -2.455715661884978e+38; 5.035489493407076e+37,-7.592586678283859e+37; 3.3268113334438033e+37; -9.025112479119933e+37
20513,100000,-1.4506302852964853e+38; -1.476316841526982e+38; 6.630976342444649e+37,-2.4685144708171704e+38; 6.038640739415764e+37; 1.2190233203793785e+38
20558,100000,-1.320514165558947e+37; -1.5480016716735042e+37; -3.231863847132493e+38,2.7847158167694277e+38; -1.9786776473131076e+38; 3.3475648527165238e+38
20091,100000,-9.894252267214654e+37; 1.0604201507053194e+38; 3.2908152791177945e+38,2.447561930400214e+38; 2.421701046859174e+38; -4.785755733378993e+37
20034,100000,-3.3951352162009284e+38; 3.0706333448244007e+37; -2.9928267256932323e+37,-4.4933117822677815e+37; -2.5856171937289098e+38; 2.0820027829112064e+37
20140,100000,1.820632649551341e+38; 1.5283513633651503e+38; 3.0866636993727188e+38,4.769588624683923e+37; 1.8100318453478964e+38; 3.2874597572729664e+38
22837,100000,-8.613130090527679e+37; -1.777836968111732e+38; -1.810091272808035e+38,2.9364858426480166e+38; -7.049187966086425e+37; -1.015117664850747e+38
22312,100000,-1.5026131884022124e+38; 1.0875033536611235e+38; -1.7672296735372142e+38,-2.5441199921521265e+38; 2.1034809926790654e+38; 2.7089364751841683e+38
28214,100000,2.974474390187464e+38; -8.383482000730093e+37; -5.224775081033155e+37,1.972443443073233e+38; -1.042555809974615e+38; -2.028390036075754e+38
20456,100000,2.4684465247449982e+38; -7.408697225732831e+37; 1.17868546133554e+38,2.238081350355875e+38; 1.2737429290129263e+38; 5.014477931178173e+37
20048,100000,-1.1805032722962673e+38; -1.7176030793671914e+38; 2.307655745077113e+37,-2.704168486334542e+38; -9.662862425492354e+37; 5.228112741681026e+36
