runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.start.vector2,param.finish.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
8,200002,15000027,1,EditableImage[1024][1024],Vector2(430;889),Vector2(1023;1023),Color3(174;34;234),0.9,ImageCombineType(Multiply)
8,300003,43699984,1,EditableImage[2048][2048],Vector2(263;1314),Vector2(600;1906),Color3(13;73;37),0.30000000000000004,ImageCombineType(BlendSourceOver)
8,300003,21499990,1,EditableImage[2048][2048],Vector2(26;1808),Vector2(22;443),Color3(28;40;116),0.7000000000000001,ImageCombineType(Overwrite)
8,900007,52000018,1,EditableImage[2048][2048],Vector2(716;948),Vector2(1420;437),Color3(54;126;255),0.30000000000000004,ImageCombineType(AlphaBlend)
8,299974,10300021,1,EditableImage[2048][2048],Vector2(621;1376),Vector2(760;1274),Color3(252;54;122),0.5,ImageCombineType(AlphaBlend)
8,300003,39400009,1,EditableImage[2048][2048],Vector2(856;168),Vector2(1946;1451),Color3(29;82;112),0.7000000000000001,ImageCombineType(Multiply)
8,300003,25499991,1,EditableImage[1024][1024],Vector2(308;135),Vector2(1023;665),Color3(33;112;147),0,ImageCombineType(AlphaBlend)
8,300003,32400014,1,EditableImage[512][512],Vector2(9;187),Vector2(511;511),Color3(118;162;208),0.4,ImageCombineType(Add)
8,300003,17499988,1,EditableImage[2048][2048],Vector2(1572;1002),Vector2(791;1139),Color3(208;72;39),0.8,ImageCombineType(Multiply)
8,200002,6299990,1,EditableImage[512][512],Vector2(442;511),Vector2(511;511),Color3(167;203;39),0.1,ImageCombineType(BlendSourceOver)
8,199973,22499997,1,EditableImage[1024][1024],Vector2(531;272),Vector2(1023;463),Color3(53;5;116),0.9,ImageCombineType(AlphaBlend)
8,300003,21400018,1,EditableImage[2048][2048],Vector2(167;1592),Vector2(155;354),Color3(38;210;209),0.6000000000000001,ImageCombineType(Add)
8,200002,8400006,1,EditableImage[1024][1024],Vector2(1023;1023),Vector2(1023;677),Color3(47;84;116),0.2,ImageCombineType(BlendSourceOver)
8,200002,25199989,1,EditableImage[2048][2048],Vector2(65;1693),Vector2(16;25),Color3(71;247;239),0.30000000000000004,ImageCombineType(AlphaBlend)
8,500004,23300003,1,EditableImage[1024][1024],Vector2(1023;1023),Vector2(839;902),Color3(109;160;126),0,ImageCombineType(Multiply)
8,400004,8400006,1,EditableImage[1024][1024],Vector2(863;1023),Vector2(331;1023),Color3(61;205;166),0.5,ImageCombineType(Multiply)
8,300003,17899991,1,EditableImage[2048][2048],Vector2(418;1206),Vector2(1084;1103),Color3(117;158;49),0.1,ImageCombineType(Overwrite)
8,500004,17999992,1,EditableImage[1024][1024],Vector2(1023;84),Vector2(1023;1023),Color3(248;21;8),0.7000000000000001,ImageCombineType(BlendSourceOver)
8,300003,52499993,1,EditableImage[2048][2048],Vector2(2017;916),Vector2(858;828),Color3(11;78;119),0.6000000000000001,ImageCombineType(Add)
8,400004,33299992,1,EditableImage[2048][2048],Vector2(871;782),Vector2(257;1130),Color3(15;134;109),0.5,ImageCombineType(Add)
8,299974,54400007,1,EditableImage[2048][2048],Vector2(676;1853),Vector2(1756;1247),Color3(232;21;235),0,ImageCombineType(Add)
8,300003,4699978,1,EditableImage[512][512],Vector2(510;510),Vector2(511;511),Color3(253;11;179),0.1,ImageCombineType(Add)
8,300003,50000003,1,EditableImage[2048][2048],Vector2(794;1376),Vector2(547;1950),Color3(139;232;109),0.1,ImageCombineType(BlendSourceOver)
8,700006,34500001,1,EditableImage[2048][2048],Vector2(1509;540),Vector2(1817;1913),Color3(83;208;114),0.4,ImageCombineType(Overwrite)
8,500004,25000016,1,EditableImage[2048][2048],Vector2(835;859),Vector2(301;1249),Color3(112;155;75),0.7000000000000001,ImageCombineType(Multiply)
8,400004,28000010,1,EditableImage[2048][2048],Vector2(406;668),Vector2(305;1786),Color3(234;83;77),0.2,ImageCombineType(AlphaBlend)
8,300003,16700011,1,EditableImage[2048][2048],Vector2(650;600),Vector2(209;719),Color3(6;143;169),0.5,ImageCombineType(AlphaBlend)
8,300003,10899996,1,EditableImage[1024][1024],Vector2(1023;992),Vector2(1023;816),Color3(26;53;35),0.9,ImageCombineType(Multiply)
8,300003,34199999,1,EditableImage[2048][2048],Vector2(576;1477),Vector2(1868;1788),Color3(175;243;131),0.6000000000000001,ImageCombineType(Add)
8,200002,27300005,1,EditableImage[1024][1024],Vector2(742;720),Vector2(48;1023),Color3(79;25;239),0.1,ImageCombineType(Add)
8,300003,18499996,1,EditableImage[2048][2048],Vector2(775;214),Vector2(334;864),Color3(11;0;238),0.2,ImageCombineType(Multiply)
