runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.position.vector2,param.size.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
1,300003,989799999,1,EditableImage[1024][1024],Vector2(130;64),Vector2(894;432),Color3(94;89;195),0.9,ImageCombineType(BlendSourceOver)
1,200002,87399997,1,EditableImage[512][512],Vector2(60;293),Vector2(110;219),Color3(166;84;38),0.1,ImageCombineType(AlphaBlend)
1,300003,2886200004,1,EditableImage[2048][2048],Vector2(1;1248),Vector2(1790;668),Color3(202;232;55),0.8,ImageCombineType(AlphaBlend)
1,200002,10618399975,1,EditableImage[2048][2048],Vector2(199;98),Vector2(1728;1536),Color3(238;56;107),0.5,ImageCombineType(Add)
1,200002,1185100002,1,EditableImage[2048][2048],Vector2(1;1338),Vector2(663;710),Color3(250;24;184),0,ImageCombineType(Multiply)
1,199973,11199998,1,EditableImage[1024][1024],Vector2(1;315),Vector2(679;81),Color3(54;170;201),0.5,ImageCombineType(Overwrite)
1,200002,2338599996,1,EditableImage[2048][2048],Vector2(817;118),Vector2(464;1930),Color3(157;115;147),0.1,ImageCombineType(BlendSourceOver)
1,200002,18699997,1,EditableImage[2048][2048],Vector2(1359;1761),Vector2(208;28),Color3(92;8;188),0.4,ImageCombineType(Multiply)
1,200002,4276399996,1,EditableImage[2048][2048],Vector2(1;578),Vector2(1490;1284),Color3(195;13;17),0.8,ImageCombineType(AlphaBlend)
1,200002,71499992,1,EditableImage[512][512],Vector2(1;225),Vector2(137;213),Color3(111;74;140),0.7000000000000001,ImageCombineType(AlphaBlend)
1,400004,7499999,1,EditableImage[256][256],Vector2(16;73),Vector2(240;29),Color3(248;244;66),0.5,ImageCombineType(Overwrite)
1,400004,4628499999,1,EditableImage[2048][2048],Vector2(1046;141),Vector2(1002;1629),Color3(183;173;39),0.5,ImageCombineType(AlphaBlend)
1,300003,591200020,1,EditableImage[2048][2048],Vector2(1950;481),Vector2(98;1452),Color3(27;177;134),0.30000000000000004,ImageCombineType(Add)
1,200002,1129400015,1,EditableImage[2048][2048],Vector2(1;1695),Vector2(1431;353),Color3(24;217;63),0.8,ImageCombineType(AlphaBlend)
1,500004,1843500010,1,EditableImage[2048][2048],Vector2(820;1),Vector2(898;477),Color3(121;147;59),0.2,ImageCombineType(Add)
1,200002,19200001,1,EditableImage[1024][1024],Vector2(182;251),Vector2(313;280),Color3(138;33;156),0.7000000000000001,ImageCombineType(Overwrite)
1,300003,17600018,1,EditableImage[2048][2048],Vector2(1913;1),Vector2(118;520),Color3(185;32;43),0.9,ImageCombineType(Overwrite)
1,300003,139899989,1,EditableImage[2048][2048],Vector2(1327;956),Vector2(721;928),Color3(51;229;239),0.9,ImageCombineType(Overwrite)
1,300003,222300005,1,EditableImage[512][512],Vector2(312;1),Vector2(186;437),Color3(14;206;196),0.8,ImageCombineType(BlendSourceOver)
1,800007,13600017,1,EditableImage[2048][2048],Vector2(1935;340),Vector2(113;415),Color3(115;237;236),0.9,ImageCombineType(Overwrite)
1,600005,9100012,1,EditableImage[2048][2048],Vector2(231;1248),Vector2(1146;8),Color3(167;118;227),0.7000000000000001,ImageCombineType(Overwrite)
1,400004,6494200003,1,EditableImage[2048][2048],Vector2(478;1),Vector2(1454;1947),Color3(104;192;181),0,ImageCombineType(AlphaBlend)
1,200002,3124000010,1,EditableImage[2048][2048],Vector2(764;1),Vector2(1284;1064),Color3(160;196;45),0.30000000000000004,ImageCombineType(AlphaBlend)
1,200002,1824700012,1,EditableImage[2048][2048],Vector2(1;73),Vector2(561;1272),Color3(154;87;234),0.9,ImageCombineType(Multiply)
1,200002,2357199992,1,EditableImage[2048][2048],Vector2(478;1),Vector2(750;1397),Color3(153;188;252),0.2,ImageCombineType(AlphaBlend)
1,200002,2021499997,1,EditableImage[2048][2048],Vector2(776;1),Vector2(697;1148),Color3(74;183;27),0.5,ImageCombineType(Multiply)
1,300003,236499997,1,EditableImage[512][512],Vector2(215;94),Vector2(297;273),Color3(192;23;69),0.9,ImageCombineType(AlphaBlend)
1,400004,147400017,1,EditableImage[1024][1024],Vector2(356;1),Vector2(167;329),Color3(125;12;24),0.1,ImageCombineType(BlendSourceOver)
1,400004,1530300011,1,EditableImage[2048][2048],Vector2(1608;201),Vector2(440;1405),Color3(52;12;204),0.30000000000000004,ImageCombineType(Multiply)
1,200002,3180600005,1,EditableImage[2048][2048],Vector2(1024;1),Vector2(606;1379),Color3(50;177;30),0.2,ImageCombineType(Add)
1,199973,113500021,1,EditableImage[2048][2048],Vector2(1415;1078),Vector2(633;970),Color3(247;191;14),0.6000000000000001,ImageCombineType(Overwrite)
1,300003,2608100011,1,EditableImage[2048][2048],Vector2(1;843),Vector2(930;1205),Color3(205;217;25),0.1,ImageCombineType(AlphaBlend)
1,100001,420800003,1,EditableImage[2048][2048],Vector2(1407;333),Vector2(95;876),Color3(100;242;154),0.1,ImageCombineType(Add)
1,200002,555200008,1,EditableImage[512][512],Vector2(147;148),Vector2(365;364),Color3(140;175;109),0.2,ImageCombineType(Add)
1,300003,105100015,1,EditableImage[512][512],Vector2(13;145),Vector2(253;161),Color3(115;120;198),0.6000000000000001,ImageCombineType(Multiply)
1,200002,6494500005,1,EditableImage[2048][2048],Vector2(137;1),Vector2(1070;1960),Color3(34;97;210),0.6000000000000001,ImageCombineType(BlendSourceOver)
1,200002,1890499989,1,EditableImage[2048][2048],Vector2(1;1021),Vector2(1291;648),Color3(243;147;85),0.9,ImageCombineType(AlphaBlend)
1,200002,97700017,1,EditableImage[2048][2048],Vector2(1961;178),Vector2(66;577),Color3(0;176;162),0,ImageCombineType(AlphaBlend)
1,200002,1316499984,1,EditableImage[1024][1024],Vector2(394;325),Vector2(630;699),Color3(60;6;134),0.7000000000000001,ImageCombineType(BlendSourceOver)
1,400004,164500002,1,EditableImage[1024][1024],Vector2(182;1),Vector2(341;160),Color3(138;70;82),0.6000000000000001,ImageCombineType(AlphaBlend)
1,400004,62899985,1,EditableImage[1024][1024],Vector2(689;118),Vector2(335;906),Color3(201;228;70),0.30000000000000004,ImageCombineType(Overwrite)
1,199973,208800019,1,EditableImage[2048][2048],Vector2(572;1943),Vector2(1476;50),Color3(158;143;110),0.30000000000000004,ImageCombineType(AlphaBlend)
1,200002,157100003,1,EditableImage[512][512],Vector2(198;381),Vector2(314;131),Color3(197;13;105),0.5,ImageCombineType(Add)
1,300003,6425300002,1,EditableImage[2048][2048],Vector2(1;351),Vector2(1417;1697),Color3(18;207;107),0.6000000000000001,ImageCombineType(BlendSourceOver)
1,299974,260800007,1,EditableImage[2048][2048],Vector2(647;1235),Vector2(133;813),Color3(35;0;249),0.2,ImageCombineType(AlphaBlend)
1,300003,213499996,1,EditableImage[1024][1024],Vector2(350;408),Vector2(373;144),Color3(11;247;157),0.1,ImageCombineType(Add)
1,299974,742300007,1,EditableImage[1024][1024],Vector2(229;442),Vector2(657;303),Color3(10;218;218),0.1,ImageCombineType(Multiply)
1,700006,1527200017,1,EditableImage[2048][2048],Vector2(920;1170),Vector2(716;878),Color3(32;85;57),0.30000000000000004,ImageCombineType(AlphaBlend)
1,400004,4202700017,1,EditableImage[2048][2048],Vector2(950;1126),Vector2(1039;756),Color3(229;39;67),0.5,ImageCombineType(Add)
1,100001,1351699990,1,EditableImage[2048][2048],Vector2(224;1588),Vector2(1824;290),Color3(99;121;142),0.7000000000000001,ImageCombineType(Multiply)
1,400004,652800024,1,EditableImage[1024][1024],Vector2(104;608),Vector2(710;219),Color3(255;102;118),0.8,ImageCombineType(Add)
