elapsed.ps,repeats.n,param.array.array
21369,100000,array<integer>[3]
21237,100000,array<integer>[3]
21581,100000,array<integer>[3]
21425,100000,array<integer>[3]
21793,100000,array<integer>[3]
21564,100000,array<integer>[3]
21717,100000,array<integer>[3]
21462,100000,array<integer>[3]
21623,100000,array<integer>[3]
21819,100000,array<integer>[3]
21866,100000,array<integer>[3]
21836,100000,array<integer>[3]
21712,100000,array<integer>[3]
21741,100000,array<integer>[3]
21521,100000,array<integer>[3]
22064,100000,array<integer>[3]
22517,100000,array<integer>[3]
22220,100000,array<integer>[3]
21626,100000,array<integer>[3]
21560,100000,array<integer>[3]
21633,100000,array<integer>[3]
23181,100000,array<integer>[3]
22096,100000,array<integer>[3]
22591,100000,array<integer>[3]
21968,100000,array<integer>[3]
21601,100000,array<integer>[3]
23327,100000,array<integer>[3]
21571,100000,array<integer>[3]
21749,100000,array<integer>[3]
21680,100000,array<integer>[3]
21547,100000,array<integer>[3]
22244,100000,array<integer>[3]
21364,100000,array<integer>[3]
21710,100000,array<integer>[3]
21699,100000,array<integer>[3]
21556,100000,array<integer>[3]
22161,100000,array<integer>[3]
21595,100000,array<integer>[3]
21593,100000,array<integer>[3]
21806,100000,array<integer>[3]
21629,100000,array<integer>[3]
21951,100000,array<integer>[3]
22947,100000,array<integer>[3]
21662,100000,array<integer>[3]
21806,100000,array<integer>[3]
21686,100000,array<integer>[3]
21944,100000,array<integer>[3]
21762,100000,array<integer>[3]
23686,100000,array<integer>[3]
22128,100000,array<integer>[3]
21566,100000,array<integer>[3]
22045,100000,array<integer>[3]
21963,100000,array<integer>[3]
21620,100000,array<integer>[3]
23843,100000,array<integer>[3]
21342,100000,array<integer>[3]
21697,100000,array<integer>[3]
21587,100000,array<integer>[3]
21736,100000,array<integer>[3]
21700,100000,array<integer>[3]
21868,100000,array<integer>[3]
21914,100000,array<integer>[3]
21476,100000,array<integer>[3]
21643,100000,array<integer>[3]
21515,100000,array<integer>[3]
22717,100000,array<integer>[3]
23205,100000,array<integer>[3]
21598,100000,array<integer>[3]
21764,100000,array<integer>[3]
21419,100000,array<integer>[3]
21400,100000,array<integer>[3]
23192,100000,array<integer>[3]
22094,100000,array<integer>[3]
21354,100000,array<integer>[3]
21510,100000,array<integer>[3]
21581,100000,array<integer>[3]
21388,100000,array<integer>[3]
23460,100000,array<integer>[3]
21413,100000,array<integer>[3]
21585,100000,array<integer>[3]
21660,100000,array<integer>[3]
21545,100000,array<integer>[3]
21623,100000,array<integer>[3]
22397,100000,array<integer>[3]
21686,100000,array<integer>[3]
21523,100000,array<integer>[3]
21734,100000,array<integer>[3]
21948,100000,array<integer>[3]
21671,100000,array<integer>[3]
23643,100000,array<integer>[3]
21689,100000,array<integer>[3]
21729,100000,array<integer>[3]
21913,100000,array<integer>[3]
21562,100000,array<integer>[3]
21626,100000,array<integer>[3]
21605,100000,array<integer>[3]
21568,100000,array<integer>[3]
21335,100000,array<integer>[3]
21338,100000,array<integer>[3]
21506,100000,array<integer>[3]
21670,100000,array<integer>[3]
22082,100000,array<integer>[3]
21449,100000,array<integer>[3]
21389,100000,array<integer>[3]
21472,100000,array<integer>[3]
21652,100000,array<integer>[3]
21523,100000,array<integer>[3]
21916,100000,array<integer>[3]
21571,100000,array<integer>[3]
21665,100000,array<integer>[3]
21143,100000,array<integer>[3]
21525,100000,array<integer>[3]
21635,100000,array<integer>[3]
22137,100000,array<integer>[3]
21814,100000,array<integer>[3]
21561,100000,array<integer>[3]
21487,100000,array<integer>[3]
21317,100000,array<integer>[3]
22044,100000,array<integer>[3]
21500,100000,array<integer>[3]
22146,100000,array<integer>[3]
23807,100000,array<integer>[3]
21413,100000,array<integer>[3]
21856,100000,array<integer>[3]
21494,100000,array<integer>[3]
21730,100000,array<integer>[3]
22318,100000,array<integer>[3]
21733,100000,array<integer>[3]
21670,100000,array<integer>[3]
21755,100000,array<integer>[3]
21587,100000,array<integer>[3]
21570,100000,array<integer>[3]
21951,100000,array<integer>[3]
21789,100000,array<integer>[3]
21569,100000,array<integer>[3]
21676,100000,array<integer>[3]
23233,100000,array<integer>[3]
21412,100000,array<integer>[3]
21474,100000,array<integer>[3]
21620,100000,array<integer>[3]
