elapsed.ps,repeats.n,param.array.map
30282,100000,map<literal;integer>[3]
29633,100000,map<literal;integer>[3]
32091,100000,map<literal;integer>[3]
30041,100000,map<literal;integer>[3]
30033,100000,map<literal;integer>[3]
30309,100000,map<literal;integer>[3]
29836,100000,map<literal;integer>[3]
32597,100000,map<literal;integer>[3]
30453,100000,map<literal;integer>[3]
37262,100000,map<literal;integer>[3]
38760,100000,map<literal;integer>[3]
31058,100000,map<literal;integer>[3]
30497,100000,map<literal;integer>[3]
31136,100000,map<literal;integer>[3]
31606,100000,map<literal;integer>[3]
36807,100000,map<literal;integer>[3]
31120,100000,map<literal;integer>[3]
33249,100000,map<literal;integer>[3]
30300,100000,map<literal;integer>[3]
31392,100000,map<literal;integer>[3]
29885,100000,map<literal;integer>[3]
29996,100000,map<literal;integer>[3]
29809,100000,map<literal;integer>[3]
31488,100000,map<literal;integer>[3]
30337,100000,map<literal;integer>[3]
30303,100000,map<literal;integer>[3]
29808,100000,map<literal;integer>[3]
36636,100000,map<literal;integer>[3]
30032,100000,map<literal;integer>[3]
32239,100000,map<literal;integer>[3]
30451,100000,map<literal;integer>[3]
30612,100000,map<literal;integer>[3]
30048,100000,map<literal;integer>[3]
29677,100000,map<literal;integer>[3]
30143,100000,map<literal;integer>[3]
29607,100000,map<literal;integer>[3]
30197,100000,map<literal;integer>[3]
33161,100000,map<literal;integer>[3]
31657,100000,map<literal;integer>[3]
33867,100000,map<literal;integer>[3]
32466,100000,map<literal;integer>[3]
30464,100000,map<literal;integer>[3]
31207,100000,map<literal;integer>[3]
30772,100000,map<literal;integer>[3]
31932,100000,map<literal;integer>[3]
30969,100000,map<literal;integer>[3]
30750,100000,map<literal;integer>[3]
34272,100000,map<literal;integer>[3]
37218,100000,map<literal;integer>[3]
38221,100000,map<literal;integer>[3]
39019,100000,map<literal;integer>[3]
39638,100000,map<literal;integer>[3]
36391,100000,map<literal;integer>[3]
31707,100000,map<literal;integer>[3]
29851,100000,map<literal;integer>[3]
29906,100000,map<literal;integer>[3]
30007,100000,map<literal;integer>[3]
35238,100000,map<literal;integer>[3]
31037,100000,map<literal;integer>[3]
29930,100000,map<literal;integer>[3]
31507,100000,map<literal;integer>[3]
31305,100000,map<literal;integer>[3]
29741,100000,map<literal;integer>[3]
30086,100000,map<literal;integer>[3]
30426,100000,map<literal;integer>[3]
31080,100000,map<literal;integer>[3]
31225,100000,map<literal;integer>[3]
35881,100000,map<literal;integer>[3]
30007,100000,map<literal;integer>[3]
30268,100000,map<literal;integer>[3]
33647,100000,map<literal;integer>[3]
30295,100000,map<literal;integer>[3]
30861,100000,map<literal;integer>[3]
30477,100000,map<literal;integer>[3]
32840,100000,map<literal;integer>[3]
30565,100000,map<literal;integer>[3]
32128,100000,map<literal;integer>[3]
43297,100000,map<literal;integer>[3]
45242,100000,map<literal;integer>[3]
41668,100000,map<literal;integer>[3]
41792,100000,map<literal;integer>[3]
41808,100000,map<literal;integer>[3]
41613,100000,map<literal;integer>[3]
41675,100000,map<literal;integer>[3]
41338,100000,map<literal;integer>[3]
42275,100000,map<literal;integer>[3]
33470,100000,map<literal;integer>[3]
31715,100000,map<literal;integer>[3]
30639,100000,map<literal;integer>[3]
30063,100000,map<literal;integer>[3]
31125,100000,map<literal;integer>[3]
30349,100000,map<literal;integer>[3]
35111,100000,map<literal;integer>[3]
32761,100000,map<literal;integer>[3]
30113,100000,map<literal;integer>[3]
30043,100000,map<literal;integer>[3]
36199,100000,map<literal;integer>[3]
34756,100000,map<literal;integer>[3]
37334,100000,map<literal;integer>[3]
48924,100000,map<literal;integer>[3]
40248,100000,map<literal;integer>[3]
40360,100000,map<literal;integer>[3]
42085,100000,map<literal;integer>[3]
42607,100000,map<literal;integer>[3]
42214,100000,map<literal;integer>[3]
42481,100000,map<literal;integer>[3]
41115,100000,map<literal;integer>[3]
31397,100000,map<literal;integer>[3]
31253,100000,map<literal;integer>[3]
31913,100000,map<literal;integer>[3]
30586,100000,map<literal;integer>[3]
29982,100000,map<literal;integer>[3]
34803,100000,map<literal;integer>[3]
32572,100000,map<literal;integer>[3]
30248,100000,map<literal;integer>[3]
30120,100000,map<literal;integer>[3]
31330,100000,map<literal;integer>[3]
32465,100000,map<literal;integer>[3]
31179,100000,map<literal;integer>[3]
33363,100000,map<literal;integer>[3]
30744,100000,map<literal;integer>[3]
30211,100000,map<literal;integer>[3]
39166,100000,map<literal;integer>[3]
33770,100000,map<literal;integer>[3]
