runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.field.integer,param.width.integer
6,3267,24613,250000,1981127886,9,6
6,3364,24444,250000,1049240194,1,14
6,3244,24848,250000,1907952626,4,16
6,3268,24594,250000,4153358699,9,9
6,3273,24656,250000,2858242715,13,12
6,3258,25707,250000,3962993579,10,4
6,3270,26130,250000,2667730620,8,4
6,3259,25502,250000,2744861979,1,8
6,3246,25611,250000,1381167334,8,13
6,3276,24659,250000,1010624142,0,8
6,3281,24782,250000,1219240299,0,10
6,3246,24676,250000,147125822,15,16
6,3269,24822,250000,2600898837,15,2
6,3272,24706,250000,3069576450,8,6
6,3245,24877,250000,2851327821,4,7
6,3272,24757,250000,3950490864,14,6
6,3269,24718,250000,2211963344,10,8
6,3247,24644,250000,2587567862,11,14
6,3278,24559,250000,2313474594,11,13
6,3268,24781,250000,1819331488,2,3
6,3246,24679,250000,105871693,5,12
6,3282,24716,250000,3047899904,7,2
6,3274,24560,250000,3388613747,10,16
6,3248,24655,250000,4276272694,12,9
6,3269,24571,250000,4066524980,12,9
6,3273,24470,250000,2067921664,6,1
6,3248,24806,250000,1010050803,15,4
6,3273,24692,250000,4103166572,8,9
6,3271,24586,250000,3420103968,13,11
6,3245,24720,250000,3788053844,2,1
6,3273,24373,250000,3108712782,14,4
6,3273,24544,250000,1961076950,14,14
6,3267,24907,250000,2418055441,6,1
6,3270,24541,250000,282601519,4,13
6,3268,24524,250000,1141458671,7,6
6,3244,24445,250000,2519201933,9,16
6,3281,24725,250000,2453863862,4,15
6,3276,24615,250000,4195885446,6,3
6,3245,24583,250000,1166450254,2,9
6,3275,24727,250000,1417912995,12,9
6,3272,24584,250000,2239783763,6,8
6,3244,24726,250000,245173702,0,2
6,3273,24537,250000,2839594952,13,11
6,3267,24703,250000,2233326766,15,14
6,3244,24624,250000,2110526991,4,2
7,3966,28370,250000,3259793324,7,12
7,3763,29184,250000,1137143041,4,16
7,3896,30164,250000,2294492625,13,5
7,3832,30345,250000,2245679670,9,10
7,4024,30546,250000,2530656370,9,16
7,3878,28319,250000,1162096178,9,13
7,3919,29518,250000,2813346718,9,4
7,3839,29190,250000,2675480754,6,1
7,3801,30030,250000,461081138,13,7
7,3744,28840,250000,1805247218,3,11
7,3767,28444,250000,960611461,2,9
7,3899,28302,250000,1224367368,2,15
7,4127,28205,250000,2373605036,7,13
7,3873,28595,250000,1328674299,7,5
