elapsed.ps,repeats.n,param.a.color3,param.b.color3,param.alpha.float
78956,100000,0.32549; 0.427451; 0.784314,0.407843; 0.643137; 0.635294,0.6869432913953365
74257,100000,0.760784; 0.6; 0.462745,0.164706; 0.141176; 0.298039,0.05954757089510412
74112,100000,0.168627; 0.862745; 0.513726,0.0901961; 0.337255; 0.941176,0.7838251626136211
76413,100000,0.360784; 0.8; 0.788235,0.964706; 0.921569; 0.00784314,0.8563656547016762
72115,100000,0.678431; 0.529412; 0.0431373,0.25098; 0.52549; 0.505882,0.9583636810896883
72546,100000,0; 0.92549; 0.443137,0.513726; 0.717647; 0.666667,0.1341765688808684
69945,100000,0.627451; 0.886275; 0.0980392,0.803922; 0.698039; 0.823529,0.2642885677005181
84941,100000,0.317647; 0.239216; 0.941176,0.14902; 0.0156863; 0.756863,0.2811099124696003
69802,100000,0.886275; 0.396078; 0.882353,0.745098; 0.537255; 0.270588,0.018362425932363428
88954,100000,0.278431; 0.443137; 0.4,0.494118; 0.760784; 0.160784,0.9705645209169818
82008,100000,0.415686; 0.776471; 0.52549,0.894118; 0.254902; 0.745098,0.4062198477629568
79662,100000,0.882353; 0.0980392; 0.392157,0.980392; 0.054902; 0.415686,0.6228521401133436
90700,100000,0.352941; 0.184314; 0.6,0.356863; 0.576471; 0.945098,0.32267171231506314
84576,100000,0.490196; 0.133333; 0.796078,0.972549; 0.207843; 0.713726,0.8103163302142843
81981,100000,0.494118; 0.0431373; 0.254902,0.443137; 0.74902; 0.423529,0.28665537598749447
72555,100000,0.631373; 0.862745; 0.847059,0.466667; 0.403922; 0.0627451,0.5675774310266827
108469,100000,0.337255; 0.505882; 0.0745098,0.52549; 0.431373; 0.133333,0.8878807019916236
74118,100000,0.792157; 0.270588; 0.247059,0.964706; 0.698039; 0.670588,0.767223645877744
78656,100000,0.533333; 0.423529; 0.152941,0.152941; 0.839216; 0.8,0.6901738987227511
72574,100000,0.25098; 0.207843; 0.0980392,0.729412; 0.917647; 0.533333,0.44812794171409254
73456,100000,0.270588; 0.933333; 0.788235,0.172549; 0.427451; 0.341176,0.49107398880623315
76869,100000,0.501961; 0.32549; 0.858824,0.341176; 0.733333; 0.0117647,0.7135154075773187
81858,100000,0.756863; 0.0666667; 0.819608,0.627451; 0.454902; 0.337255,0.7227176892562669
77192,100000,0.933333; 0.568627; 0.537255,0.607843; 0.780392; 0.219608,0.48866571668892217
76954,100000,0.580392; 0.329412; 0.737255,0.223529; 0.568627; 0.411765,0.9679487036321246
74688,100000,0; 0.321569; 0.796078,0.87451; 0.0784314; 0.694118,0.3507718069705771
81031,100000,0.396078; 0.423529; 0.768627,0.843137; 0.741176; 0.576471,0.7908462672723404
71422,100000,0.717647; 0.627451; 0.713726,0.0627451; 0.694118; 0.615686,0.8641475051830367
73169,100000,0.172549; 0.0313726; 0.611765,0.0666667; 0.403922; 0.858824,0.47220540827509094
75332,100000,0.996078; 0.027451; 0.168627,0.419608; 0.494118; 0.254902,0.6449606522134447
78768,100000,0.756863; 0.27451; 0.678431,0.384314; 0.713726; 0.407843,0.321748250900945
70808,100000,0.929412; 0.639216; 0.298039,0.0666667; 0.345098; 0.556863,0.045694349972357516
72985,100000,0.792157; 0.788235; 0.52549,0.996078; 0.235294; 0.717647,0.20866790854287243
73909,100000,0.231373; 0.215686; 0.113725,0.0117647; 0.243137; 0.690196,0.6729332988148481
75927,100000,0.184314; 0.431373; 0.741176,0.643137; 0.913725; 0.262745,0.6047531793234653
130561,100000,0.694118; 0.0588235; 0.584314,0.341176; 0.113725; 0.952941,0.40607177479789436
85279,100000,0.254902; 0.772549; 0.639216,0.513726; 0.670588; 0.415686,0.014479288325839876
68219,100000,0.380392; 0.411765; 0.792157,0.854902; 0.858824; 0.654902,0.09620047724784483
71611,100000,0.211765; 0.0313726; 0.513726,0.713726; 0.52549; 0.454902,0.3352564037934947
72123,100000,0.117647; 0.721569; 0.615686,0.843137; 0.717647; 0.545098,0.45666159078614643
79135,100000,0.294118; 0.929412; 0.890196,0.964706; 0.619608; 0.172549,0.46123772025379633
71630,100000,0.717647; 0.47451; 0.368627,0.427451; 0.556863; 0.584314,0.3256325708374017
75902,100000,0.243137; 0.196078; 0.0941176,0.411765; 0.607843; 0.607843,0.8952399563045791
74663,100000,0.137255; 0.709804; 0.713726,0.439216; 0.384314; 0.14902,0.10440868192251894
74458,100000,0.698039; 0.380392; 0.0313726,0.4; 0.160784; 0.2,0.6072720035001319
86645,100000,0.745098; 0.360784; 0.964706,0.270588; 0.176471; 0.0745098,0.8229688423308241
72907,100000,0.733333; 0.737255; 0.196078,0.133333; 0.427451; 0.741176,0.21773752302872829
73810,100000,0.917647; 0.494118; 0.196078,0.423529; 0.580392; 0.0235294,0.1092723413279153
75482,100000,0.729412; 0.431373; 0.811765,0.172549; 0.164706; 0.14902,0.4375502414127148
74714,100000,0.317647; 0.92549; 0.772549,0.501961; 0.117647; 0.0196078,0.1344745510336432
84341,100000,0.447059; 0.894118; 0.00784314,0.94902; 0.447059; 0.537255,0.3391017720357235
70949,100000,0.380392; 0.721569; 0.72549,0.376471; 0.478431; 0.027451,0.5705352837141208
73172,100000,0.388235; 0.145098; 0.294118,0.780392; 0.270588; 0.054902,0.22614997808695503
77604,100000,0.435294; 0.996078; 0.243137,0.513726; 0.121569; 0.886275,0.7393928445663276
73548,100000,0.701961; 0.164706; 0.431373,0.211765; 0.701961; 0.72549,0.5803621128867599
69526,100000,0.454902; 0.423529; 0.87451,0.572549; 0.615686; 0.713726,0.13608410770331908
70920,100000,0.352941; 0.47451; 0.729412,0.152941; 0.686275; 0.603922,0.1907306401758876
72050,100000,0.333333; 0.458824; 0.294118,0.976471; 0.94902; 0.219608,0.7664645190886076
73080,100000,0.129412; 0.862745; 0.0705882,0.12549; 0.137255; 0.584314,0.5684572333114521
70604,100000,0.580392; 0.054902; 0.866667,0.87451; 0.247059; 0.0509804,0.6325349212300744
73286,100000,0.8; 0.701961; 0.964706,0.435294; 0.207843; 0.137255,0.8371463376069415
