runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
6,3018,98077,10000,704
6,3066,111830,10000,958
6,3003,80583,10000,423
6,2984,128818,10000,1016
6,3064,64165,10000,385
6,3224,41292,10000,122
6,3072,31934,10000,19
6,3062,35309,10000,47
6,3065,99341,10000,884
6,2999,99776,10000,900
6,3059,79508,10000,652
6,2989,102629,10000,957
6,2964,72816,10000,481
6,3070,61694,10000,299
6,3026,33293,10000,9
6,3035,89108,10000,773
6,3071,66524,10000,440
6,3076,95405,10000,851
6,3055,74423,10000,490
6,3057,60780,10000,308
6,3021,54848,10000,289
6,3044,48623,10000,194
6,3014,50485,10000,245
6,3014,90470,10000,795
6,3054,59610,10000,274
6,3032,105923,10000,1008
6,2987,49249,10000,210
6,3025,51631,10000,202
6,2978,63996,10000,383
6,2988,70884,10000,447
6,2976,53247,10000,285
6,3018,115842,10000,689
6,2959,40916,10000,141
6,3045,46336,10000,132
6,2981,94362,10000,843
6,3627,93566,10000,831
6,2997,41604,10000,123
6,2994,77406,10000,623
6,3014,99440,10000,920
6,2973,35202,10000,21
6,2967,63071,10000,440
6,2963,46043,10000,202
6,3034,73757,10000,487
6,2999,88327,10000,797
6,2977,66071,10000,357
6,2985,71476,10000,463
6,2970,86415,10000,707
6,2998,81139,10000,710
6,3028,85570,10000,747
6,3012,41690,10000,103
6,3001,90861,10000,842
6,2952,63529,10000,447
6,2993,52563,10000,280
6,2999,87247,10000,817
6,2972,55270,10000,254
6,3001,38735,10000,21
6,2968,96182,10000,778
6,2998,67456,10000,392
6,3002,57804,10000,272
6,3010,61365,10000,302
6,2985,62115,10000,349
6,3040,52055,10000,181
6,3030,79010,10000,522
6,2963,104335,10000,890
6,2984,69920,10000,504
6,2963,89236,10000,795
6,3009,43801,10000,150
6,2949,68691,10000,477
6,2972,71163,10000,454
6,2985,64678,10000,372
6,3032,41042,10000,74
6,2997,95969,10000,908
6,2975,80389,10000,642
6,3014,87855,10000,756
6,3020,94852,10000,860
6,3025,41343,10000,122
6,2999,86183,10000,791
6,3001,84011,10000,378
6,3079,43501,10000,144
