runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.float,param.y.float
1,2905,15460,50000,3.0096863721593134e+307,4.205603058974788e+306
1,2904,15793,50000,-1.6220226054972008e+308,-1.0249347428841309e+308
1,3053,15417,50000,-9.133740294887179e+307,-1.0110459389786186e+307
1,2909,15632,50000,-1.0361311602809198e+308,1.638047395750916e+308
1,2905,15490,50000,-6.632994188688065e+307,-9.178977749272818e+307
1,3304,15403,50000,1.177979145816032e+308,-1.1620276166633489e+308
1,2911,15581,50000,-2.0447038329170486e+307,-1.6625567276605454e+308
1,2903,15630,50000,-1.2262262740105238e+308,1.3342404503569417e+308
1,3048,15358,50000,2.1335383621102442e+307,1.261465780610251e+308
1,2909,15428,50000,1.2558706602680017e+308,-9.961286513819288e+307
1,2902,15455,50000,-1.388620569166287e+308,3.921004212545752e+307
1,3266,15353,50000,1.2189604270841197e+308,1.3066858270820101e+308
1,2910,15405,50000,1.3557480143049844e+308,1.487639527713356e+308
1,2906,15528,50000,-6.967206855267561e+306,1.8239590274946432e+306
1,3045,15585,50000,6.630614168713131e+307,-2.3103451628306934e+307
1,2906,15571,50000,6.337079397504346e+307,1.3485894371445172e+308
1,2905,15765,50000,8.046321963473372e+307,-9.694545784111936e+306
1,3383,15467,50000,-5.12895475928554e+307,-3.145442943294875e+307
1,2904,15466,50000,-5.838035860709571e+307,-9.088263878079317e+307
1,2904,15473,50000,-1.5631038952982053e+308,1.1553889206519615e+308
1,2904,15512,50000,-1.1425011130364685e+308,-3.3941734993523143e+307
1,2904,15577,50000,-9.679338240782427e+307,-1.4139767716150846e+308
2,3249,22438,50000,-2.557644471014286e+307,-3.9383655316183137e+307
2,3247,22208,50000,7.697405145960788e+306,1.1900543462542342e+308
2,3247,22702,50000,-1.4188110092114465e+308,-1.0306787857384267e+307
2,3247,22877,50000,-1.3516778774008845e+307,9.170484377084085e+307
2,3249,22338,50000,-6.770933440663461e+307,1.4645224487198145e+308
2,3267,22205,50000,-1.3322410371873084e+308,1.0530612119378803e+308
2,3248,21983,50000,5.512087905524893e+307,-1.3030807231252816e+307
2,3251,22127,50000,4.0292805264322535e+306,-6.882049749107214e+307
2,3301,22851,50000,7.079294808594195e+307,-7.514357981105793e+307
2,3248,22293,50000,-5.544708711242255e+307,-2.945229555723414e+307
2,3247,22826,50000,-5.620191502577486e+307,1.296334116352201e+308
2,3246,22349,50000,-4.4316670631367634e+307,1.0190473313264612e+308
2,3252,22757,50000,1.2747532735762578e+308,-1.0866840016333854e+308
2,3258,22561,50000,8.615791942689894e+307,3.072696732803699e+307
2,3247,22770,50000,1.0635751927363593e+308,9.63152361780082e+307
2,3427,21944,50000,-3.578579953396642e+307,-3.0056458807522084e+307
2,3259,22978,50000,5.339367769135168e+307,7.444149229128932e+307
2,3246,22293,50000,9.690713577440288e+307,-9.12752161376677e+305
2,3257,22578,50000,-1.223888965893911e+308,-4.134654955268321e+307
2,3255,22663,50000,-3.518911427038307e+307,-6.321365919949227e+307
2,3363,22837,50000,-1.1339261396952697e+307,9.238150628817427e+307
2,3334,23206,50000,-5.422239325377068e+307,-5.087891060106141e+307
2,3249,22014,50000,8.148445798953551e+307,1.772686115864304e+308
2,3250,22541,50000,-1.5192103372831375e+308,-6.011495051368093e+307
2,3299,22738,50000,9.773034595939052e+307,1.4843720150646593e+308
2,3251,22161,50000,1.1040737615919366e+308,-4.201857670410942e+306
2,3249,22871,50000,-3.368876479339544e+307,1.4514636609883277e+308
2,3247,22860,50000,-2.3122482216017115e+307,1.5405278124757076e+308
2,3254,22744,50000,-1.2071542343227792e+308,6.840894664864587e+307
2,3369,22362,50000,-5.408678617760209e+307,-4.9277386768646944e+306
2,3248,22338,50000,1.0895389137520188e+308,6.270523375214045e+307
2,3247,22191,50000,-1.1015826760645383e+308,6.347803599322165e+307
2,3247,22840,50000,1.7160569381329965e+308,-1.639779543929182e+308
2,3260,22547,50000,9.714164182092535e+306,-1.70927633777797e+308
2,3261,23253,50000,5.684332974024525e+306,5.219262615251393e+307
2,3246,22473,50000,-2.66716894872767e+307,-1.7486413731469944e+308
2,3258,22706,50000,-1.6019053942330045e+308,-1.1512023186770463e+308
