elapsed.ps,repeats.n,param.a.integer,param.b.integer
16486,100000,5769847732783836,-7065641685927755
20863,100000,1195670460142620,4464741413179556
16855,100000,-3766257717548120,2405949306865863
17252,100000,1986023424861583,-5760875808345287
15518,100000,68314080309468,7603023470958571
24324,100000,2090413968719234,209416250067639
19987,100000,-8324850941268664,-1345778571201445
16207,100000,4184419174306830,6011332479115974
20297,100000,780912057890260,6445156337829646
16530,100000,-3452061465271763,-7877396144091267
16650,100000,2506285270133738,-1389855383425734
19173,100000,-1327804794421367,-8104473910217795
20098,100000,7534984499643787,2774664338709257
17332,100000,-178098848038952,3607336594141412
16653,100000,-5546502168024205,-3934229816052801
15767,100000,-1711099798889309,7370557052446961
16700,100000,386014414815456,-1294224074459850
16386,100000,6729250653311953,8613139186484205
15741,100000,422042258966676,1734182317360014
16975,100000,-733533270856317,-1613438746413504
17320,100000,2338018660660709,-2367472792078023
16994,100000,4953118940216338,1970290389791605
16480,100000,-1332049917506937,7478199024288737
16422,100000,4712978974727171,4014054219180230
16407,100000,-4847773013506209,7409933962631422
16791,100000,6181383487140250,-1537535400631408
18160,100000,3303700978215781,-1947512509685882
17010,100000,6822554037810515,-5705351372387245
15816,100000,-6653686731349220,-1642808842751853
15705,100000,108108434267778,3542166307892444
16420,100000,-4765849513299313,1417316583314935
16758,100000,-420192776376716,-5834892704674445
16126,100000,-3495615831818807,-2951341267622217
17341,100000,846166584090140,-4407539805864665
16861,100000,6382687919318017,354302184616627
16859,100000,-7085139423292339,7995271187246383
16547,100000,-709250741572624,-8146948226809585
16405,100000,-6713962256763427,2835493531124233
15733,100000,-2758072122835391,5442772520499508
20760,100000,-7804190502164535,7643819204994248
16671,100000,8034312508473536,5890658035704479
16379,100000,-8883558338379226,-6426371495150910
16415,100000,-4367411964482133,-58268763721655
16755,100000,71178159837938,-2596329683641328
16301,100000,-2480777833339791,-1824385282784534
16815,100000,6038159674551716,-1401814894360564
15693,100000,-4611336009718668,2199130312657786
17198,100000,7979638986594105,6489484178026916
21323,100000,-8131206151785854,3225235014019668
19380,100000,-5538605547037003,1835713946236741
20368,100000,6187093840004262,-2449134678370971
16740,100000,-2102788199922900,-2886840308567145
16030,100000,-3544053512485891,7494601850489100
15995,100000,-6065588433264519,-743887621529459
19784,100000,3748065399743074,7496183861749578
15405,100000,-7460630894541396,-3566773374944954
16293,100000,1130747658336280,2246575370952845
15783,100000,-6075589374854819,-2173314795696069
16340,100000,4702137311383530,7542303323597003
16375,100000,3944448085940153,-8150969482441842
